amc_name,main_scheme_name,mutual_fund_name,benchmark_index,monthly_aaum_date,monthly_aaum_value,scheme_launch_date,min_addl_amt,min_addl_amt_multiple,min_amt,min_amt_multiple,Riskometer_benchmark,Riskometer,page_number,entry,exit,alpha,arithmetic_mean_ratio,average_div_yield,average_pb,average_pe,avg_maturity,beta,correlation_ratio,downside_deviation,information_ratio,macaulay,mod_duration,port_turnover_ratio,r_squared_ratio,roe_ratio,sharpe,sortino_ratio,std_dev,tracking_error,treynor_ratio,upside_deviation,ytm,name_1,managing_fund_since_1,total_exp_1,qualification_1,name_2,managing_fund_since_2,total_exp_2,qualification_2,name_3,managing_fund_since_3,total_exp_3,qualification_3,name_4,managing_fund_since_4,total_exp_4,qualification_4,name_5,managing_fund_since_5,total_exp_5,qualification_5,name_6,managing_fund_since_6,total_exp_6,qualification_6,name_7,managing_fund_since_7,total_exp_7,qualification_7,name_8,managing_fund_since_8,total_exp_8,qualification_8,field_location
Quant Money Managers Limited,quant Small Cap Fund,Quant Mutual Fund,['NIFTY SMALLCAP 250'],20260831,"35,039.58 Cr",19961029,,,500,0,,,29,,"if any: For redemptions switch outs (including SIP STP) within 1 year from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,0.88,,,0.05,,,38,,,0.61,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""29"", ""benchmark_index"": ""29"", ""count"": 29, ""fund_manager_managing_fund_since"": ""29"", ""fund_manager_name"": ""29"", ""fund_manager_qualification"": ""29"", ""fund_manager_total_exp"": ""29"", ""load_exit"": ""29"", ""main_scheme_name"": ""29"", ""metrics_beta"": ""29"", ""metrics_information_ratio"": ""29"", ""metrics_port_turnover_ratio"": ""29"", ""metrics_sharpe"": ""29"", ""min_addl_amt"": ""29"", ""min_addl_amt_multiple"": ""29"", ""min_amt"": ""29"", ""min_amt_multiple"": ""29"", ""monthly_aaum_date"": ""29"", ""monthly_aaum_value"": ""29"", ""mutual_fund_name"": ""29"", ""riskometer"": ""29"", ""riskometer_benchmark"": ""29"", ""scheme_launch_date"": ""29""}"
Quant Money Managers Limited,quant ELSS Tax Saver Fund,Quant Mutual Fund,['NIFTY 500'],20260831,"13,519.64 Cr",20000413,,,50,0,,,33,,"if any: NIL. However, the scheme has lock-in period of 3 years.",,,,,,,1.10,,,0.50,,,95,,,0.57,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,02 June 2022,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""33"", ""benchmark_index"": ""33"", ""count"": 29, ""fund_manager_managing_fund_since"": ""33"", ""fund_manager_name"": ""33"", ""fund_manager_qualification"": ""33"", ""fund_manager_total_exp"": ""33"", ""load_exit"": ""33"", ""main_scheme_name"": ""33"", ""metrics_beta"": ""33"", ""metrics_information_ratio"": ""33"", ""metrics_port_turnover_ratio"": ""33"", ""metrics_sharpe"": ""33"", ""min_addl_amt"": ""33"", ""min_addl_amt_multiple"": ""33"", ""min_amt"": ""33"", ""min_amt_multiple"": ""33"", ""monthly_aaum_date"": ""33"", ""monthly_aaum_value"": ""33"", ""mutual_fund_name"": ""33"", ""riskometer"": ""33"", ""riskometer_benchmark"": ""33"", ""scheme_launch_date"": ""33""}"
Quant Money Managers Limited,quant Mid Cap Fund,Quant Mutual Fund,['NIFTY MIDCAP 150'],20260831,"8,099.01 Cr",20010320,,,500,0,,,37,,"if any: For redemptions switch outs (including SIP STP) within 3 months from the date of allotment of units, irrespective of the amount of investment: 0.5%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,0.91,,,-0.67,,,78,,,0.41,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2023,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""37"", ""benchmark_index"": ""37"", ""count"": 29, ""fund_manager_managing_fund_since"": ""37"", ""fund_manager_name"": ""37"", ""fund_manager_qualification"": ""37"", ""fund_manager_total_exp"": ""37"", ""load_exit"": ""37"", ""main_scheme_name"": ""37"", ""metrics_beta"": ""37"", ""metrics_information_ratio"": ""37"", ""metrics_port_turnover_ratio"": ""37"", ""metrics_sharpe"": ""37"", ""min_addl_amt"": ""37"", ""min_addl_amt_multiple"": ""37"", ""min_amt"": ""37"", ""min_amt_multiple"": ""37"", ""monthly_aaum_date"": ""37"", ""monthly_aaum_value"": ""37"", ""mutual_fund_name"": ""37"", ""riskometer"": ""37"", ""riskometer_benchmark"": ""37"", ""scheme_launch_date"": ""37""}"
Quant Money Managers Limited,quant Multi Cap Fund,Quant Mutual Fund,['NIFTY 500 MULTICAP 50:25:25'],20260831,"7,754.94 Cr",20010417,,,500,0,,,41,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.04,,,-0.54,,,41,,,0.27,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""41"", ""benchmark_index"": ""41"", ""count"": 29, ""fund_manager_managing_fund_since"": ""41"", ""fund_manager_name"": ""41"", ""fund_manager_qualification"": ""41"", ""fund_manager_total_exp"": ""41"", ""load_exit"": ""41"", ""main_scheme_name"": ""41"", ""metrics_beta"": ""41"", ""metrics_information_ratio"": ""41"", ""metrics_port_turnover_ratio"": ""41"", ""metrics_sharpe"": ""41"", ""min_addl_amt"": ""41"", ""min_addl_amt_multiple"": ""41"", ""min_amt"": ""41"", ""min_amt_multiple"": ""41"", ""monthly_aaum_date"": ""41"", ""monthly_aaum_value"": ""41"", ""mutual_fund_name"": ""41"", ""riskometer"": ""41"", ""riskometer_benchmark"": ""41"", ""scheme_launch_date"": ""41""}"
Quant Money Managers Limited,quant Flexi Cap Fund,Quant Mutual Fund,['NIFTY 500'],20260831,"7,420.51 Cr",20081017,,,500,0,,,45,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.15,,,0.54,,,56,,,0.56,,,,,,,Sandeep Tandon,07 January 2022,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""45"", ""benchmark_index"": ""45"", ""count"": 29, ""fund_manager_managing_fund_since"": ""45"", ""fund_manager_name"": ""45"", ""fund_manager_qualification"": ""45"", ""fund_manager_total_exp"": ""45"", ""load_exit"": ""45"", ""main_scheme_name"": ""45"", ""metrics_beta"": ""45"", ""metrics_information_ratio"": ""45"", ""metrics_port_turnover_ratio"": ""45"", ""metrics_sharpe"": ""45"", ""min_addl_amt"": ""45"", ""min_addl_amt_multiple"": ""45"", ""min_amt"": ""45"", ""min_amt_multiple"": ""45"", ""monthly_aaum_date"": ""45"", ""monthly_aaum_value"": ""45"", ""mutual_fund_name"": ""45"", ""riskometer"": ""45"", ""riskometer_benchmark"": ""45"", ""scheme_launch_date"": ""45""}"
Quant Money Managers Limited,quant Large Cap Fund,Quant Mutual Fund,['NIFTY 100'],20260831,"3,669.95 Cr",20220811,,,500,0,,,49,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.13,,,0.51,,,200,,,0.47,,,,,,,Sandeep Tandon,10 August 2022,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,10 August 2022,20 Years,,Ankit Pande,10 August 2022,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""49"", ""benchmark_index"": ""49"", ""count"": 29, ""fund_manager_managing_fund_since"": ""49"", ""fund_manager_name"": ""49"", ""fund_manager_qualification"": ""49"", ""fund_manager_total_exp"": ""49"", ""load_exit"": ""49"", ""main_scheme_name"": ""49"", ""metrics_beta"": ""49"", ""metrics_information_ratio"": ""49"", ""metrics_port_turnover_ratio"": ""49"", ""metrics_sharpe"": ""49"", ""min_addl_amt"": ""49"", ""min_addl_amt_multiple"": ""49"", ""min_amt"": ""49"", ""min_amt_multiple"": ""49"", ""monthly_aaum_date"": ""49"", ""monthly_aaum_value"": ""49"", ""mutual_fund_name"": ""49"", ""riskometer"": ""49"", ""riskometer_benchmark"": ""49"", ""scheme_launch_date"": ""49""}"
Quant Money Managers Limited,quant Large & Mid Cap Fund,Quant Mutual Fund,['NIFTY LARGE MIDCAP 250'],20260831,"3,525.44 Cr",20070108,,,500,0,,,53,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.13,,,0.25,,,59,,,0.53,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,03 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,,,,,"{""amc_name"": ""53"", ""benchmark_index"": ""53"", ""count"": 29, ""fund_manager_managing_fund_since"": ""53"", ""fund_manager_name"": ""53"", ""fund_manager_qualification"": ""53"", ""fund_manager_total_exp"": ""53"", ""load_exit"": ""53"", ""main_scheme_name"": ""53"", ""metrics_beta"": ""53"", ""metrics_information_ratio"": ""53"", ""metrics_port_turnover_ratio"": ""53"", ""metrics_sharpe"": ""53"", ""min_addl_amt"": ""53"", ""min_addl_amt_multiple"": ""53"", ""min_amt"": ""53"", ""min_amt_multiple"": ""53"", ""monthly_aaum_date"": ""53"", ""monthly_aaum_value"": ""53"", ""mutual_fund_name"": ""53"", ""riskometer"": ""53"", ""riskometer_benchmark"": ""53"", ""scheme_launch_date"": ""53""}"
Quant Money Managers Limited,quant Infrastructure Fund,Quant Mutual Fund,['NIFTY INFRASTRUCTURE'],20260831,"3,186.52 Cr",20070920,,,500,0,,,57,,"if any: For redemptions switch outs (including SIP STP) within 3 months from the date of allotment of units, irrespective of the amount of investment: 0.5%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.22,,,0.26,,,41,,,0.52,,,,,,,Sandeep Tandon,03 February 2025,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,02 June 2022,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""57"", ""benchmark_index"": ""57"", ""count"": 29, ""fund_manager_managing_fund_since"": ""57"", ""fund_manager_name"": ""57"", ""fund_manager_qualification"": ""57"", ""fund_manager_total_exp"": ""57"", ""load_exit"": ""57"", ""main_scheme_name"": ""57"", ""metrics_beta"": ""57"", ""metrics_information_ratio"": ""57"", ""metrics_port_turnover_ratio"": ""57"", ""metrics_sharpe"": ""57"", ""min_addl_amt"": ""57"", ""min_addl_amt_multiple"": ""57"", ""min_amt"": ""57"", ""min_amt_multiple"": ""57"", ""monthly_aaum_date"": ""57"", ""monthly_aaum_value"": ""57"", ""mutual_fund_name"": ""57"", ""riskometer"": ""57"", ""riskometer_benchmark"": ""57"", ""scheme_launch_date"": ""57""}"
Quant Money Managers Limited,quant Aggressive Hybrid Fund,Quant Mutual Fund,['NIFTY 50 Hybrid Composite Debt 65:35 Index'],20260831,"2,179.57 Cr",20010404,,,500,0,,,61,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,4.69,1.35,,,,2.78,2.67,149,,,0.53,,,,,,6.33,Sandeep Tandon,03 February 2025,33 Years,,Jignesh Shah,20 February 2026,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,03 October 2019,20 Years,,Ankit Pande,10 May 2020,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,19 February 2025,3 Years,,"{""amc_name"": ""61"", ""benchmark_index"": ""61"", ""count"": 29, ""fund_manager_managing_fund_since"": ""61"", ""fund_manager_name"": ""61"", ""fund_manager_qualification"": ""61"", ""fund_manager_total_exp"": ""61"", ""load_exit"": ""61"", ""main_scheme_name"": ""61"", ""metrics_avg_maturity"": ""61"", ""metrics_beta"": ""61"", ""metrics_macaulay"": ""61"", ""metrics_mod_duration"": ""61"", ""metrics_port_turnover_ratio"": ""61"", ""metrics_sharpe"": ""61"", ""metrics_ytm"": ""61"", ""min_addl_amt"": ""61"", ""min_addl_amt_multiple"": ""61"", ""min_amt"": ""61"", ""min_amt_multiple"": ""61"", ""monthly_aaum_date"": ""61"", ""monthly_aaum_value"": ""61"", ""mutual_fund_name"": ""61"", ""riskometer"": ""61"", ""riskometer_benchmark"": ""61"", ""scheme_launch_date"": ""61""}"
Quant Money Managers Limited,quant Value Fund,Quant Mutual Fund,['NIFTY 500'],20260831,"1,968.05 Cr",20211130,,,500,0,,,65,,"if any: For redemptions switch outs (including SIP STP) within 15 days from the date of allotment of units, irrespective of the amount of investment: 1%. No exit load shall be applicable on switches from Regular Plan to Direct Plan and vice versa, under the same scheme.",,,,,,,1.21,,,0.90,,,54,,,0.72,,,,,,,Sandeep Tandon,30 November 2021,33 Years,,Sameer Kate,06 March 2025,31 Years,,Sanjeev Sharma,30 November 2021,20 Years,,Ankit Pande,30 November 2021,16 Years,,Yug Tibrewal,06 March 2025,8 Years,,Varun Pattani,19 February 2025,5 Years,,Ayusha Kumbhat,03 February 2025,3 Years,,,,,,"{""amc_name"": ""65"", ""benchmark_index"": ""65"", ""count"": 29, ""fund_manager_managing_fund_since"": ""65"", ""fund_manager_name"": ""65"", ""fund_manager_qualification"": ""65"", ""fund_manager_total_exp"": ""65"", ""load_exit"": ""65"", ""main_scheme_name"": ""65"", ""metrics_beta"": ""65"", ""metrics_information_ratio"": ""65"", ""metrics_port_turnover_ratio"": ""65"", ""metrics_sharpe"": ""65"", ""min_addl_amt"": ""65"", ""min_addl_amt_multiple"": ""65"", ""min_amt"": ""65"", ""min_amt_multiple"": ""65"", ""monthly_aaum_date"": ""65"", ""monthly_aaum_value"": ""65"", ""mutual_fund_name"": ""65"", ""riskometer"": ""65"", ""riskometer_benchmark"": ""65"", ""scheme_launch_date"": ""65""}"
