,Scheme_Name,Benchmark,RegularPercent,DirectPercent,mfId,date
0,Aditya Birla Sun Life CRISIL IBX 50:50 Gilt Plus SDL Apr 2028 Index Fund,CRISIL IBX 50:50 Gilt Plus SDL Index - April 2028,1.34,1.34,3,02-jan-2023
1,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU - Apr 2025 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2025,0.49,0.48,3,02-jan-2023
2,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU Apr 2026 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2026,0.29,0.29,3,02-jan-2023
3,Aditya Birla Sun Life CRISIL IBX 60:40 SDL + AAA PSU Apr 2027 Index Fund,CRISIL IBX 60:40 SDL + AAA PSU Index - April 2027,0.73,0.73,3,02-jan-2023
4,Aditya Birla Sun Life CRISIL IBX AAA Jun 2023 Index Fund,CRISIL IBX AAA Index - June 2023,0.21,0.21,3,02-jan-2023
5,Aditya Birla Sun Life CRISIL IBX Gilt - April 2026 Index Fund,CRISIL IBX Gilt Index - April 2026,0.27,0.27,3,02-jan-2023
6,Aditya Birla Sun Life CRISIL IBX Gilt Apr 2029 Index Fund,CRISIL IBX Gilt Index - April 2029,0.53,0.53,3,02-jan-2023
7,Aditya Birla Sun Life Gold ETF,Domestic Price of Gold,0.26,,3,02-jan-2023
8,Aditya Birla Sun Life Nifty 200 Momentum 30 ETF,Nifty 200 Momentum 30 Total Return Index,0.04,,3,02-jan-2023
9,Aditya Birla Sun Life Nifty 200 Quality 30 ETF,NIFTY 200 Quality 30 Total Return Index,0.06,,3,02-jan-2023
10,Aditya Birla Sun Life Nifty 50 Equal Weight Index Fund,NIFTY 50 Equal Weight Total Return Index,0.14,0.14,3,02-jan-2023
11,Aditya Birla Sun Life Nifty 50 ETF,NIFTY 50 Total Return Index,0.05,,3,02-jan-2023
12,Aditya Birla Sun Life Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.06,0.06,3,02-jan-2023
13,Aditya Birla Sun Life Nifty Bank ETF,NIFTY Bank Total Return Index,0.07,,3,02-jan-2023
14,Aditya Birla Sun Life Nifty Healthcare ETF,NIFTY Healthcare Total Return Index.,0.02,,3,02-jan-2023
15,Aditya Birla Sun Life Nifty IT ETF,NIFTY IT Total Return Index,0.1,,3,02-jan-2023
16,Aditya Birla Sun Life Nifty Midcap 150 Index Fund,NIFTY Midcap 150 Total Return Index,0.13,0.13,3,02-jan-2023
17,Aditya Birla Sun Life Nifty Next 50 ETF,NIFTY Next 50 Total Return Index,0.08,,3,02-jan-2023
18,Aditya Birla Sun Life Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.23,0.22,3,02-jan-2023
19,Aditya Birla Sun Life Nifty SDL Apr 2027 Index Fund,Nifty SDL Apr 2027 Index,1.37,1.37,3,02-jan-2023
20,Aditya Birla Sun Life Nifty SDL Plus PSU Bond Sep 2026 60:40 Index Fund,Nifty SDL Plus PSU Bond Sep 2026 60:40 Index,1.19,1.18,3,02-jan-2023
21,Aditya Birla Sun Life Nifty SDL Sep 2025 Index Fund,Nifty SDL Sep 2025 Index,1.18,1.17,3,02-jan-2023
22,Aditya Birla Sun Life Nifty Smallcap 50 Index Fund,NIFTY Smallcap 50 Total Return Index,0.15,0.14,3,02-jan-2023
23,Aditya Birla Sun Life S&P BSE Sensex ETF,S&P BSE Sensex Total Return Index,0.04,,3,02-jan-2023
24,Aditya Birla Sun Life Silver ETF,Domestic Price of Silver,1.83,,3,02-jan-2023
25,Axis CRISIL IBX 70:30 CPSE Plus SDL April 2025 Index Fund,CRISIL IBX 70:30 CPSE Plus SDL - April 2025,0.5,0.5,53,02-jan-2023
26,Axis CRISIL IBX SDL May 2027 Index Fund,CRISIL IBX SDL Index - May 2027,1.06,1.06,53,02-jan-2023
27,Axis Gold ETF,Domestic Price of Gold,0.45,,53,02-jan-2023
28,Axis Nifty 100 Index Fund,NIFTY 100 Total Return Index,0.18,0.18,53,02-jan-2023
29,Axis Nifty 50 ETF,NIFTY 50 Total Return Index,0.04,,53,02-jan-2023
30,Axis Nifty 50 Index Fund,NIFTY 50 Total Return Index,0.38,0.38,53,02-jan-2023
31,Axis Nifty AAA Bond Plus SDL Apr 2026 50:50 ETF,Nifty AAA Bond Plus SDL Apr 2026 50:50 Index,0.97,,53,02-jan-2023
32,Axis NIFTY Bank ETF,NIFTY Bank Total Return Index,0.09,,53,02-jan-2023
33,Axis NIFTY Healthcare ETF,NIFTY Healthcare Total Return Index.,0.06,,53,02-jan-2023
34,Axis NIFTY India Consumption ETF,NIFTY India Consumption Total Return Index,0.09,,53,02-jan-2023
35,Axis NIFTY IT ETF,NIFTY IT Total Return Index,0.11,,53,02-jan-2023
36,Axis Nifty Midcap 50 Index Fund,NIFTY Midcap 50 Total Return Index,16.42,16.42,53,02-jan-2023
37,Axis Nifty Next 50 Index Fund,NIFTY Next 50 Total Return Index,0.47,0.47,53,02-jan-2023
38,Axis Nifty SDL September 2026 Debt Index Fund,Nifty SDL Sep 2026 Index,0.96,0.96,53,02-jan-2023
39,Axis Nifty Smallcap 50 Index Fund,NIFTY Smallcap 50 Total Return Index,0.65,0.65,53,02-jan-2023
40,Axis Silver ETF,Domestic Price of Silver,2.9,,53,02-jan-2023
41,BHARAT 22 ETF,S&P BSE Bharat 22 Total Return Index,0.15,,20,02-jan-2023
42,BHARAT Bond ETF - April 2023,NIFTY Bharat Bond Index Series - April 2023,0.4,,47,02-jan-2023
43,BHARAT Bond ETF - April 2025,NIFTY Bharat Bond Index Series - April 2025,0.91,,47,02-jan-2023
44,BHARAT Bond ETF - April 2030,NIFTY Bharat Bond Index Series - Apri 2030,1.84,,47,02-jan-2023
45,BHARAT Bond ETF - April 2031,NIFTY Bharat Bond Index Series - Apri 2031,2.24,,47,02-jan-2023
