page,table,mutual_fund_name,main_scheme_name,portfolio_data_0,portfolio_data_1,monthly_aaum_value,empty_col
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,PORTFOLIO AS ON 27-Feb-2026,,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,SECURITIES,HOLDINGS,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,MONEY MARKET INSTRUMENTS & NCA,0.34%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,SECURITIES,HOLDINGS,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,EQUITY,99.66%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,COFORGE Ltd,4.60%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,RBL Bank Ltd,3.34%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,BSE Ltd,3.23%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Bank of Baroda,3.20%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Persistent Systems Ltd,3.11%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Dixon Technologies (India) Ltd,2.98%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Northern Arc Capital Ltd,2.92%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Nagarjuna Construction Co. Ltd,2.88%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Hindustan Petroleum Corporation Ltd,2.82%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Whirlpool of India Ltd,2.79%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Fusion Finance Ltd,2.75%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,PB FINTECH Ltd,2.71%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Tube Investments of India Ltd,2.70%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Punjab National Bank,2.69%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Genus Power Infrastrucure Ltd,2.50%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Vedanta Ltd,2.38%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Hindustan Aeronautics Ltd,2.25%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Anant Raj Ltd,2.25%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Max Healthcare Institute Ltd,2.24%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Aurobindo Pharma Ltd,2.19%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Wipro Ltd,2.05%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Nippon India ETF Nifty PSU Bank BeES,2.04%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Creditaccess Grameen Ltd,1.98%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Bharat Heavy Electricals Ltd,1.96%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Equitas Small Finance Bank Ltd,1.92%,"29,494.95",
5,tbl_0,Generali Central Life Insurance Fund,FUTURE MIDCAP FUND,Others,33.18%,"29,494.95",


6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,PORTFOLIO AS ON 27-Feb-2026,,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,SECURITIES,HOLDINGS,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,MONEY MARKET INSTRUMENTS & NCA,0.55%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,SECURITIES,HOLDINGS,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,EQUITY,99.45%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,COFORGE Ltd,5.00%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Persistent Systems Ltd,4.31%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Bank of Baroda,4.05%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,RBL Bank Ltd,3.51%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Wipro Ltd,3.15%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,BSE Ltd,3.14%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Fusion Finance Ltd,2.98%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Whirlpool of India Ltd,2.97%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,DSP Mutual Fund - DSP Nifty PSU Bank ETF,2.91%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Dixon Technologies (India) Ltd,2.89%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Indraprastha Gas Ltd,2.87%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Tube Investments of India Ltd,2.82%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Anant Raj Ltd,2.76%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Nagarjuna Construction Co. Ltd,2.69%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Equitas Small Finance Bank Ltd,2.65%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Northern Arc Capital Ltd,2.63%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,PB FINTECH Ltd,2.52%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Hindustan Petroleum Corporation Ltd,2.48%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Genus Power Infrastrucure Ltd,2.43%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Aurobindo Pharma Ltd,2.18%,"3,572.13",
6,tbl_0,Generali Central Life Insurance Fund,FUTURE MULTICAP FUND,Manappuram Finance Ltd,2.15%,"3,572.13",
