mutual_fund_name,main_scheme_name,sfin,monthly_aum_value,aum_in_mil,portfolio_data_0,portfolio_data_1,page,table
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,ASSET CATEGORY,,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Equity,% of AUM,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,1 HDFC Bank Ltd.,9.28%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,2 ICICI Bank Ltd,8.60%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,3 Reliance Industries Ltd.,7.58%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,4 Infosys Limited,4.34%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,5 Larsen & Toubro Ltd.,4.24%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,6 Bharti Airtel Ltd.,3.99%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,7 Kotak Mahindra Bank Ltd. Fv-1,2.91%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,8 Mahindra & Mahindra Ltd.,2.86%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,9 Axis Bank Ltd.,2.75%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Bajaj Finance Limitedfv-2Fv-1,2.27%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Others,49.94%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Total,98.75%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Corporate Debt,% of AUM,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,1,,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,2,,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Total,0.00%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Money Market,1.25%,5,tbl_0
SBI Life Insurance Fund,EQUITY FUND,ULIF001100105EQUITY-FND111),"81,024.97",,Grand Total,100%,5,tbl_0


SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,ASSET CATEGORY,,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Corporate Debt,% of AUM,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,1 7.97% MANKIND PHARMA LTD. B & D 16-11-2027,2.65%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,2 7.34% PNB B & D 14-02-2035 Iii,2.08%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,3 8.03% Tata Steel B & D 27-02-2028,1.80%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,4 7.85% LIC Housing Fin B & D 18-08-2032 424 Opt I,1.71%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,5 7.5285% Poonawalla Fincorp Limited B & D 24-09-2027 D1,1.49%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,6 7.15% National Bank For Financing Infrastructure & Development B & D 28-03-,1.46%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7 8.78% MUTHOOT FINANCE LIMITED B & D 04-10-2029 38-A OPT I,1.19%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,8 7.55% Bajaj Finance Limited B & D 03-04-2035 289 Opt I,1.18%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,9 6.92% PFC B & D 14-04-2032 214,1.17%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7.57% Bajaj Finance Limited B & D 03-04-2030 289 Opt Ii,1.17%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Others,44.27%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Total,60.16%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Government Securities,% of AUM,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,1 6.68% Goi Cg 07-07-2040,12.01%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,2 7.24% Goi Cg 18-08-2055,4.92%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,3 6.48% Goi Cg 06-10-2035,3.74%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,4 7.34% GOI CG 22-04-2064,3.13%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,5 7.09% GOICg 05-08-2054,3.09%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,6 7.18% Maharashtra Sdl 10-09-2033 Sgs,1.86%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7 7.51% Karnataka Sdl 07-07-2036 Sgs,1.11%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,8 7.50% Tamil Nadu Sdl 14-01-2036 Sgs,0.75%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,9 7.30% GOI CG 19-06-2053,0.74%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,7.82% Madhya Pradesh Sdl 11-02-2042 Sgs,0.61%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Others,3.43%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Total,35.38%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Money Market,4.46%,6,tbl_0
SBI Life Insurance Fund,BOND FUND,ULIF002100105BONDULPFND111),"16,780.91",,Grand Total,100%,6,tbl_0


SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,ASSET CATEGORY,,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Equity,% of AUM,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,1 HDFC Bank Ltd.,7.26%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,2 ICICI Bank Ltd,6.88%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,3 Reliance Industries Ltd.,4.91%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,4 Axis Bank Ltd.,3.26%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,5 Infosys Limited,3.12%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,6 Bharti Airtel Ltd.,3.10%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7 Mahindra & Mahindra Ltd.,2.58%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,8 Tata Steel Ltd.,1.98%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,9 NTPCLimited,1.73%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Maruti Others Total Suzuki India Ltd,37.26% 1.73%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,Corporate Debt,% 73.81% of AUM,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,1 7.56% Bajaj Housing Finance Limited B & D 04-10-2034 32 Trn - 5,1.71%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,2 6.85% Nabard B & D 19-01-2029 26 B,1.70%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,3 7.95% LIC Housing Fin B & D 21-02-2033 430,0.87%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,4 7.77% HDFC Bank B & D 28-06-2027 AA-008,0.86%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,5 7.61% LIC Housing Fin B & D 29-08-2034,0.76%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,6 7.95% LIC Housing Fin B & D 29-01-2028 359,0.59%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,7 8.05% NTPCLimited B & D 05-05-2026 Sr 60,0.52%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,8 7.17% IRFC B & D 27-04-2035 188,0.41%,7,tbl_0
SBI Life Insurance Fund,GROWTH FUND,ULIF003241105GROWTH-FND111),"2,912.93",,9 8.30% IRFC B & D 25-03-2029 134,0.35%,7,tbl_0
