Sector,Que. No.,Question,Helpful Key Point,Type
Environment,Q307,What is the Scope 1 & Scope 2 emissions intensity for the current year?,Scope 1,Number
Environment,Q303,What is the Scope 3 emissions intensity for the current year?,Scope 3,Number
Environment,Q299,What was the Total Scope 1 & 2 intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Scope 1,Number
Environment,Q304,What is the intensity of Scope 1 & Scope 2 emissions in terms of Purchasing Power Parity (PPP) for the current year?,Scope 1,Number
Environment,Q278,What are the total PM emissions for the Current Year (Unit: Metric Tonne)?,air emissions,Number
Environment,Q277,What are the total SOx emissions for the Current Year (Unit: Metric Tonne)?,air emissions,Number
Environment,Q279,What are the total NOx emissions for the Current Year (Unit: Metric Tonne)?,air emissions,Number
Environment,Q289,What is the Water intensity per rupee of turnover in crores for the Current Year (in kilolitres)?,Water Intensity,Number
Environment,Q1189,What is the % of untreated water discharge?,Water Discharge,Number
Environment,Q66,What is the Total volume of fresh water withdrawal (in kilolitres) for the Current Year?,Water Withdrawal,Number
Environment,Q67,What is the Total volume of fresh water discharge (in kilolitres) for the Current Year?,Water Discharge,Number
Environment,Q281,What is the Total volume of water consumed (in kilolitres) in areas of water stress in the Current Year?,Water Stress,Number
Environment,Q275,What is the Total Effluent Discharge in the Current Year?,Zero Liquid/Effluent Treatment Plant,Boolean
Environment,Q285,How much was the Water intensity in Current Year (in kilolitres) for Physical Output?,Water intensity ,Number
Environment,Q288,What is the Water intensity per rupee of turnover adjusted for Purchasing Power Parity (PPP) in Crores Current Year (in kilolitres) - PPP?,Water Consumption,Number
Environment,Q306,What is the energy intensity turnover for the current year?,Energy Intensity,Number
Environment,Q270,Percentage of energy consumed from renewable sources,Energy Intensity,Number
Environment,Q272,What is the Energy intensity in terms of physical output?,Physical output,Number
Environment,Q305,What is the Energy intensity adjusted for Purchasing Power Parity (PPP) for the current year?,Energy Intensity,Number
Environment,Q301,What is the Waste intensity (Total waste generated /Revenue from operations) for the year?,Waste Intensity,Number
Environment,Q294,How much was the Hazardous waste for the Current Year (in metric tonnes)?,Hazardous waste,Number
Environment,Q300,What is the Waste Recycled/ Recovered Intensity for the current year?,Recycled,Number
Environment,Q126,Percentage of recycled or reused input material used in production (for manufacturing industry) or providing services (for service industry),reused input material,Boolean
Environment,Q297,What was the Total Waste intensity (Current Year) (Unit: Metric Tonne) - Physical Output?,Waste intensity ,Number
Environment,Q302,What is the waste intensity adjusted for Purchasing Power Parity (PPP) for the current year?,Waste Intensity,Number
Environment,Q6,Turnover of products and / services as a percentage of turnover from all products/service that carry information about the safe and responsible usage,Turnover of products,Number
Environment,Q266,What is the clinker factor ratio?,Clinker,Number
Environment,Q107,What is fly ash utilization % in Current Year?,fly ash,Boolean
Environment,Q163,Is the company investing in New generation aircarft fleet? Has the number increased as compared to Previous year?,Aircarft Fleet,Number
Environment,Q247,"What percentage of the total virgin raw material does the company produced and/or purchased covered by FSC, PEFC and/or SFI certification?","FSC, PEFC and/or SFI",Number
Social,Q704,Total Lost time incident rate (LTIR)_Workers,"LTIFR, safety related incidents, Lost time ",Number
Social,Q591,Total Lost time incident rate (LTIR)_Employees,"LTIFR, safety related incidents, Lost time ",Number
Social,Q592,Total recordable work-related injuries for Employees as a % of the total employees in the company,work-related injuries ,Number
Social,Q593,Total recordable work-related injuries for Workers  as a % of the total workers in the company,work-related injuries ,Number
Social,Q594,Fatalities of employees,Fatalities ,Number
Social,Q595,Fatalities of workers,Fatalities ,Number
Social,Q622,Count of high consequence work-related injury or ill-health of employees (excluding fatalities),,Number
Social,Q623,Count of high consequence work-related injury or ill-health of worker (excluding fatalities),,Number
Social,Q585,Percentage of plants and offices that were assessed (by entity or statutory authorities or third parties) with respect to health and safety practices?,,Number
Social,Q504,Provide percentage of total employees covered under health and safety measures training,,Number
Social,Q543,Percentage of total permanent employees covered by health insurance,,Number
Social,Q544,Percentage of total other than permanent employees covered by health insurance,,Number
Social,Q545,Percentage of total permanent worker covered by health insurance,,Number
Social,Q546,Percentage of total other than permanent worker covered by health insurance,,Number
Social,Q548,Percentage of total permanent worker covered by accident insurance,,Number
Social,Q549,Percentage of total other than permanent worker covered by accident insurance,,Number
Social,Q547,Percentage of total permanent employees covered by accident insurance,,Number
Social,Q510,What is the percentage of female employees in the workforce?,,Number
Social,Q729,What is the turnover rate for permanent female employees in the Current Year?,,Number
Social,Q728,What is the total turnover rate for permanent female worker in the Current Year?,,Number
Social,Q501,Pay Parity between male and female employees,,Number
Social,Q1194,Number of complaints on POSH as a % of female employees / workers for current year?,,Number
Social,Q785,What is the  Gross wages paid to females as percentage of wages paid?,,Number
Social,Q745,How many complaints were filed on discrimination at workplace in Current Year?,,Number
Social,Q735,How many Complaints were filed by employees and workers or employees as a % of number of employees in the current year?,,Number
Social,Q741,What is the number of pending/unresolved employees and workers grievances as % of total complaints filed in the Current Year?,,Number
Social,Q720,How many complaints were filed on Wages in the current year?,,Number
Social,Q571,Pending resolution of complaints as a % of total complaints filed by employees and workers pertaning to working conditions,,Number
Social,Q739,What is the turnover rate for permanent workers for the Current Year?,,Number
Social,Q737,What is the turnover rate for permanent employees for the Current Year?,,Number
Social,Q782,What is the percentage of  cost incurred as a % of total revenue of the company with regards to spending on measures towards wellbeing of employees and workers ?,,Number
Social,Q590,Percentage of workers or employees in association(s) or Unions recognised by the listed entity,,Number
Social,Q742,What is the number of complaints filed by the customers as a % of revenue in Current Year?,,Number
Social,Q698,Total instances of product recalls,,Number
Social,Q627,% of value chain partners (by value of business done with such partners) that were assessed for Health and Safety practices,,Number
Social,Q1165,What is the purchases from trading houses as % of total purchases?,,Number
Social,Q1167,What is purchases from top 10 trading houses as % of total purchases from trading houses?,,Number
Social,Q631,Number of complaints filed by communities stakeholders,,Number
Social,Q632,Count of pending/unresolved communities grievances,,Number
Social,Q522,Percentage of CSR obligation spent (Ratio of CSR spent to CSR obligation),,Number
Social,Q786,What is the input material directly sourced from MSMEs/ small producers (In % terms – As % of total purchases by value)?,,Number
Social,Q581,Percentage of capital expenditure (capex) investments in specific technologies to improve the environmental and social impacts of products and processes to total capex investments made by the entity.,,Number
Social,Q787,What is the input material sourced directly from within India  as % of total purchases?,,Number
Social,Q788,What is the % of Job creation in smaller towns – Wages paid to persons  employed in smaller towns (permanent or non-permanent /on contract) as % of total wage cost?,,Number
Social,Q789,What are the number of days of accounts payable?,,Number
Social,Q801,What is the sales to dealers / distributors as % of total sales?,,Number
Social,Q803,What is the sales to top 10 dealers / distributors as % of total sales to dealers / distributors?,,Number
Social,Q1195,% of data breaches involving PII data of customers,,Number
Social,Q774,Share of buildings that are certified according to international building standards/ GRESB/IGBC?,,Boolean
Governance,Q1001,Percentage of Independent Directors on the board ,,Number
Governance,Q1060,Number of Independent women directors on the board,,Number
Governance,Q1059,Number of women directors on the board,,Number
Governance,Q1109,Average attendance for Board meeting in the current FY,,Number
Governance,Q1007,Number of Directorships of all board members,,Number
Governance,Q1136,Number of Directors against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q1149,Number of complaints received in relation to issues of Conflict of Interest of the Directors / KMPs,,Number
Governance,Q1003,Percentage of independent directors in Nomination and Remuneration Committee,,Number
Governance,Q1004,Percentage of independent directors in Audit Committee,,Number
Governance,Q1082,Number of independent directors in Risk Management Committee,,Number
Governance,Q1089,Number of independent directors in CSR Committee,,Number
Governance,Q1096,Percentage of subject matter experts appointed in the Audit Committee,,Number
Governance,Q1021,Ratio of remuneration of MD / CEO to median remuneration of Employees,,Number
Governance,Q1031,Percentage of non-audit fees as compared to total audit fees,,Number
Governance,Q1102,Number of whistle blower complaints filed in the current year,,Number
Governance,Q1150,Number of pending consumer compliant on unfair trade practices,,Number
Governance,Q721,Number of Employees against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q722,Number of Workers against whom disciplinary action was taken by any law enforcement agency for the charges of bribery/ corruption,,Number
Governance,Q1171,What is the share of RPTs (as respective %age) in Purchases?,,Number
Governance,Q1172,What is the Share of RPTs (as respective %age) in Sales?,,Number
Governance,Q1173,What is the Share of RPTs (as respective %age) in Loans & Advances?,,Number
Governance,Q1174,What is the Share of RPTs (as respective %age) in Investments?,,Number
Environment,Q7,Are there any initiatives towards reduction in GHG Emissions?,Gas emission,Boolean
Environment,Q276,What are the total VOC / POP / HAP emissions for the Current Year (Unit: Metric Tonne)?,VOC / POP / HAP,Number
Environment,Q92,"What are the initaitives taken to reduce the Nox, Sox, PM, VOC, HAP and POP  air emissions?",air emissions,Boolean
Environment,Q100,Does the company have facilities/ operations in water stress regions?,water stress,Boolean
Environment,Q43,Has the entity implemented mechanism for Zero Liquid Discharge?,Zero Liquid,Boolean
Environment,Q190,Third-party verification of water data,disclosures related to water,Boolean
Environment,Q13,What are the goals/ targets/ commitments towards Energy Consumption?,Energy Consumption,Boolean
