Company Name,gstin,authStatus,stateCd,pan
Asian Paints Ltd,29AAACA3622K1ZR,Active,29,AAACA3622K
Asian Paints Ltd,33AAACA3622K1CD,Active,33,AAACA3622K
Asian Paints Ltd,23AAACA3622K1Z3,Active,23,AAACA3622K
Asian Paints Ltd,19AAACA3622K2ZR,Active,19,AAACA3622K
Asian Paints Ltd,16AAACA3622K1ZY,Active,16,AAACA3622K
Asian Paints Ltd,06AAACA3622K1ZZ,Active,6,AAACA3622K
Asian Paints Ltd,07AAACA3622K1ZX,Active,7,AAACA3622K
Asian Paints Ltd,24AAACA3622K2Z0,Active,24,AAACA3622K
Asian Paints Ltd,27AAACA3622K1ZV,Active,27,AAACA3622K
Asian Paints Ltd,37AAACA3622K1ZU,Active,37,AAACA3622K
Asian Paints Ltd,30AAACA3622K2Z7,Active,30,AAACA3622K
Asian Paints Ltd,29AAACA3622K1C2,Active,29,AAACA3622K
Asian Paints Ltd,29AAACA3622K2ZQ,Active,29,AAACA3622K
Asian Paints Ltd,20AAACA3622K1Z9,Active,20,AAACA3622K
Asian Paints Ltd,24AAACA3622K1Z1,Active,24,AAACA3622K
Asian Paints Ltd,05AAACA3622K1Z1,Active,5,AAACA3622K
Asian Paints Ltd,08AAACA3622K1C6,Active,8,AAACA3622K
Asian Paints Ltd,07AAACA3622K2ZW,Active,7,AAACA3622K
Asian Paints Ltd,09AAACA3622K1C4,Active,9,AAACA3622K
Asian Paints Ltd,09AAACA3622K1ZT,Active,9,AAACA3622K
Asian Paints Ltd,10AAACA3622K1ZA,Active,10,AAACA3622K
Asian Paints Ltd,01AAACA3622K1Z9,Active,1,AAACA3622K
Asian Paints Ltd,21AAACA3622K1CI,Active,21,AAACA3622K
Asian Paints Ltd,36AAACA3622K1C7,Active,36,AAACA3622K
Asian Paints Ltd,03AAACA3622K1CG,Active,3,AAACA3622K
Asian Paints Ltd,33AAACA3622K1Z2,Active,33,AAACA3622K
Asian Paints Ltd,33AAACA3622K2Z1,Active,33,AAACA3622K
Asian Paints Ltd,08AAACA3622K1ZV,Active,8,AAACA3622K
Asian Paints Ltd,36AAACA3622K1ZW,Active,36,AAACA3622K
Asian Paints Ltd,03AAACA3622K1Z5,Active,3,AAACA3622K
Asian Paints Ltd,18AAACA3622K1ZU,Active,18,AAACA3622K
Asian Paints Ltd,22AAACA3622K1Z5,Active,22,AAACA3622K
Asian Paints Ltd,27AAACA3622K3ZT,Active,27,AAACA3622K
Asian Paints Ltd,21AAACA3622K1Z7,Active,21,AAACA3622K
Asian Paints Ltd,32AAACA3622K1Z4,Active,32,AAACA3622K
Asian Paints Ltd,24AAACA3622K1CC,Active,24,AAACA3622K
Asian Paints Ltd,02AAACA3622K1Z7,Active,2,AAACA3622K
Asian Paints Ltd,19AAACA3622K1ZS,Active,19,AAACA3622K
Asian Paints Ltd,27AAACA3622K2ZU,Active,27,AAACA3622K
Asian Paints Ltd,09AAACA3622K2ZS,Active,9,AAACA3622K
Asian Paints Ltd,27AAACA3622K1C6,Active,27,AAACA3622K
Asian Paints Ltd,10AAACA3622K1CL,Active,10,AAACA3622K
Asian Paints Ltd,17AAACA3622K1ZW,Active,17,AAACA3622K
Asian Paints Ltd,30AAACA3622K1Z8,Active,30,AAACA3622K
Apollo Hospitals Enterprise Ltd,17AAACA5443N1ZJ,Active,17,AAACA5443N
Apollo Hospitals Enterprise Ltd,23AAACA5443N1ZQ,Active,23,AAACA5443N
Apollo Hospitals Enterprise Ltd,36AAACA5443N2ZI,Active,36,AAACA5443N
Apollo Hospitals Enterprise Ltd,22AAACA5443N2ZR,Active,22,AAACA5443N
Apollo Hospitals Enterprise Ltd,27AAACA5443N3ZG,Active,27,AAACA5443N
Apollo Hospitals Enterprise Ltd,07AAACA5443N2ZJ,Active,7,AAACA5443N
Apollo Hospitals Enterprise Ltd,21AAACA5443N2ZT,Active,21,AAACA5443N
Apollo Hospitals Enterprise Ltd,23AAACA5443N2ZP,Active,23,AAACA5443N
Apollo Hospitals Enterprise Ltd,22AAACA5443N3ZQ,Active,22,AAACA5443N
Apollo Hospitals Enterprise Ltd,07AAACA5443N3ZI,Active,7,AAACA5443N
Apollo Hospitals Enterprise Ltd,33AAACA5443N3ZN,Active,33,AAACA5443N
Apollo Hospitals Enterprise Ltd,36AAACA5443N4ZG,Active,36,AAACA5443N
Apollo Hospitals Enterprise Ltd,36AAACA5443N1ZJ,Active,36,AAACA5443N
Apollo Hospitals Enterprise Ltd,27AAACA5443N2ZH,Active,27,AAACA5443N
Apollo Hospitals Enterprise Ltd,36AAACA5443N3ZH,Active,36,AAACA5443N
Apollo Hospitals Enterprise Ltd,24AAACA5443N3ZM,Active,24,AAACA5443N
Apollo Hospitals Enterprise Ltd,33AAACA5443N5ZL,Active,33,AAACA5443N
Apollo Hospitals Enterprise Ltd,34AAACA5443N2ZM,Active,34,AAACA5443N
Apollo Hospitals Enterprise Ltd,19AAACA5443N1ZF,Active,19,AAACA5443N
Apollo Hospitals Enterprise Ltd,09AAACA5443N1ZG,Active,9,AAACA5443N
Apollo Hospitals Enterprise Ltd,29AAACA5443N6Z9,Active,29,AAACA5443N
Apollo Hospitals Enterprise Ltd,37AAACA5443N5ZD,Active,37,AAACA5443N
Apollo Hospitals Enterprise Ltd,37AAACA5443N1ZH,Active,37,AAACA5443N
Apollo Hospitals Enterprise Ltd,32AAACA5443N2ZQ,Active,32,AAACA5443N
Apollo Hospitals Enterprise Ltd,37AAACA5443N4ZE,Active,37,AAACA5443N
Apollo Hospitals Enterprise Ltd,21AAACA5443N3ZS,Active,21,AAACA5443N
Apollo Hospitals Enterprise Ltd,06AAACA5443N1ZM,Active,6,AAACA5443N
Apollo Hospitals Enterprise Ltd,33AAACA5443N4ZM,Active,33,AAACA5443N
Apollo Hospitals Enterprise Ltd,24AAACA5443N1ZO,Active,24,AAACA5443N
Apollo Hospitals Enterprise Ltd,24AAACA5443N2ZN,Active,24,AAACA5443N
Apollo Hospitals Enterprise Ltd,20AAACA5443N2ZV,Active,20,AAACA5443N
Apollo Hospitals Enterprise Ltd,07AAACA5443N1ZK,Active,7,AAACA5443N
Apollo Hospitals Enterprise Ltd,33AAACA5443N2ZO,Active,33,AAACA5443N
Apollo Hospitals Enterprise Ltd,37AAACA5443N3ZF,Active,37,AAACA5443N
Apollo Hospitals Enterprise Ltd,09AAACA5443N2ZF,Active,9,AAACA5443N
Apollo Hospitals Enterprise Ltd,29AAACA5443N5ZA,Active,29,AAACA5443N
Apollo Hospitals Enterprise Ltd,29AAACA5443N2ZD,Active,29,AAACA5443N
Apollo Hospitals Enterprise Ltd,20AAACA5443N3ZU,Active,20,AAACA5443N
Bharti Airtel Ltd,18AAACB2894G1ZM,Active,18,AAACB2894G
Bharti Airtel Ltd,17AAACB2894G1ZO,Active,17,AAACB2894G
Bharti Airtel Ltd,26AAACB2894G1ZP,Active,26,AAACB2894G
Bharti Airtel Ltd,33AAACB2894G1ZU,Active,33,AAACB2894G
Bharti Airtel Ltd,30AAACB2894G1Z0,Active,30,AAACB2894G
Bharti Airtel Ltd,23AAACB2894G2ZU,Active,23,AAACB2894G
Bharti Airtel Ltd,16AAACB2894G1ZQ,Active,16,AAACB2894G
Bharti Airtel Ltd,33AAACB2894G2ZT,Active,33,AAACB2894G
Bharti Airtel Ltd,23AAACB2894G5ZR,Active,23,AAACB2894G
Bharti Airtel Ltd,19AAACB2894G2ZJ,Active,19,AAACB2894G
Bharti Airtel Ltd,10AAACB2894G2Z1,Active,10,AAACB2894G
Bharti Airtel Ltd,11AAACB2894G1Z0,Active,11,AAACB2894G
