,0,1,page,table
0,SECURITIES,Holding,0,table_1
1,GOVERNMENT SECURITIES,14.36%,0,table_1
2,6.01% GOI 2030 (MD 21/07/2030),14.36%,0,table_1
3,CORPORATE DEBT,72.81%,0,table_1
4,7.68% IRFC NCD (MD 24/11/2026),9.09%,0,table_1
5,7.44% SIDBI NCD (MD 04/09/2026),9.05%,0,table_1
6,7.51% REC Limited NCD (MD 31/07/2026),9.05%,0,table_1
7,6.66% NABARD NCD Sr 26A  (MD 12/10/2028),8.95%,0,table_1
8,7.60% Torrent Pharmaceuticals Ltd Series,,0,table_1
9,2 (MD 19/01/2029),8.34%,0,table_1
10,7.90% Mahindra And Mahindra Fin Serv Ltd,,0,table_1
11,NCD (MD 30/08/2027),3.66%,0,table_1
12,8.39% JSW Steel Ltd NCD (MD 13/05/2027),,0,table_1
13,- Step Down - Call,3.65%,0,table_1
14,7.92% ABCL NCD (MD 27/12/2027),2.75%,0,table_1
15,7.65% HDB Financial Services Ltd,,0,table_1
16,NCD (MD 10/09/2027),2.74%,0,table_1
17,6.64% Power Finance Corpn. Ltd.,,0,table_1
18,NCD (15/07/2030),2.23%,0,table_1
19,Other Corporate Debt,13.30%,0,table_1
20,"MMI, Deposits, TREPS & Others",12.83%,0,table_1
21,Refer annexure for complete portfolio details.,7,0,table_1
22,SECURITIES,Holding,1,table_1
23,GOVERNMENT SECURITIES,54.71%,1,table_1
24,6.68% GOI (MD 27/01/2033),21.81%,1,table_1
25,6.68% GOI 2040 (MD 07/07/2040),12.10%,1,table_1
26,6.33% GOI 2035 (MD 05/05/2035),11.79%,1,table_1
27,5.63% GOI 2026 (MD 12/04/2026),6.36%,1,table_1
28,6.92% GOI 2039 (MD 18/11/2039),2.40%,1,table_1
29,8.19% Karnataka SDL (23/01/2029),0.14%,1,table_1
30,8.18% State Developement Loan-Tamilnadu 2028,,1,table_1
31,(MD 19/12/2028),0.11%,1,table_1
32,CORPORATE DEBT,35.65%,1,table_1
33,7.645% LIC Housing Finance Ltd NCD (MD 21/02/2030),4.88%,1,table_1
34,7.65% Sundaram Home Finance Ltd NCD (MD 29/10/2029),4.88%,1,table_1
35,7.77% Power Finance Corpn. Ltd. NCD PFC Bs225A (15/07/2026) 4.83%,,1,table_1
36,7.58% NABARD 2026 Bond Series 23H (MD 31/07/2026),4.81%,1,table_1
37,8.95% Bharti Telecom Limited NCD (MD 04/12/2026),2.93%,1,table_1
38,7.95% Mindspace-Reit NCD MD (27/07/2027) (Step),1.61%,1,table_1
39,8.13 %Aditya Birla Housing Finance Ltd NCD (MD 01/11/2028),1.58%,1,table_1
40,8.75% Bharti Telecom Limited NCD (MD 05/11/2029),1.41%,1,table_1
41,8.60% Cholamandalam Invt And Fin Co Ltd,,1,table_1
42,NCD (MD 07/12/2028),0.99%,1,table_1
43,7.58% Godrej Industries Ltd. NCD MD (28/09/28) (Step),0.97%,1,table_1
44,Other Corporate Debt,6.76%,1,table_1
45,"MMI, Deposits, TREPS & Others",9.64%,1,table_1
46,Refer annexure for complete portfolio details.,8,1,table_1
47,SECURITIES,Holding,2,table_1
48,GOVERNMENT SECURITIES,49.02%,2,table_1
49,6.33% GOI 2035 (MD 05/05/2035),29.20%,2,table_1
50,7.17% GOI 2030 (MD 17/04/2030),11.84%,2,table_1
51,6.68% GOI 2040 (MD 07/07/2040),7.98%,2,table_1
52,CORPORATE DEBT,28.02%,2,table_1
53,7.645% LIC Housing Finance Ltd NCD (MD 21/02/2030),10.00%,2,table_1
54,7.65% Sundaram Home Finance Ltd NCD (MD 29/10/2029),10.00%,2,table_1
55,7.97% HDFC Bank. NCD Ab-002 MD (17/02/2033)(HDFC),6.85%,2,table_1
56,8.13 %Aditya Birla Housing Finance Ltd,,2,table_1
57,NCD (MD 01/11/2028),1.17%,2,table_1
58,"MMI, Deposits, TREPS & Others",22.96%,2,table_1
59,Refer annexure for complete portfolio details.,9,2,table_1
60,SECURITIES,Holding,3,table_1
61,GOVERNMENT SECURITIES,52.25%,3,table_1
62,7.26% GOI 2032 (MD 22/08/2032),13.76%,3,table_1
63,6.68% GOI 2040 (MD 07/07/2040),10.32%,3,table_1
64,6.33% GOI 2035 (MD 05/05/2035),7.34%,3,table_1
65,7.88% GOI 2030 (MD 19/03/2030),5.95%,3,table_1
66,7.17% GOI 2030 (MD 17/04/2030),3.87%,3,table_1
67,7.18% GOI 2033 (MD 14/08/2033),3.75%,3,table_1
68,6.54% GOI 2032 (MD 17/01/2032),3.65%,3,table_1
69,7.32% GOI 2030 (MD 13/11/2030),2.92%,3,table_1
70,8.32% GOI (MD 02/08/2032),0.69%,3,table_1
71,CORPORATE DEBT,27.15%,3,table_1
72,7.49% NHAI NCD MD (01/08/2029),9.47%,3,table_1
73,8.05% HDFC Bank NCD (MD 22/10/2029)-W003 Sr(HDFC),3.85%,3,table_1
74,8.00% HDFC Bank. NCD Aa-009 MD (27/07/2032)(HDFC),2.71%,3,table_1
75,9.60% Equitas Small Finance Bank Limited,,3,table_1
76,(MD 05/12/2030),1.98%,3,table_1
77,9.20% DCB Bank  Tier 2 [Call 18/11/29](MD 18-11-34),1.94%,3,table_1
78,8.03% Aditya Birla Capital Ltd Subdebt,,3,table_1
79,NCD (MD 24/06/2033),1.59%,3,table_1
80,8.50% Kotak Alternate Asset Managers Ltd,,3,table_1
81,NCD (MD 20/12/2027),1.15%,3,table_1
82,7.58% Godrej Industries Ltd. NCD MD (28/09/28) (Step),1.13%,3,table_1
83,8.45 % Sheela Form NCD (MD 06/10/2026) S4,0.94%,3,table_1
84,8.45 % Sheela Form NCD (MD 06/04/2026) S3,0.94%,3,table_1
85,Other Corporate Debt,1.46%,3,table_1
86,EQUITY,9.61%,3,table_1
87,HDFC Bank Ltd,0.96%,3,table_1
88,ICICI Bank Ltd,0.78%,3,table_1
89,Reliance Industries Ltd,0.68%,3,table_1
90,Bharti Airtel Ltd,0.37%,3,table_1
91,Larsen And Toubro Ltd,0.36%,3,table_1
92,State Bank Of India,0.34%,3,table_1
93,Infosys Ltd,0.33%,3,table_1
94,Axis Bank Ltd,0.30%,3,table_1
95,Kotak Mahindra Bank Ltd,0.22%,3,table_1
96,Mahindra And Mahindra Ltd,0.21%,3,table_1
97,Other Equity,5.05%,3,table_1
98,"MMI, Deposits, TREPS & Others",11.00%,3,table_1
99,Refer annexure for complete portfolio details.,,3,table_1
100,SECURITIES,Holding,4,table_1
101,GOVERNMENT SECURITIES,46.87%,4,table_1
102,6.33% GOI 2035 (MD 05/05/2035),14.50%,4,table_1
103,6.48% GOI (MD 06/10/2035),6.65%,4,table_1
104,7.26% GOI 2032 (MD 22/08/2032),5.63%,4,table_1
105,6.54% GOI 2032 (MD 17/01/2032),5.44%,4,table_1
106,7.88% GOI 2030 (MD 19/03/2030),5.22%,4,table_1
107,6.68% GOI 2040 (MD 07/07/2040),3.91%,4,table_1
108,7.32% GOI 2030 (MD 13/11/2030),2.82%,4,table_1
109,8.30% GOI 2040 (MD 02/07/2040),1.91%,4,table_1
110,7.17% GOI 2030 (MD 17/04/2030),0.51%,4,table_1
111,8.97% GOI 2030 (MD 05/12/2030),0.27%,4,table_1
112,CORPORATE DEBT,18.81%,4,table_1
113,7.10% NABARD GOI Fully Serviced NCD (MD 08/02/2030),7.40%,4,table_1
114,9.60% Equitas Small Finance Bank Limited (MD 05/12/2030),2.61%,4,table_1
115,8.12% Export Import Bank Of India NCD,,4,table_1
116,(MD 25/04/2031) Sr-T02,2.56%,4,table_1
117,9.20% DCB Bank  Tier 2 [Call 18/11/29](MD 18-11-34),2.55%,4,table_1
118,8.45% HDFC Bank. NCD MD (18/05/2026),,4,table_1
119,(Series P - 012)(HDFC),1.49%,4,table_1
120,7.79% REC Limited NCD 2030 (MD 21/05/2030),1.21%,4,table_1
121,9.45% Power Finance Corpn NCD (01/09/2026) Series 77 B,0.90%,4,table_1
122,7.80% HDFC Bank NCD Us-002 MD (03/05/2033)(HDFC),0.10%,4,table_1
123,EQUITY,19.43%,4,table_1
124,HDFC Bank Ltd,1.95%,4,table_1
125,ICICI Bank Ltd,1.43%,4,table_1
126,Reliance Industries Ltd,1.35%,4,table_1
127,Bharti Airtel Ltd,0.78%,4,table_1
128,Larsen And Toubro Ltd,0.71%,4,table_1
129,Infosys Ltd,0.69%,4,table_1
130,State Bank Of India,0.68%,4,table_1
131,Axis Bank Ltd,0.65%,4,table_1
132,Mahindra And Mahindra Ltd,0.44%,4,table_1
133,Kotak Mahindra Bank Ltd,0.44%,4,table_1
134,Other Equity,10.30%,4,table_1
135,"MMI, Deposits, TREPS & Others",14.89%,4,table_1
136,Refer annexure for complete portfolio details.,,4,table_1
137,SECURITIES,Holding,5,table_1
138,GOVERNMENT SECURITIES,49.64%,5,table_1
139,6.33% GOI 2035 (MD 05/05/2035),27.82%,5,table_1
140,7.26% GOI 2032 (MD 22/08/2032),12.41%,5,table_1
141,6.54% GOI 2032 (MD 17/01/2032),3.00%,5,table_1
142,6.68% GOI 2040 (MD 07/07/2040),2.31%,5,table_1
143,7.18% GOI 2033 (MD 14/08/2033),1.85%,5,table_1
144,8.28% GOI (MD 15/02/2032),1.62%,5,table_1
145,7.17% GOI 2030 (MD 17/04/2030),0.62%,5,table_1
146,CORPORATE DEBT,3.08%,5,table_1
147,7.89% Bajaj Housing Finance Ltd NCD (MD 14/07/2034),3.08%,5,table_1
148,EQUITY,24.23%,5,table_1
149,HDFC Bank Ltd,2.46%,5,table_1
150,ICICI Bank Ltd,1.84%,5,table_1
151,Reliance Industries Ltd,1.72%,5,table_1
152,Bharti Airtel Ltd,0.97%,5,table_1
153,Larsen And Toubro Ltd,0.93%,5,table_1
154,State Bank Of India,0.90%,5,table_1
155,Infosys Ltd,0.85%,5,table_1
156,Axis Bank Ltd,0.76%,5,table_1
157,Mahindra And Mahindra Ltd,0.59%,5,table_1
158,Kotak Mahindra Bank Ltd,0.59%,5,table_1
159,Other Equity,12.62%,5,table_1
160,"MMI, Deposits, TREPS & Others",23.06%,5,table_1
161,Refer annexure for complete portfolio details.,,5,table_1
162,SECURITIES,Holding,6,table_1
163,GOVERNMENT SECURITIES,41.70%,6,table_1
164,7.26% GOI 2032 (MD 22/08/2032),6.78%,6,table_1
165,6.33% GOI 2035 (MD 05/05/2035),5.27%,6,table_1
166,6.48% GOI (MD 06/10/2035),3.76%,6,table_1
167,6.68% GOI 2040 (MD 07/07/2040),3.03%,6,table_1
168,7.17% GOI 2030 (MD 17/04/2030),2.91%,6,table_1
169,7.32% GOI 2030 (MD 13/11/2030),2.55%,6,table_1
170,7.88% GOI 2030 (MD 19/03/2030),1.73%,6,table_1
171,8.33% GOI 2036 (07/06/2036),1.52%,6,table_1
172,7.02% GOI 2031 (MD 18/06/2031),1.48%,6,table_1
173,8.60% GOI 2028 (MD 02/06/2028),1.32%,6,table_1
174,Other Government Securities,11.34%,6,table_1
175,CORPORATE DEBT,23.49%,6,table_1
176,7.44% NTPC Ltd NCD (MD 25/08/2032),1.94%,6,table_1
177,7.58% NABARD 2026 Bond Series 23H (MD 31/07/2026),1.92%,6,table_1
178,6.69% NTPC Ltd NCD (MD 13/09/2031),1.87%,6,table_1
179,7.93% Bajaj Finance Limited NCD (MD 02/05/2034),1.07%,6,table_1
180,8.30% REC Limited NCD 2029 (MD 25/06/2029),0.80%,6,table_1
181,9.05 HDFC Bank. NCD Series U-001 (MD 16/10/2028)(HDFC),0.50%,6,table_1
182,7.80% Bajaj Housing Finance Ltd NCD (MD 09/02/2034),0.49%,6,table_1
183,7.93% Power Finance Corpn. Ltd. NCD (MD 31/12/2029),0.49%,6,table_1
184,8.15% Tata Steel Ltd NCD (MD 01/10/2026),0.48%,6,table_1
185,7.60% Bajaj Finance Limited NCD (MD 11/02/2030),0.48%,6,table_1
186,Other Corporate Debt,13.45%,6,table_1
187,EQUITY,30.60%,6,table_1
188,HDFC Bank Ltd,2.86%,6,table_1
189,ICICI Bank Ltd,2.08%,6,table_1
190,Reliance Industries Ltd,2.00%,6,table_1
191,Bharti Airtel Ltd,1.09%,6,table_1
192,State Bank Of India,1.09%,6,table_1
193,Larsen And Toubro Ltd,1.08%,6,table_1
194,Infosys Ltd,0.98%,6,table_1
195,Axis Bank Ltd,0.87%,6,table_1
196,Kotak Mahindra Bank Ltd,0.65%,6,table_1
197,ITC Limited,0.65%,6,table_1
198,Other Equity,17.24%,6,table_1
199,"MMI, Deposits, TREPS & Others",4.20%,6,table_1
200,Refer annexure for complete portfolio details.,,6,table_1
201,SECURITIES,Holding,7,table_1
202,GOVERNMENT SECURITIES,27.17%,7,table_1
203,7.10% GOI 2034 (MD 08/04/2034),5.13%,7,table_1
