,0,1,page,table,insur_fund,isin
0,Companies,Ratings Weights,1,table_1,SAMPLE_FUND,123/ABC/2345
1,ICICI BANK LTD.,8.70%,1,table_1,SAMPLE_FUND,123/ABC/2345
2,HDFC BANK LTD,8.24%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,RELIANCE INDUSTRIES LTD .,8.14%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,LARSEN & TOUBRO LTD.,4.49%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,BHARTI AIRTEL LIMITED,4.33%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,STATE BANK OF INDIA,4.17%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,INFOSYS LIMITED.,3.97%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,AXIS BANK LTD,3.36%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,MAHINDRA & MAHINDRA LTD.,2.71%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,KOTAK MAHINDRA BANK LTD.,2.64%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Others,48.68%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,EQUITY,99.43%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,"TREPS, MMI and Others",0.57%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Total,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,M. Duration in Debt and Money Market Instruments: 0.01 years,,1,table_1,SAMPLE_FUND,123/ABC/2345
16,NAV,1 Month 6 Months,1,table_1,SAMPLE_FUND,123/ABC/2345
17,AUM (in cr),,1,table_1,SAMPLE_FUND,123/ABC/2345
18,Fund Benchmark* Fund,Benchmark Fund Benchmark Fund,1,table_1,SAMPLE_FUND,123/ABC/2345
19,1344.05 60.3842 25178.6500 -0.3%,-0.6% 3.2% 3.1% 13.1%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,Note : Returns less than 1 year are absolute returns otherwise annualized,,1,table_1,SAMPLE_FUND,123/ABC/2345
21,Companies,Ratings Weights,2,table_1,SAMPLE_FUND,123/ABC/2345
22,ICICI BANK LTD.,8.48%,2,table_1,SAMPLE_FUND,123/ABC/2345
23,RELIANCE INDUSTRIES LTD .,8.09%,2,table_1,SAMPLE_FUND,123/ABC/2345
24,HDFC BANK LTD,8.04%,2,table_1,SAMPLE_FUND,123/ABC/2345
25,BHARTI AIRTEL LIMITED,4.38%,2,table_1,SAMPLE_FUND,123/ABC/2345
26,LARSEN & TOUBRO LTD.,4.29%,2,table_1,SAMPLE_FUND,123/ABC/2345
27,STATE BANK OF INDIA,4.07%,2,table_1,SAMPLE_FUND,123/ABC/2345
28,INFOSYS LIMITED.,3.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
29,AXIS BANK LTD,3.44%,2,table_1,SAMPLE_FUND,123/ABC/2345
30,MAHINDRA & MAHINDRA LTD.,2.65%,2,table_1,SAMPLE_FUND,123/ABC/2345
31,KOTAK MAHINDRA BANK LTD.,2.53%,2,table_1,SAMPLE_FUND,123/ABC/2345
32,Others,47.69%,2,table_1,SAMPLE_FUND,123/ABC/2345
33,EQUITY,97.53%,2,table_1,SAMPLE_FUND,123/ABC/2345
34,"TREPS, MMI and Others",2.47%,2,table_1,SAMPLE_FUND,123/ABC/2345
35,Total,100.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
36,M. Duration in Debt and Money Market Instruments: 0.01 years,,2,table_1,SAMPLE_FUND,123/ABC/2345
37,NAV,1 Month 6 Months,2,table_1,SAMPLE_FUND,123/ABC/2345
38,AUM (in cr),,2,table_1,SAMPLE_FUND,123/ABC/2345
39,Fund Benchmark* Fund,Benchmark Fund Benchmark Fund,2,table_1,SAMPLE_FUND,123/ABC/2345
40,33.31 86.7099 25178.6500 -0.4%,-0.6% 3.1% 3.1% 13.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
41,Note : Returns less than 1 year are absolute returns otherwise annualized,,2,table_1,SAMPLE_FUND,123/ABC/2345
42,Companies,Ratings Weights,3,table_1,SAMPLE_FUND,123/ABC/2345
43,ICICI BANK LTD.,8.56%,3,table_1,SAMPLE_FUND,123/ABC/2345
44,HDFC BANK LTD,8.56%,3,table_1,SAMPLE_FUND,123/ABC/2345
45,RELIANCE INDUSTRIES LTD .,8.10%,3,table_1,SAMPLE_FUND,123/ABC/2345
46,BHARTI AIRTEL LIMITED,4.81%,3,table_1,SAMPLE_FUND,123/ABC/2345
47,LARSEN & TOUBRO LTD.,4.61%,3,table_1,SAMPLE_FUND,123/ABC/2345
48,STATE BANK OF INDIA,4.59%,3,table_1,SAMPLE_FUND,123/ABC/2345
49,INFOSYS LIMITED.,3.95%,3,table_1,SAMPLE_FUND,123/ABC/2345
50,AXIS BANK LTD,3.65%,3,table_1,SAMPLE_FUND,123/ABC/2345
51,KOTAK MAHINDRA BANK LTD.,2.82%,3,table_1,SAMPLE_FUND,123/ABC/2345
52,MAHINDRA & MAHINDRA LTD.,2.81%,3,table_1,SAMPLE_FUND,123/ABC/2345
53,Others,47.33%,3,table_1,SAMPLE_FUND,123/ABC/2345
54,EQUITY,99.79%,3,table_1,SAMPLE_FUND,123/ABC/2345
55,"TREPS, MMI and Others",0.21%,3,table_1,SAMPLE_FUND,123/ABC/2345
56,Total,100.00%,3,table_1,SAMPLE_FUND,123/ABC/2345
57,M. Duration in Debt and Money Market Instruments: 0.01 years,,3,table_1,SAMPLE_FUND,123/ABC/2345
58,NAV,1 Month 6 Months,3,table_1,SAMPLE_FUND,123/ABC/2345
59,AUM (in cr),,3,table_1,SAMPLE_FUND,123/ABC/2345
60,Fund Benchmark* Fund,Benchmark Fund Benchmark Fund,3,table_1,SAMPLE_FUND,123/ABC/2345
61,7.00 49.2459 25178.6500 -0.3%,-0.6% 3.2% 3.1% 13.6%,3,table_1,SAMPLE_FUND,123/ABC/2345
62,Note : Returns less than 1 year are absolute returns otherwise annualized,,3,table_1,SAMPLE_FUND,123/ABC/2345
63,Companies,Ratings Weights,4,table_1,SAMPLE_FUND,123/ABC/2345
64,SHRIRAM FINANCE LIMITED (Previously SHRIRAM TRANSPORT FINANCE CO.,,4,table_1,SAMPLE_FUND,123/ABC/2345
65,LTD.,5.28%,4,table_1,SAMPLE_FUND,123/ABC/2345
66,EICHER MOTORS LTD.,5.26%,4,table_1,SAMPLE_FUND,123/ABC/2345
67,BAJAJ FINANCE LTD.,4.85%,4,table_1,SAMPLE_FUND,123/ABC/2345
68,MAHINDRA & MAHINDRA LTD.,4.59%,4,table_1,SAMPLE_FUND,123/ABC/2345
69,HINDALCO INDUSTRIES LTD.,4.51%,4,table_1,SAMPLE_FUND,123/ABC/2345
70,MARUTI SUZUKI INDIA LTD.,4.40%,4,table_1,SAMPLE_FUND,123/ABC/2345
71,BHARTI AIRTEL LIMITED,4.34%,4,table_1,SAMPLE_FUND,123/ABC/2345
72,ASIAN PAINTS LTD.,3.95%,4,table_1,SAMPLE_FUND,123/ABC/2345
73,T V S MOTOR CO. LTD,3.68%,4,table_1,SAMPLE_FUND,123/ABC/2345
74,BSE LIMITED,3.34%,4,table_1,SAMPLE_FUND,123/ABC/2345
75,Others,53.77%,4,table_1,SAMPLE_FUND,123/ABC/2345
76,EQUITY,97.97%,4,table_1,SAMPLE_FUND,123/ABC/2345
77,"TREPS, MMI and Others",2.03%,4,table_1,SAMPLE_FUND,123/ABC/2345
78,Total,100.00%,4,table_1,SAMPLE_FUND,123/ABC/2345
79,M. Duration in Debt and Money Market Instruments: 0.01 years,,4,table_1,SAMPLE_FUND,123/ABC/2345
80,NAV,1 Month 6 Months,4,table_1,SAMPLE_FUND,123/ABC/2345
81,AUM (in cr),,4,table_1,SAMPLE_FUND,123/ABC/2345
82,Fund Benchmark* Fund,Benchmark Fund Benchmark Fund,4,table_1,SAMPLE_FUND,123/ABC/2345
83,163.53 11.2044 52358.4000 3.1%,3.1% 2.9% 4.3% 14.8%,4,table_1,SAMPLE_FUND,123/ABC/2345
84,Note : Returns less than 1 year are absolute returns otherwise annualized,,4,table_1,SAMPLE_FUND,123/ABC/2345
85,Companies,Ratings Weights,5,table_1,SAMPLE_FUND,123/ABC/2345
86,ICICI BANK LTD.,5.15%,5,table_1,SAMPLE_FUND,123/ABC/2345
87,STATE BANK OF INDIA,4.84%,5,table_1,SAMPLE_FUND,123/ABC/2345
88,LARSEN & TOUBRO LTD.,4.80%,5,table_1,SAMPLE_FUND,123/ABC/2345
89,BHARTI AIRTEL LIMITED,4.64%,5,table_1,SAMPLE_FUND,123/ABC/2345
90,HDFC BANK LTD,4.55%,5,table_1,SAMPLE_FUND,123/ABC/2345
91,RELIANCE INDUSTRIES LTD .,4.55%,5,table_1,SAMPLE_FUND,123/ABC/2345
92,INFOSYS LIMITED.,4.13%,5,table_1,SAMPLE_FUND,123/ABC/2345
93,MAHINDRA & MAHINDRA LTD. ITC LTD,2.94% 2.93%,5,table_1,SAMPLE_FUND,123/ABC/2345
94,TATA CONSULTANCY SERVICES LTD.,2.57%,5,table_1,SAMPLE_FUND,123/ABC/2345
95,Others,58.10%,5,table_1,SAMPLE_FUND,123/ABC/2345
96,EQUITY,99.19%,5,table_1,SAMPLE_FUND,123/ABC/2345
97,"TREPS, MMI and Others",0.81%,5,table_1,SAMPLE_FUND,123/ABC/2345
98,Total,100.00%,5,table_1,SAMPLE_FUND,123/ABC/2345
99,M. Duration in Debt and Money Market Instruments: 0.01 years,,5,table_1,SAMPLE_FUND,123/ABC/2345
100,NAV,1 Month 6 Months,5,table_1,SAMPLE_FUND,123/ABC/2345
101,AUM (in cr),,5,table_1,SAMPLE_FUND,123/ABC/2345
102,Fund Benchmark* Fund,Benchmark Fund Benchmark Fund,5,table_1,SAMPLE_FUND,123/ABC/2345
103,123.32 9.7526 14855.2540 -0.1%,-0.1% -0.3% 0.0% -,5,table_1,SAMPLE_FUND,123/ABC/2345
104,Note : Returns less than 1 year are absolute returns otherwise annualized,,5,table_1,SAMPLE_FUND,123/ABC/2345
105,Companies,Ratings Weights,6,table_1,SAMPLE_FUND,123/ABC/2345
106,OIL & NATURAL GAS CORPN. LTD.,6.61%,6,table_1,SAMPLE_FUND,123/ABC/2345
107,STATE BANK OF INDIA,6.54%,6,table_1,SAMPLE_FUND,123/ABC/2345
108,HINDALCO INDUSTRIES LTD.,6.37%,6,table_1,SAMPLE_FUND,123/ABC/2345
109,TATA MOTORS PASSENGER VEHICLES LIMITED,6.24%,6,table_1,SAMPLE_FUND,123/ABC/2345
110,COAL INDIA LTD,5.94%,6,table_1,SAMPLE_FUND,123/ABC/2345
111,INDIAN OIL CORPORATION LTD.,4.54%,6,table_1,SAMPLE_FUND,123/ABC/2345
112,BHARAT PETROLEUM CORPN. LTD.,4.28%,6,table_1,SAMPLE_FUND,123/ABC/2345
113,POWER FINANCE CORPORATION LTD.,3.87%,6,table_1,SAMPLE_FUND,123/ABC/2345
