,0,1,page,table,insur_fund,isin
0,Security Name,Net Asset (%),1,table_1,SAMPLE_FUND,123/ABC/2345
1,Equities,14.52%,1,table_1,SAMPLE_FUND,123/ABC/2345
2,HDFC Bank Ltd.,1.56%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,ICICI Bank Ltd.,1.14%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,Reliance Industries Ltd.,1.07%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,Larsen & Toubro Ltd.,0.96%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,Bharti Airtel Ltd.,0.85%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,State Bank of India,0.74%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,Infosys Ltd.,0.65%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,JSW Steel Ltd.,0.61%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,Axis Bank Ltd.,0.58%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Bharat Electronics Ltd.,0.49%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Others,5.87%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Goverment Securities,45.25%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,6.68% GS 07-07-2040,8.52%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,6.48% GS 06-10-2035,8.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,6.90% GS 15-04-2065,3.93%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,7.24% GS 18-08-2055,2.97%,1,table_1,SAMPLE_FUND,123/ABC/2345
18,6.33% GS 05-05-2035,2.55%,1,table_1,SAMPLE_FUND,123/ABC/2345
19,7.27% Maharashtra SGS 24-09-2036,2.50%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,7.09% GS 05-08-2054,2.35%,1,table_1,SAMPLE_FUND,123/ABC/2345
21,7.52% HR SGS 02-05-2034,2.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
22,6.75% GS 23-12-2029,2.22%,1,table_1,SAMPLE_FUND,123/ABC/2345
23,07.06% GS 10-04-2028,2.18%,1,table_1,SAMPLE_FUND,123/ABC/2345
24,Others,7.26%,1,table_1,SAMPLE_FUND,123/ABC/2345
25,Corporate Bonds,36.30%,1,table_1,SAMPLE_FUND,123/ABC/2345
26,8.43% Samman Capital Ltd 22-02-2028,8.09%,1,table_1,SAMPLE_FUND,123/ABC/2345
27,9.35% Adani Ports & SEZ Ltd. 04-07-2026,5.26%,1,table_1,SAMPLE_FUND,123/ABC/2345
28,6.45 ICICI Bank Ltd. Series DJU21LB 15-06-2028,4.68%,1,table_1,SAMPLE_FUND,123/ABC/2345
29,7.9265 % LIC Housing Finance Ltd. 14-07-2027,4.05%,1,table_1,SAMPLE_FUND,123/ABC/2345
30,7.95% HDFC BANK Ltd. 21-09-2026,3.41%,1,table_1,SAMPLE_FUND,123/ABC/2345
31,7.44% NABARD 24-02-2028,3.18%,1,table_1,SAMPLE_FUND,123/ABC/2345
32,7.62% NABARD 31-01-2028 Bonds Series 23I,2.58%,1,table_1,SAMPLE_FUND,123/ABC/2345
33,7.77% HDFC BANK LTD 28-06-2027 SERIES AA-08,2.45%,1,table_1,SAMPLE_FUND,123/ABC/2345
34,8.75% Shriram Finance 15-06-2026,1.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
35,6.75% Piramal Finance Limited 26-09-2031,0.68%,1,table_1,SAMPLE_FUND,123/ABC/2345
36,Others,0.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
37,Cash and Money Markets,3.93%,1,table_1,SAMPLE_FUND,123/ABC/2345
38,Portfolio Total,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
39,Sectoral Break-Up $,,1,table_1,SAMPLE_FUND,123/ABC/2345
40,Soveriegn,45.25%,1,table_1,SAMPLE_FUND,123/ABC/2345
41,Financial & insur. activit.,36.14%,1,table_1,SAMPLE_FUND,123/ABC/2345
42,Warehousing & support activit. for transp. 5.35%,,1,table_1,SAMPLE_FUND,123/ABC/2345
43,"Compt prgm, consult. & related activit. 1.46%",,1,table_1,SAMPLE_FUND,123/ABC/2345
44,Manf. of basic metals 1.25%,,1,table_1,SAMPLE_FUND,123/ABC/2345
45,Manf. of coke & refined petrol. prod. 1.07%,,1,table_1,SAMPLE_FUND,123/ABC/2345
46,Civil engineering 0.96%,,1,table_1,SAMPLE_FUND,123/ABC/2345
47,Telecommunications 0.85%,,1,table_1,SAMPLE_FUND,123/ABC/2345
48,"Manuf of compu, electronic and optcl prodt 0.49%",,1,table_1,SAMPLE_FUND,123/ABC/2345
49,"other mfg. jewellary, bijouterie and other article 0.48%",,1,table_1,SAMPLE_FUND,123/ABC/2345
50,Others,6.70%,1,table_1,SAMPLE_FUND,123/ABC/2345
51,Security Name,Net Asset (%),2,table_1,SAMPLE_FUND,123/ABC/2345
52,Equities,13.58%,2,table_1,SAMPLE_FUND,123/ABC/2345
53,HDFC Bank Ltd.,1.43%,2,table_1,SAMPLE_FUND,123/ABC/2345
54,ICICI Bank Ltd.,1.03%,2,table_1,SAMPLE_FUND,123/ABC/2345
55,Reliance Industries Ltd.,0.97%,2,table_1,SAMPLE_FUND,123/ABC/2345
56,Larsen & Toubro Ltd.,0.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
57,Bharti Airtel Ltd.,0.78%,2,table_1,SAMPLE_FUND,123/ABC/2345
58,State Bank of India,0.68%,2,table_1,SAMPLE_FUND,123/ABC/2345
59,Infosys Ltd.,0.60%,2,table_1,SAMPLE_FUND,123/ABC/2345
60,JSW Steel Ltd.,0.57%,2,table_1,SAMPLE_FUND,123/ABC/2345
61,Axis Bank Ltd.,0.54%,2,table_1,SAMPLE_FUND,123/ABC/2345
62,Bharat Electronics Ltd.,0.52%,2,table_1,SAMPLE_FUND,123/ABC/2345
63,Others,5.58%,2,table_1,SAMPLE_FUND,123/ABC/2345
64,Goverment Securities,48.58%,2,table_1,SAMPLE_FUND,123/ABC/2345
65,6.68% GS 07-07-2040,9.77%,2,table_1,SAMPLE_FUND,123/ABC/2345
66,6.48% GS 06-10-2035,9.71%,2,table_1,SAMPLE_FUND,123/ABC/2345
67,6.90% GS 15-04-2065,3.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
68,7.24% GS 18-08-2055,2.93%,2,table_1,SAMPLE_FUND,123/ABC/2345
69,6.33% GS 05-05-2035,2.52%,2,table_1,SAMPLE_FUND,123/ABC/2345
70,7.27% Maharashtra SGS 24-09-2036,2.42%,2,table_1,SAMPLE_FUND,123/ABC/2345
71,7.52% HR SGS 02-05-2034,2.37%,2,table_1,SAMPLE_FUND,123/ABC/2345
72,7.09% GS 05-08-2054,2.32%,2,table_1,SAMPLE_FUND,123/ABC/2345
73,6.75% GS 23-12-2029,2.16%,2,table_1,SAMPLE_FUND,123/ABC/2345
74,07.06% GS 10-04-2028,2.06%,2,table_1,SAMPLE_FUND,123/ABC/2345
75,Others,8.44%,2,table_1,SAMPLE_FUND,123/ABC/2345
76,Corporate Bonds,30.26%,2,table_1,SAMPLE_FUND,123/ABC/2345
77,8.43% Samman Capital Ltd 22-02-2028,7.68%,2,table_1,SAMPLE_FUND,123/ABC/2345
78,7.9265 % LIC Housing Finance Ltd. 14-07-2027,5.33%,2,table_1,SAMPLE_FUND,123/ABC/2345
79,6.45 ICICI Bank Ltd. Series DJU21LB 15-06-2028,4.62%,2,table_1,SAMPLE_FUND,123/ABC/2345
80,7.95% HDFC BANK Ltd. 21-09-2026,4.11%,2,table_1,SAMPLE_FUND,123/ABC/2345
81,7.62% NABARD 31-01-2028 Bonds Series 23I,3.55%,2,table_1,SAMPLE_FUND,123/ABC/2345
82,9.20% Shriram Finance 22-05-2026 Series PPD XXI 24-25,2.82%,2,table_1,SAMPLE_FUND,123/ABC/2345
83,7.44% NABARD 24-02-2028,1.18%,2,table_1,SAMPLE_FUND,123/ABC/2345
84,6.75% Piramal Finance Limited 26-09-2031,0.97%,2,table_1,SAMPLE_FUND,123/ABC/2345
85,Cash and Money Markets,7.58%,2,table_1,SAMPLE_FUND,123/ABC/2345
86,Portfolio Total,100.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
87,Sectoral Break-Up $,,2,table_1,SAMPLE_FUND,123/ABC/2345
88,Soveriegn,48.58%,2,table_1,SAMPLE_FUND,123/ABC/2345
89,Financial & insur. activit.,34.93%,2,table_1,SAMPLE_FUND,123/ABC/2345
90,"Compt prgm, consult. & related activit. 1.47%",,2,table_1,SAMPLE_FUND,123/ABC/2345
91,Manf. of basic metals 1.17%,,2,table_1,SAMPLE_FUND,123/ABC/2345
92,Manf. of coke & refined petrol. prod. 0.97%,,2,table_1,SAMPLE_FUND,123/ABC/2345
93,Civil engineering 0.88%,,2,table_1,SAMPLE_FUND,123/ABC/2345
94,Telecommunications 0.78%,,2,table_1,SAMPLE_FUND,123/ABC/2345
95,"Manuf of compu, electronic and optcl prodt 0.52%",,2,table_1,SAMPLE_FUND,123/ABC/2345
96,"other mfg. jewellary, bijouterie and other article 0.44%",,2,table_1,SAMPLE_FUND,123/ABC/2345
97,"Electricity, gas, steam and air conditioning supply 0.37%",,2,table_1,SAMPLE_FUND,123/ABC/2345
98,Others,9.89%,2,table_1,SAMPLE_FUND,123/ABC/2345
99,Security Name,Net Asset (%),3,table_1,SAMPLE_FUND,123/ABC/2345
100,Equities,33.59%,3,table_1,SAMPLE_FUND,123/ABC/2345
101,HDFC Bank Ltd.,3.55%,3,table_1,SAMPLE_FUND,123/ABC/2345
102,ICICI Bank Ltd.,2.58%,3,table_1,SAMPLE_FUND,123/ABC/2345
103,Reliance Industries Ltd.,2.41%,3,table_1,SAMPLE_FUND,123/ABC/2345
104,Larsen & Toubro Ltd.,2.19%,3,table_1,SAMPLE_FUND,123/ABC/2345
105,Bharti Airtel Ltd.,1.94%,3,table_1,SAMPLE_FUND,123/ABC/2345
106,State Bank of India,1.69%,3,table_1,SAMPLE_FUND,123/ABC/2345
107,Infosys Ltd.,1.49%,3,table_1,SAMPLE_FUND,123/ABC/2345
108,JSW Steel Ltd.,1.41%,3,table_1,SAMPLE_FUND,123/ABC/2345
109,Axis Bank Ltd.,1.34%,3,table_1,SAMPLE_FUND,123/ABC/2345
110,Bharat Electronics Ltd.,1.30%,3,table_1,SAMPLE_FUND,123/ABC/2345
111,Others,13.69%,3,table_1,SAMPLE_FUND,123/ABC/2345
112,Goverment Securities,37.23%,3,table_1,SAMPLE_FUND,123/ABC/2345
113,6.48% GS 06-10-2035,7.48%,3,table_1,SAMPLE_FUND,123/ABC/2345
114,6.68% GS 07-07-2040,6.64%,3,table_1,SAMPLE_FUND,123/ABC/2345
115,6.90% GS 15-04-2065,3.01%,3,table_1,SAMPLE_FUND,123/ABC/2345
116,7.24% GS 18-08-2055,2.31%,3,table_1,SAMPLE_FUND,123/ABC/2345
117,6.33% GS 05-05-2035,1.95%,3,table_1,SAMPLE_FUND,123/ABC/2345
118,7.27% Maharashtra SGS 24-09-2036,1.90%,3,table_1,SAMPLE_FUND,123/ABC/2345
119,7.70% AP SGS 06-12-2029,1.85%,3,table_1,SAMPLE_FUND,123/ABC/2345
120,7.09% GS 05-08-2054,1.80%,3,table_1,SAMPLE_FUND,123/ABC/2345
121,7.52% HR SGS 02-05-2034,1.75%,3,table_1,SAMPLE_FUND,123/ABC/2345
122,6.75% GS 23-12-2029,1.69%,3,table_1,SAMPLE_FUND,123/ABC/2345
123,Others,6.85%,3,table_1,SAMPLE_FUND,123/ABC/2345
124,Corporate Bonds,24.95%,3,table_1,SAMPLE_FUND,123/ABC/2345
125,8.43% Samman Capital Ltd 22-02-2028,4.95%,3,table_1,SAMPLE_FUND,123/ABC/2345
126,6.45 ICICI Bank Ltd. Series DJU21LB 15-06-2028,3.54%,3,table_1,SAMPLE_FUND,123/ABC/2345
127,7.9265 % LIC Housing Finance Ltd. 14-07-2027,2.98%,3,table_1,SAMPLE_FUND,123/ABC/2345
128,9.20% Shriram Finance 22-05-2026 Series PPD XXI 24-25,2.92%,3,table_1,SAMPLE_FUND,123/ABC/2345
129,7.95% HDFC BANK Ltd. 21-09-2026,2.56%,3,table_1,SAMPLE_FUND,123/ABC/2345
130,9.35% Adani Ports & SEZ Ltd. 04-07-2026,2.42%,3,table_1,SAMPLE_FUND,123/ABC/2345
131,7.44% NABARD 24-02-2028,1.83%,3,table_1,SAMPLE_FUND,123/ABC/2345
132,8.75% Shriram Finance 15-06-2026,1.83%,3,table_1,SAMPLE_FUND,123/ABC/2345
