,0,1,page,table,insur_fund,isin
0,NAV,Modified Duration,1,table_1,SAMPLE_FUND,123/ABC/2345
1,105.2099,--,1,table_1,SAMPLE_FUND,123/ABC/2345
2,Security Name,% To Fund,1,table_1,SAMPLE_FUND,123/ABC/2345
3,Equities (AT 1 Bond),98.94,1,table_1,SAMPLE_FUND,123/ABC/2345
4,HDFC BANK LTD,6.96,1,table_1,SAMPLE_FUND,123/ABC/2345
5,RELIANCE INDUSTRIES LTD,6.62,1,table_1,SAMPLE_FUND,123/ABC/2345
6,ICICI BANK LTD,4.98,1,table_1,SAMPLE_FUND,123/ABC/2345
7,LARSEN & TOUBRO LTD,4.47,1,table_1,SAMPLE_FUND,123/ABC/2345
8,BHARTI AIRTEL LTD,3.77,1,table_1,SAMPLE_FUND,123/ABC/2345
9,INFOSYS TECHNOLOGIES LTD,3.30,1,table_1,SAMPLE_FUND,123/ABC/2345
10,AXIS BANK LTD,3.05,1,table_1,SAMPLE_FUND,123/ABC/2345
11,STATE BANK OF INDIA LTD,2.81,1,table_1,SAMPLE_FUND,123/ABC/2345
12,KOTAK MAHINDRA BANK LTD,2.34,1,table_1,SAMPLE_FUND,123/ABC/2345
13,KOTAK MAHINDRA MUTUAL FUND,2.03,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Others,58.61,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Money Market/Cash,1.06,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Total,100.00,1,table_1,SAMPLE_FUND,123/ABC/2345
17,Name of Fund Manager- UMA Venkatraman,,1,table_1,SAMPLE_FUND,123/ABC/2345
18,Other Funds Managed By fund Manager:,"Build India Fund,Build India Pension Fund,Grow Money Pension Fund,Grow Money",1,table_1,SAMPLE_FUND,123/ABC/2345
19,"Pension Plus,Grow Money Plus,Save and Grow Money Pension,Save and Grow Money,Group Balance Fund.",,1,table_1,SAMPLE_FUND,123/ABC/2345
20,NAV,Modified Duration,2,table_1,SAMPLE_FUND,123/ABC/2345
21,132.1865,--,2,table_1,SAMPLE_FUND,123/ABC/2345
22,Security Name,% To Fund,2,table_1,SAMPLE_FUND,123/ABC/2345
23,Equities (AT 1 Bond),99.53,2,table_1,SAMPLE_FUND,123/ABC/2345
24,HDFC BANK LTD,8.17,2,table_1,SAMPLE_FUND,123/ABC/2345
25,ICICI BANK LTD,5.27,2,table_1,SAMPLE_FUND,123/ABC/2345
26,LARSEN & TOUBRO LTD,4.23,2,table_1,SAMPLE_FUND,123/ABC/2345
27,RELIANCE INDUSTRIES LTD,3.42,2,table_1,SAMPLE_FUND,123/ABC/2345
28,KOTAK MAHINDRA BANK LTD,2.60,2,table_1,SAMPLE_FUND,123/ABC/2345
29,AXIS BANK LTD,2.41,2,table_1,SAMPLE_FUND,123/ABC/2345
30,INFOSYS TECHNOLOGIES LTD,2.32,2,table_1,SAMPLE_FUND,123/ABC/2345
31,BHARTI AIRTEL LTD,2.30,2,table_1,SAMPLE_FUND,123/ABC/2345
32,STATE BANK OF INDIA LTD,2.22,2,table_1,SAMPLE_FUND,123/ABC/2345
33,ULTRA TECH CEMENT LTD,2.04,2,table_1,SAMPLE_FUND,123/ABC/2345
34,Others,64.54,2,table_1,SAMPLE_FUND,123/ABC/2345
35,Money Market/Cash,0.47,2,table_1,SAMPLE_FUND,123/ABC/2345
36,Total,100.00,2,table_1,SAMPLE_FUND,123/ABC/2345
37,Name of Fund Manager- Kartik Soral,,2,table_1,SAMPLE_FUND,123/ABC/2345
38,Other Funds Managed By fund Manager:,"Growth Opportunities Plus, Growth Opportunities, Growth Opportunities Pension",2,table_1,SAMPLE_FUND,123/ABC/2345
39,"Plus,Emerging Equity Fund.",,2,table_1,SAMPLE_FUND,123/ABC/2345
40,NAV,Modified Duration,3,table_1,SAMPLE_FUND,123/ABC/2345
41,58.2372,--,3,table_1,SAMPLE_FUND,123/ABC/2345
42,Security Name,% To Fund,3,table_1,SAMPLE_FUND,123/ABC/2345
43,Equities (AT 1 Bond),99.00,3,table_1,SAMPLE_FUND,123/ABC/2345
44,HDFC BANK LTD,7.33,3,table_1,SAMPLE_FUND,123/ABC/2345
45,RELIANCE INDUSTRIES LTD,6.61,3,table_1,SAMPLE_FUND,123/ABC/2345
46,ICICI BANK LTD,4.62,3,table_1,SAMPLE_FUND,123/ABC/2345
47,LARSEN & TOUBRO LTD,4.42,3,table_1,SAMPLE_FUND,123/ABC/2345
48,BHARTI AIRTEL LTD,3.87,3,table_1,SAMPLE_FUND,123/ABC/2345
49,INFOSYS TECHNOLOGIES LTD,3.22,3,table_1,SAMPLE_FUND,123/ABC/2345
50,AXIS BANK LTD,3.05,3,table_1,SAMPLE_FUND,123/ABC/2345
51,STATE BANK OF INDIA LTD,2.84,3,table_1,SAMPLE_FUND,123/ABC/2345
52,KOTAK MAHINDRA BANK LTD,2.41,3,table_1,SAMPLE_FUND,123/ABC/2345
53,RELIANCE NIPPON LIFE ASSET MANAGEMENT LIMITED,2.38,3,table_1,SAMPLE_FUND,123/ABC/2345
54,Others,58.25,3,table_1,SAMPLE_FUND,123/ABC/2345
55,Money Market/Cash,1.00,3,table_1,SAMPLE_FUND,123/ABC/2345
56,Total,100.00,3,table_1,SAMPLE_FUND,123/ABC/2345
57,Name of Fund Manager- UMA Venkatraman,,3,table_1,SAMPLE_FUND,123/ABC/2345
58,Other Funds Managed By fund Manager:,"Build India Fund,Build India Pension Fund,Grow Money Fund,Grow Money Pension",3,table_1,SAMPLE_FUND,123/ABC/2345
