,0,1,page,table,insur_fund,isin
0,ASSET MIX,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,MMI & Others - Rs 90.81 Cr,,1,table_1,SAMPLE_FUND,123/ABC/2345
2,4.27%,,1,table_1,SAMPLE_FUND,123/ABC/2345
3,,Debt - Rs 1378.2 Cr 64.85%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,Equity - Rs 656.3 Cr,,1,table_1,SAMPLE_FUND,123/ABC/2345
5,30.88%,,1,table_1,SAMPLE_FUND,123/ABC/2345
6,10.50%,10.07%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,9.51%,9.58%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,8.61%,,1,table_1,SAMPLE_FUND,123/ABC/2345
9,7.90%,8.22% 8.10%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,7.05% 7.37%,,1,table_1,SAMPLE_FUND,123/ABC/2345
11,2 Year* 3 Year* 4 Year*,5 Year* Since Inception*,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Benchmark Return,,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Above Fund Returns are after deduction of Fund Management Charges (FMC),,1,table_1,SAMPLE_FUND,123/ABC/2345
14,TOP 10 EQUITIES IN THE FUND,,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Security Name,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
16,ICICI BANK LIMITED,3.33%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,HOUSING DEVELOPMENT FINANCE CORP BANK,3.04%,1,table_1,SAMPLE_FUND,123/ABC/2345
18,RELIANCE INDUSTRIES LIMITED,1.69%,1,table_1,SAMPLE_FUND,123/ABC/2345
19,INFOSYS LIMITED,1.58%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,LARSEN & TOUBRO LIMITED,1.52%,1,table_1,SAMPLE_FUND,123/ABC/2345
21,BHARTI AIRTEL LIMITED,1.45%,1,table_1,SAMPLE_FUND,123/ABC/2345
22,KOTAK MAHINDRA BANK LIMITED,1.43%,1,table_1,SAMPLE_FUND,123/ABC/2345
23,STATE BANK OF INDIA,1.37%,1,table_1,SAMPLE_FUND,123/ABC/2345
24,MAHINDRA & MAHINDRA LIMITED,1.15%,1,table_1,SAMPLE_FUND,123/ABC/2345
25,TITAN COMPANY LIMITED,0.97%,1,table_1,SAMPLE_FUND,123/ABC/2345
26,TOP 10 GOVERNMENT SECURITIES IN THE FUND,,1,table_1,SAMPLE_FUND,123/ABC/2345
27,Security Name,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
28,6.90 GOI 15 APRIL 2065,16.20%,1,table_1,SAMPLE_FUND,123/ABC/2345
29,6.79 SGB 02 DECEMBER 2034,4.72%,1,table_1,SAMPLE_FUND,123/ABC/2345
30,7.72 MADHYA PRADESH SDL 18 FEB 2045,2.14%,1,table_1,SAMPLE_FUND,123/ABC/2345
31,7.30 GOI 19 JUNE 2053,2.10%,1,table_1,SAMPLE_FUND,123/ABC/2345
32,7.43 GOI 19 JAN 2076,1.92%,1,table_1,SAMPLE_FUND,123/ABC/2345
33,7.40 GOI 19 SEPTEMBER 2062,1.17%,1,table_1,SAMPLE_FUND,123/ABC/2345
34,6.28 GOI 14 JULY 2032,1.16%,1,table_1,SAMPLE_FUND,123/ABC/2345
35,7.09 GOI 25 NOVEMBER 2074,0.45%,1,table_1,SAMPLE_FUND,123/ABC/2345
36,7.46 GOI 06 NOVEMBER 2073,0.40%,1,table_1,SAMPLE_FUND,123/ABC/2345
37,7.88 GOI 19 MAR 2030,0.37%,1,table_1,SAMPLE_FUND,123/ABC/2345
38,TOP 10 BONDS IN THE FUND,,1,table_1,SAMPLE_FUND,123/ABC/2345
39,Security Name,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
40,7.80 YES BANK  29 SEP 2027,3.83%,1,table_1,SAMPLE_FUND,123/ABC/2345
41,7.15 INDIAN RAILWAY FINANCE CORP LTD 14 NOVEMBER 2039,2.99%,1,table_1,SAMPLE_FUND,123/ABC/2345
42,7.35 NATIONAL HOUSING BANK 02 JAN 2032,2.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
43,7.08 POWER GRID CORPORATION 25 OCTOBER 2034,2.30%,1,table_1,SAMPLE_FUND,123/ABC/2345
