,0,1,page,table
0,Company/Issuer,Exposure (%),0,table_1
1,Equity,99.31%,0,table_1
2,ICICI Bank Ltd,9.68%,0,table_1
3,HDFC Bank Ltd,7.22%,0,table_1
4,Reliance Industries Ltd,6.60%,0,table_1
5,Bharti Airtel Ltd,5.15%,0,table_1
6,Larsen & Toubro Ltd,5.06%,0,table_1
7,Infosys Ltd,4.60%,0,table_1
8,State Bank of India,3.98%,0,table_1
9,Axis Bank Ltd,3.16%,0,table_1
10,ITC Ltd,3.04%,0,table_1
11,Mahindra & Mahindra Ltd,3.03%,0,table_1
12,Others,47.79%,0,table_1
13,"Money Market, Deposits & Other",0.69%,0,table_1
14,Total,100.00%,0,table_1
15,,,0,table_1
16,,,0,table_1
17,,,0,table_1
18,,,0,table_1
19,,,0,table_1
20,,,0,table_1
21,,,0,table_1
22,Company/Issuer,Exposure (%),1,table_1
23,Equity,97.42%,1,table_1
24,ICICI Bank Ltd,9.00%,1,table_1
25,Reliance Industries Ltd,8.95%,1,table_1
26,HDFC Bank Ltd,8.25%,1,table_1
27,Bharti Airtel Ltd,4.70%,1,table_1
28,Larsen & Toubro Ltd,4.61%,1,table_1
29,Infosys Ltd,4.19%,1,table_1
30,State Bank of India,3.69%,1,table_1
31,Bajaj Auto Ltd,3.50%,1,table_1
32,Axis Bank Ltd,2.93%,1,table_1
33,ITC Ltd,2.77%,1,table_1
34,Others,44.82%,1,table_1
35,"Money Market, Deposits & Other",2.58%,1,table_1
36,Total,100.00%,1,table_1
37,,,1,table_1
38,,,1,table_1
39,,,1,table_1
40,,,1,table_1
41,,,1,table_1
42,,,1,table_1
43,,,1,table_1
44,,,1,table_1
45,Company/Issuer,Exposure (%),2,table_1
46,Equity,96.48%,2,table_1
47,ICICI Bank Ltd,9.79%,2,table_1
48,Reliance Industries Ltd,8.52%,2,table_1
49,Kotak Nifty Bank ETF,7.56%,2,table_1
50,HDFC Bank Ltd,5.36%,2,table_1
51,Larsen & Toubro Ltd,5.00%,2,table_1
52,State Bank of India,4.75%,2,table_1
53,Infosys Ltd,4.13%,2,table_1
54,Bharti Airtel Ltd,3.87%,2,table_1
55,Mahindra & Mahindra Ltd,3.03%,2,table_1
56,Kotak Mahindra Bank Ltd,2.63%,2,table_1
57,Others,41.85%,2,table_1
58,"Money Market, Deposits & Other",3.52%,2,table_1
59,Total,100.00%,2,table_1
60,,,2,table_1
61,,,2,table_1
62,,,2,table_1
63,,,2,table_1
64,,,2,table_1
65,,,2,table_1
66,,,2,table_1
67,Company/Issuer,Exposure (%),3,table_1
68,Equity,99.50%,3,table_1
69,ICICI Bank Ltd,9.04%,3,table_1
70,Reliance Industries Ltd,8.79%,3,table_1
71,HDFC Bank Ltd,8.79%,3,table_1
72,Bharti Airtel Ltd,4.04%,3,table_1
73,Larsen & Toubro Ltd,3.88%,3,table_1
74,Infosys Ltd,3.52%,3,table_1
75,State Bank of India,2.82%,3,table_1
76,Mahindra & Mahindra Ltd,2.34%,3,table_1
77,ITC Ltd,2.33%,3,table_1
78,Axis Bank Ltd,2.25%,3,table_1
79,Others,51.69%,3,table_1
80,"Money Market, Deposits & Other",0.50%,3,table_1
81,Total,100.00%,3,table_1
82,,,3,table_1
83,,,3,table_1
84,,,3,table_1
85,,,3,table_1
86,,,3,table_1
87,,,3,table_1
88,,,3,table_1
89,,,3,table_1
90,Company/Issuer,Exposure (%),4,table_1
91,Equity,66.74%,4,table_1
92,ICICI Bank Ltd,7.49%,4,table_1
93,Reliance Industries Ltd,6.78%,4,table_1
94,HDFC Bank Ltd,6.04%,4,table_1
95,Bharti Airtel Ltd,4.08%,4,table_1
96,State Bank of India,3.44%,4,table_1
97,UltraTech Cement Ltd,3.37%,4,table_1
98,Kotak Mahindra Bank Ltd,2.82%,4,table_1
99,Coal India Ltd,2.54%,4,table_1
100,Maruti Suzuki India Ltd,2.48%,4,table_1
101,LG Electronics India Ltd,2.47%,4,table_1
102,Others,25.23%,4,table_1
103,Corporate Bond,13.41%,4,table_1
104,6.80% National Housing Bank (U) NCD (MD 02/04/2032),6.97%,4,table_1
105,7.68% NABARD (U) NCD (MD 30/04/2029),1.81%,4,table_1
106,7.29% National Housing Bank (U) NCD (MD 04/07/2031),1.34%,4,table_1
107,7.37% IRFC Ltd Series 181 (U) NCD (MD 31/07/2029),1.08%,4,table_1
108,10.63% IOT Series IV-STRIP-6 (S) NCD (MD 20/09/2028),0.95%,4,table_1
109,7.58% LIC HF Ltd (S) NCD (MD 23/03/2035) (P 24/08/2027),0.45%,4,table_1
110,7.51% RECL Ltd (U) NCD Series 221 (MD 31/07/2026),0.45%,4,table_1
111,6.66% NABARD (U) NCD (MD 12/10/2028),0.35%,4,table_1
112,Sovereign,17.71%,4,table_1
113,6.01% GOI (MD 21/07/2030),10.09%,4,table_1
114,6.48% GOI (MD 06/10/2035),4.40%,4,table_1
115,7.14% Madhya Pradesh SDL (MD 19/03/2032),2.00%,4,table_1
116,7.70% Karnataka SDL (MD 08/11/2033),0.92%,4,table_1
117,6.90% GOI (MD 15/04/2065),0.30%,4,table_1
118,"Money Market, Deposits & Other",2.14%,4,table_1
119,Total,100.00%,4,table_1
120,,,4,table_1
121,,,4,table_1
122,,,4,table_1
123,,,4,table_1
124,,,5,table_1
125,Equity,34.16%,5,table_1
126,HDFC Bank Ltd,4.12%,5,table_1
127,Reliance Industries Ltd,3.08%,5,table_1
128,ICICI Bank Ltd,2.60%,5,table_1
129,Larsen & Toubro Ltd,1.41%,5,table_1
130,Bharti Airtel Ltd,1.40%,5,table_1
131,Infosys Ltd,1.32%,5,table_1
132,Axis Bank Ltd,1.31%,5,table_1
133,State Bank of India,1.05%,5,table_1
134,Kotak Mahindra Bank Ltd,0.95%,5,table_1
135,Mahindra & Mahindra Ltd,0.91%,5,table_1
136,Others,16.04%,5,table_1
137,Corporate Bond,38.14%,5,table_1
138,7.34% SIDBI Series III (U) NCD (MD 26/02/2029),4.12%,5,table_1
139,7.64% RECL Ltd (U) NCD Series 231-A (MD 30/04/2027),4.12%,5,table_1
140,7.63% Grasim Industries Series22-23-II NCD(U)(MD 01/12/2027),3.30%,5,table_1
141,7.29% National Housing Bank (U) NCD (MD 04/07/2031),3.27%,5,table_1
142,7.46% IRFC Ltd Series - 178 (U) NCD (MD 18/06/2029),2.48%,5,table_1
143,7.48% NABARD (U) NCD (MD 15/09/2028),1.98%,5,table_1
144,7.68% NABARD (U) NCD (MD 30/04/2029),1.66%,5,table_1
145,7.59% National Housing Bank (U) NCD (MD 14/07/2027),1.65%,5,table_1
146,7.51% RECL Ltd (U) NCD Series 221 (MD 31/07/2026),1.64%,5,table_1
147,7.22% National Housing Bank (U) NCD (MD 23/07/2026),1.47%,5,table_1
148,Others,12.46%,5,table_1
149,Sovereign,23.78%,5,table_1
150,6.90% GOI (MD 15/04/2065),6.35%,5,table_1
151,6.68% GOI (MD 07/07/2040),5.85%,5,table_1
152,6.79% GOI (MD 30/12/2031),4.17%,5,table_1
153,6.48% GOI (MD 06/10/2035),3.07%,5,table_1
154,7.24% GOI (MD 18/08/2055),1.94%,5,table_1
155,7.62% TAMILNADU  SDL (MD 04/01/2033),0.84%,5,table_1
156,7.60% Karnataka SDL (MD 04/01/2033),0.67%,5,table_1
157,7.32% GOI (MD 13/11/2030),0.40%,5,table_1
158,7.70% Karnataka SDL (MD 08/11/2033),0.33%,5,table_1
159,7.14% Madhya Pradesh SDL (MD 19/03/2032),0.08%,5,table_1
160,Others,0.08%,5,table_1
161,"Money Market, Deposits & Other",3.92%,5,table_1
162,Total,100.00%,5,table_1
163,Performance,,5,table_1
164,Period 1 Month,6 Months 1 Year 2 Years,5,table_1
165,Fund -0.01%,0.94% 6.69% 6.03%,5,table_1
166,Benchmark -,- - -,5,table_1
167,Company/Issuer,Exposure (%),6,table_1
168,Equity,18.55%,6,table_1
169,HDFC Bank Ltd,2.17%,6,table_1
170,Reliance Industries Ltd,1.63%,6,table_1
171,ICICI Bank Ltd,1.46%,6,table_1
172,Larsen & Toubro Ltd,0.78%,6,table_1
173,Bharti Airtel Ltd,0.73%,6,table_1
174,Infosys Ltd,0.69%,6,table_1
175,Axis Bank Ltd,0.68%,6,table_1
176,State Bank of India,0.59%,6,table_1
177,Kotak Mahindra Bank Ltd,0.54%,6,table_1
178,Mahindra & Mahindra Ltd,0.52%,6,table_1
179,Others,8.77%,6,table_1
180,Corporate Bond,45.70%,6,table_1
181,7.37% IRFC Ltd Series 181 (U) NCD (MD 31/07/2029),2.57%,6,table_1
182,7.64% RECL Ltd (U) NCD Series 231-A (MD 30/04/2027),2.50%,6,table_1
183,7.46% IRFC Ltd Series - 178 (U) NCD (MD 18/06/2029),2.13%,6,table_1
184,7.29% National Housing Bank (U) NCD (MD 04/07/2031),2.10%,6,table_1
185,7.64% NABARD (U) NCD (MD 06/12/2029),1.99%,6,table_1
186,7.63% Grasim Industries Series22-23-II NCD(U)(MD 01/12/2027),1.95%,6,table_1
187,7.75% LIC HF Ltd Tr.444 (S) NCD (MD 23/08/2029),1.90%,6,table_1
188,6.61% PFC Ltd Series 250A (U) NCD (MD 15/07/2028),1.84%,6,table_1
189,7.49% SIDBI Series VIII(U) NCD (MD 11/06/2029),1.83%,6,table_1
190,7.44% NABARD (U) NCD (MD 24/02/2028),1.45%,6,table_1
191,Others,25.43%,6,table_1
192,Sovereign,29.77%,6,table_1
193,6.90% GOI (MD 15/04/2065),8.98%,6,table_1
194,6.68% GOI (MD 07/07/2040),6.59%,6,table_1
195,6.48% GOI (MD 06/10/2035),4.02%,6,table_1
196,6.01% GOI (MD 21/07/2030),3.77%,6,table_1
197,6.61% Gujarat SDL (MD 07/05/2032),1.58%,6,table_1
198,7.24% GOI (MD 18/08/2055),1.22%,6,table_1
199,7.08% Karnataka SDL (MD 16/10/2034),0.98%,6,table_1
200,6.79% GOI (MD 30/12/2031),0.51%,6,table_1
201,7.14% Madhya Pradesh SDL (MD 19/03/2032),0.42%,6,table_1
202,7.84% TELANGANA  SDL (MD 03/08/2036),0.38%,6,table_1
203,Others,1.34%,6,table_1
204,"Money Market, Deposits & Other",5.97%,6,table_1
205,Total,100.00%,6,table_1
206,Performance,,6,table_1
207,Period 1 Month,6 Months 1 Year 2 Years,6,table_1
208,Fund 0.29%,1.50% 6.29% 6.21%,6,table_1
209,Benchmark -,- - -,6,table_1
