,0,1,page,table,insur_fund,isin
0,EQUITY HOLDINGS,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
1,RELIANCE INDUSTRIES LIMITED,8.12,1,table_1,SAMPLE_FUND,123/ABC/2345
2,HDFC BANK LIMITED,5.97,1,table_1,SAMPLE_FUND,123/ABC/2345
3,BHARTI AIRTEL LIMITED,4.50,1,table_1,SAMPLE_FUND,123/ABC/2345
4,LARSEN & TOUBRO LIMITED,3.95,1,table_1,SAMPLE_FUND,123/ABC/2345
5,ICICI BANK LIMITED,3.62,1,table_1,SAMPLE_FUND,123/ABC/2345
6,ITC LIMITED,2.64,1,table_1,SAMPLE_FUND,123/ABC/2345
7,AXIS BANK LIMITED.,2.61,1,table_1,SAMPLE_FUND,123/ABC/2345
8,KOTAK MAHINDRA BANK LIMITED,2.33,1,table_1,SAMPLE_FUND,123/ABC/2345
9,MAHINDRA & MAHINDRA LIMITED,2.32,1,table_1,SAMPLE_FUND,123/ABC/2345
10,TATA CONSULTANCY SERVICES LIMITED,2.23,1,table_1,SAMPLE_FUND,123/ABC/2345
11,HINDUSTAN UNILEVER LIMITED,1.72,1,table_1,SAMPLE_FUND,123/ABC/2345
12,STATE BANK OF INDIA,1.59,1,table_1,SAMPLE_FUND,123/ABC/2345
13,SUN PHARMACEUTICAL INDUSTRIES LIMITED,1.58,1,table_1,SAMPLE_FUND,123/ABC/2345
14,HCL TECHNOLOGIES LIMITED,1.55,1,table_1,SAMPLE_FUND,123/ABC/2345
15,APTUS VALUE HOUSING FINANCE INDIA LTD,1.55,1,table_1,SAMPLE_FUND,123/ABC/2345
16,MARUTI SUZUKI INDIA LIMITED,1.49,1,table_1,SAMPLE_FUND,123/ABC/2345
17,TITAN COMPANY LIMITED,1.46,1,table_1,SAMPLE_FUND,123/ABC/2345
18,NTPC LIMITED,1.46,1,table_1,SAMPLE_FUND,123/ABC/2345
19,SBI CARDS AND PAYMENT SERVICES LIMITED,1.39,1,table_1,SAMPLE_FUND,123/ABC/2345
20,TATA STEEL LIMITED,1.38,1,table_1,SAMPLE_FUND,123/ABC/2345
21,NIPPON INDIA ETF BANKBEES EXCHANGE TRADED SCHEME.,1.35,1,table_1,SAMPLE_FUND,123/ABC/2345
22,BHARAT ELECTRONICS LIMITED,1.28,1,table_1,SAMPLE_FUND,123/ABC/2345
23,ETERNAL LIMITED,1.25,1,table_1,SAMPLE_FUND,123/ABC/2345
24,KOTAK NIFTY BANK ETF.,1.22,1,table_1,SAMPLE_FUND,123/ABC/2345
25,INTERGLOBE AVIATION LIMITED,1.22,1,table_1,SAMPLE_FUND,123/ABC/2345
26,ICICI PRUDENTIAL BANK ETF NIFTY BANK INDEX.,1.22,1,table_1,SAMPLE_FUND,123/ABC/2345
27,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,1.21,1,table_1,SAMPLE_FUND,123/ABC/2345
28,INFOSYS LIMITED,1.20,1,table_1,SAMPLE_FUND,123/ABC/2345
29,AXIS MUTUAL FUND - AXIS NIFTY BANK ETF,1.19,1,table_1,SAMPLE_FUND,123/ABC/2345
30,UTI MUTUAL FUND - UTI BANK EXCHANGE TRADED FUND.,1.19,1,table_1,SAMPLE_FUND,123/ABC/2345
31,SBI-ETF NIFTY BANK,1.19,1,table_1,SAMPLE_FUND,123/ABC/2345
32,POWER GRID CORPORATION OF INDIA LIMITED,1.18,1,table_1,SAMPLE_FUND,123/ABC/2345
33,HOME FIRST FINANCE COMPANY INDIA LIMITED,1.17,1,table_1,SAMPLE_FUND,123/ABC/2345
