,0,1,page,table,insur_fund,isin
0,Top 10 holdings as per Asset Category,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,Security Name,Net Asset (%),1,table_1,SAMPLE_FUND,123/ABC/2345
2,Equity,97.24%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,HDFC Bank Ltd,4.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,Bharti Airtel Limited,3.97%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,Reliance Industries Ltd,3.95%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,ICICI Bank Ltd,3.64%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,Larsen & Toubro,3.26%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,State Bank Of India,2.49%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,Mahindra & Mahindra Ltd,2.25%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,Titan Company Ltd,2.12%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Bajaj Finance Ltd,2.08%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Hero Motocorp Ltd,1.97%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Others,67.05%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,MMI & Others,2.76%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Grand Total,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Top 10 holdings as per Asset Category,,2,table_1,SAMPLE_FUND,123/ABC/2345
17,Security Name,Net Asset (%),2,table_1,SAMPLE_FUND,123/ABC/2345
18,Equity,99.84%,2,table_1,SAMPLE_FUND,123/ABC/2345
19,ICICI Bank Ltd,6.86%,2,table_1,SAMPLE_FUND,123/ABC/2345
20,Bharti Airtel Limited,5.39%,2,table_1,SAMPLE_FUND,123/ABC/2345
21,Bajaj Finance Ltd,4.62%,2,table_1,SAMPLE_FUND,123/ABC/2345
22,Larsen & Toubro,4.25%,2,table_1,SAMPLE_FUND,123/ABC/2345
23,Reliance Industries Ltd,4.19%,2,table_1,SAMPLE_FUND,123/ABC/2345
24,Nippon India Mutual Fund,4.05%,2,table_1,SAMPLE_FUND,123/ABC/2345
25,HDFC Bank Ltd,3.41%,2,table_1,SAMPLE_FUND,123/ABC/2345
26,Mahindra & Mahindra Ltd,3.15%,2,table_1,SAMPLE_FUND,123/ABC/2345
27,Muthoot Finance,2.83%,2,table_1,SAMPLE_FUND,123/ABC/2345
28,Infosys Ltd,2.68%,2,table_1,SAMPLE_FUND,123/ABC/2345
29,Others,58.39%,2,table_1,SAMPLE_FUND,123/ABC/2345
30,MMI & Others,0.16%,2,table_1,SAMPLE_FUND,123/ABC/2345
31,Grand Total,100.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
32,Top 10 holdings as per Asset Category,,3,table_1,SAMPLE_FUND,123/ABC/2345
33,Security Name,Net Asset (%),3,table_1,SAMPLE_FUND,123/ABC/2345
34,Equity,93.01%,3,table_1,SAMPLE_FUND,123/ABC/2345
35,Mirae Asset Mutual Fund,4.11%,3,table_1,SAMPLE_FUND,123/ABC/2345
36,Hero Motocorp Ltd,3.41%,3,table_1,SAMPLE_FUND,123/ABC/2345
37,Muthoot Finance,3.28%,3,table_1,SAMPLE_FUND,123/ABC/2345
38,Ashok Leyland Ltd,2.63%,3,table_1,SAMPLE_FUND,123/ABC/2345
39,Motilal Oswal Mutual Fund - Motilal Oswal Midcap 100 ETF,2.51%,3,table_1,SAMPLE_FUND,123/ABC/2345
40,Mahindra & Mahindra Financial Services Limited,2.48%,3,table_1,SAMPLE_FUND,123/ABC/2345
41,L&t Finance Limited,2.47%,3,table_1,SAMPLE_FUND,123/ABC/2345
42,Polycab India Limited,2.46%,3,table_1,SAMPLE_FUND,123/ABC/2345
43,Cummins India Ltd,2.34%,3,table_1,SAMPLE_FUND,123/ABC/2345
44,Schaeffler India Limited,2.21%,3,table_1,SAMPLE_FUND,123/ABC/2345
45,Others,65.10%,3,table_1,SAMPLE_FUND,123/ABC/2345
46,MMI & Others,6.99%,3,table_1,SAMPLE_FUND,123/ABC/2345
47,Grand Total,100.00%,3,table_1,SAMPLE_FUND,123/ABC/2345
48,Top 10 holdings as per Asset Category,,4,table_1,SAMPLE_FUND,123/ABC/2345
