,0,1,page,table,insur_fund,isin
0,Nature of Security/Security Name,Percentage,1,table_1,SAMPLE_FUND,123/ABC/2345
1,Equity,,1,table_1,SAMPLE_FUND,123/ABC/2345
2,Top 20 Equity Securities,,1,table_1,SAMPLE_FUND,123/ABC/2345
3,Reliance Industries Ltd,7.75,1,table_1,SAMPLE_FUND,123/ABC/2345
4,ICICI Bank Ltd,7.15,1,table_1,SAMPLE_FUND,123/ABC/2345
5,HDFC Bank Ltd,4.92,1,table_1,SAMPLE_FUND,123/ABC/2345
6,Bharti Airtel Ltd,4.25,1,table_1,SAMPLE_FUND,123/ABC/2345
7,State Bank of India,3.99,1,table_1,SAMPLE_FUND,123/ABC/2345
8,Larsen & Toubro Limited,3.94,1,table_1,SAMPLE_FUND,123/ABC/2345
9,Axis Bank Ltd,3.49,1,table_1,SAMPLE_FUND,123/ABC/2345
10,Infosys Technologies Ltd,3.07,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Bajaj Finance Ltd,2.77,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Tata Steel Ltd,2.64,1,table_1,SAMPLE_FUND,123/ABC/2345
13,NTPC Ltd,2.42,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Titan Industries Ltd,2.29,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Sun Pharmaceutical Inds Ltd,2.21,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Shriram Transport Finance Co. Ltd.,2.05,1,table_1,SAMPLE_FUND,123/ABC/2345
17,SBI-ETF NIFTY BANK,1.92,1,table_1,SAMPLE_FUND,123/ABC/2345
18,ICICI PRUDENTIAL NIFTY BANK ETF,1.89,1,table_1,SAMPLE_FUND,123/ABC/2345
19,Ultratech Cement Limited,1.86,1,table_1,SAMPLE_FUND,123/ABC/2345
20,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,1.85,1,table_1,SAMPLE_FUND,123/ABC/2345
21,Steel Authority of India Ltd,1.84,1,table_1,SAMPLE_FUND,123/ABC/2345
22,HDFC NIFTY BANK ETF,1.64,1,table_1,SAMPLE_FUND,123/ABC/2345
23,Others (See Annexure 1 for details),34.39,1,table_1,SAMPLE_FUND,123/ABC/2345
24,Total - Equity Securities,98.32,1,table_1,SAMPLE_FUND,123/ABC/2345
25,Money Market Instruments,1.68,1,table_1,SAMPLE_FUND,123/ABC/2345
26,MF Units – Liquid Funds,0.00,1,table_1,SAMPLE_FUND,123/ABC/2345
27,Grand Total,100.00,1,table_1,SAMPLE_FUND,123/ABC/2345
28,Nature of Security/Security Name,Rating Percentage,2,table_1,SAMPLE_FUND,123/ABC/2345
29,Debt,,2,table_1,SAMPLE_FUND,123/ABC/2345
30,Top 10 Sovereign Securities,,2,table_1,SAMPLE_FUND,123/ABC/2345
31,7.34% Government of India 2064,16.99,2,table_1,SAMPLE_FUND,123/ABC/2345
32,7.37% STATE GOVERNMENT OF CHHATTISGARH 203,7.72,2,table_1,SAMPLE_FUND,123/ABC/2345
33,6.48% Government of India 2035,6.77,2,table_1,SAMPLE_FUND,123/ABC/2345
34,7.3% State Government Of  Uttarakhand 2032,4.65,2,table_1,SAMPLE_FUND,123/ABC/2345
35,7.24% Government of India 2055,4.58,2,table_1,SAMPLE_FUND,123/ABC/2345
36,6.9% Government of India 2065,4.34,2,table_1,SAMPLE_FUND,123/ABC/2345
37,6.33% Government of India 2035,4.33,2,table_1,SAMPLE_FUND,123/ABC/2345
38,7.09% Government of India 2054,3.92,2,table_1,SAMPLE_FUND,123/ABC/2345
39,7.45% State Government of Maharashtra 2038,1.55,2,table_1,SAMPLE_FUND,123/ABC/2345
40,7.26% State Government of Maharashtra 2050,1.50,2,table_1,SAMPLE_FUND,123/ABC/2345
41,Others (See Annexure 1 for details),6.17,2,table_1,SAMPLE_FUND,123/ABC/2345
42,Total - Sovereign Securities,62.52,2,table_1,SAMPLE_FUND,123/ABC/2345
43,Top 10 Corporate bonds,,2,table_1,SAMPLE_FUND,123/ABC/2345
44,7.62% National Bank For Agricultural Devlopment 2028,AAA 3.12,2,table_1,SAMPLE_FUND,123/ABC/2345
45,7.58% National Bank For Agricultural Devlopment 2026,AAA 3.09,2,table_1,SAMPLE_FUND,123/ABC/2345
46,6.52% Rural Electrification Corp 2028,AAA 3.06,2,table_1,SAMPLE_FUND,123/ABC/2345
47,7.86% HDFC Bank Ltd 2032,AAA 0.95,2,table_1,SAMPLE_FUND,123/ABC/2345
48,8.05% India Infradebt Limited 2028,AAA 0.74,2,table_1,SAMPLE_FUND,123/ABC/2345
