,0,1,page,table,insur_fund,isin
0,,Portfolio,1,table_1,SAMPLE_FUND,123/ABC/2345
1,Holdings,% to Fund,1,table_1,SAMPLE_FUND,123/ABC/2345
2,Equity,18.58,1,table_1,SAMPLE_FUND,123/ABC/2345
3,ICICI Bank Ltd.,1.28,1,table_1,SAMPLE_FUND,123/ABC/2345
4,State Bank of India.,1.08,1,table_1,SAMPLE_FUND,123/ABC/2345
5,HDFC Bank Ltd.,0.99,1,table_1,SAMPLE_FUND,123/ABC/2345
6,Bharti Airtel  Ltd.,0.88,1,table_1,SAMPLE_FUND,123/ABC/2345
7,Axis Bank Ltd.,0.77,1,table_1,SAMPLE_FUND,123/ABC/2345
8,Reliance Industries Ltd,0.62,1,table_1,SAMPLE_FUND,123/ABC/2345
9,Larsen And Toubro Ltd.,0.54,1,table_1,SAMPLE_FUND,123/ABC/2345
10,Shriram Finance Limited,0.47,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Infosys Ltd.,0.46,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Mahindra & Mahindra Ltd,0.42,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Others,11.06,1,table_1,SAMPLE_FUND,123/ABC/2345
14,G-Sec,38.88,1,table_1,SAMPLE_FUND,123/ABC/2345
15,7.10% GOI - 08.04.2034,10.03,1,table_1,SAMPLE_FUND,123/ABC/2345
16,7.34% GOI - 22.04.2064,4.84,1,table_1,SAMPLE_FUND,123/ABC/2345
17,7.18% GOI - 24.07.2037,4.25,1,table_1,SAMPLE_FUND,123/ABC/2345
18,6.48% GOI - 06.10.2035,3.87,1,table_1,SAMPLE_FUND,123/ABC/2345
19,7.25% GOI - 12.06.2063,3.56,1,table_1,SAMPLE_FUND,123/ABC/2345
20,6.68% GOI - 07.07.2040,3.41,1,table_1,SAMPLE_FUND,123/ABC/2345
21,6.90% GOI - 15.04.2065,1.04,1,table_1,SAMPLE_FUND,123/ABC/2345
22,7.41% GOI - 19.12.2036,0.70,1,table_1,SAMPLE_FUND,123/ABC/2345
23,7.43% HP SDL - 03.08.2028,0.69,1,table_1,SAMPLE_FUND,123/ABC/2345
24,7.44% MH SDL - 03.04.2042,0.57,1,table_1,SAMPLE_FUND,123/ABC/2345
25,Others,5.93,1,table_1,SAMPLE_FUND,123/ABC/2345
26,Corporate Debt,28.70,1,table_1,SAMPLE_FUND,123/ABC/2345
27,8.65% Cholamandalam Invest and Fin co ltd - 28.02.2029,4.13,1,table_1,SAMPLE_FUND,123/ABC/2345
28,8.55% HDFC BANK - 27.03.2029,2.57,1,table_1,SAMPLE_FUND,123/ABC/2345
29,7.25% HDFC BANK - 17.06.2030,2.49,1,table_1,SAMPLE_FUND,123/ABC/2345
30,8.54% REC - 15.11.2028,1.91,1,table_1,SAMPLE_FUND,123/ABC/2345
31,7.05% Embassy Office Parks REIT - 18.10.2026,1.43,1,table_1,SAMPLE_FUND,123/ABC/2345
32,8.90% Muthoot Finance Ltd - 07.10.2027,1.41,1,table_1,SAMPLE_FUND,123/ABC/2345
33,8.75% Shriram Finance Ltd 15.06.2026,1.25,1,table_1,SAMPLE_FUND,123/ABC/2345
34,8.54% Cholamandalam Invest and Fin co ltd - 12.04.2029,1.19,1,table_1,SAMPLE_FUND,123/ABC/2345
35,7.62% NABARD  - 31.01.2028,1.18,1,table_1,SAMPLE_FUND,123/ABC/2345
36,7.43% NABARD  - 31.01.2030,1.03,1,table_1,SAMPLE_FUND,123/ABC/2345
37,Others,10.12,1,table_1,SAMPLE_FUND,123/ABC/2345
38,MMI,11.84,1,table_1,SAMPLE_FUND,123/ABC/2345
39,NCA,2.01,1,table_1,SAMPLE_FUND,123/ABC/2345
40,,Portfolio,2,table_1,SAMPLE_FUND,123/ABC/2345
41,Holdings,% to Fund,2,table_1,SAMPLE_FUND,123/ABC/2345
42,Equity,57.46,2,table_1,SAMPLE_FUND,123/ABC/2345
