,0,1,page,table,insur_fund,isin
0,TOP 10 HOLDINGS,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,EQUITY,% to,1,table_1,SAMPLE_FUND,123/ABC/2345
2,,AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
3,SHRIRAM FINANCE LTD,1.67,1,table_1,SAMPLE_FUND,123/ABC/2345
4,STATE BANK OF INDIA,1.50,1,table_1,SAMPLE_FUND,123/ABC/2345
5,HINDALCO INDUSTRIES LTD.,1.43,1,table_1,SAMPLE_FUND,123/ABC/2345
6,N T P C LTD.,1.42,1,table_1,SAMPLE_FUND,123/ABC/2345
7,ULTRATECH CEMENT LTD.,1.28,1,table_1,SAMPLE_FUND,123/ABC/2345
8,MARUTI SUZUKI INDIA LIMITED,1.25,1,table_1,SAMPLE_FUND,123/ABC/2345
9,HINDUSTAN UNILEVER LTD.,1.10,1,table_1,SAMPLE_FUND,123/ABC/2345
10,H D F C BANK LTD.,1.06,1,table_1,SAMPLE_FUND,123/ABC/2345
11,RELIANCE INDUSTRIES LTD.,0.99,1,table_1,SAMPLE_FUND,123/ABC/2345
12,GRASIM INDUSTRIES LTD.,0.97,1,table_1,SAMPLE_FUND,123/ABC/2345
13,OTHERS,4.51,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Total Equity,17.18,1,table_1,SAMPLE_FUND,123/ABC/2345
15,DEBT PORTFOLIO,% to,1,table_1,SAMPLE_FUND,123/ABC/2345
16,,AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
17,GOVT.SECURITIES,,1,table_1,SAMPLE_FUND,123/ABC/2345
18,7.42% KA SDL 06032035,13.49,1,table_1,SAMPLE_FUND,123/ABC/2345
19,8.33 GOI 09072026,11.22,1,table_1,SAMPLE_FUND,123/ABC/2345
20,6.10% GOI 12.07.2031,9.65,1,table_1,SAMPLE_FUND,123/ABC/2345
21,7.79% KARNATAKA 03.01.2028,6.91,1,table_1,SAMPLE_FUND,123/ABC/2345
22,7.53% PUDUCHERRY 22.11.2027,6.90,1,table_1,SAMPLE_FUND,123/ABC/2345
23,7.67% TELENGANA 25.10.2037,6.88,1,table_1,SAMPLE_FUND,123/ABC/2345
24,7.32% RAJASTHAN SGS 24.09.2035,6.71,1,table_1,SAMPLE_FUND,123/ABC/2345
25,8.02% TELANGANA 25.05.2026,5.08,1,table_1,SAMPLE_FUND,123/ABC/2345
26,8.18%ANDHRA PRADESH SDL 10.04.2035,3.54,1,table_1,SAMPLE_FUND,123/ABC/2345
27,8.17%GUJARAT SDL 24.04.2029,3.51,1,table_1,SAMPLE_FUND,123/ABC/2345
28,OTHERS,5.16,1,table_1,SAMPLE_FUND,123/ABC/2345
29,CORPORATE BONDS,% to,1,table_1,SAMPLE_FUND,123/ABC/2345
30,,AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
31,OTHERS,0.00,1,table_1,SAMPLE_FUND,123/ABC/2345
32,FIXED Deposit,0.00,1,table_1,SAMPLE_FUND,123/ABC/2345
33,Total Debt,79.05,1,table_1,SAMPLE_FUND,123/ABC/2345
34,Money Market,3.77,1,table_1,SAMPLE_FUND,123/ABC/2345
35,Grand Total,100.00,1,table_1,SAMPLE_FUND,123/ABC/2345
36,TOP 10 HOLDINGS,,2,table_1,SAMPLE_FUND,123/ABC/2345
37,EQUITY,% to,2,table_1,SAMPLE_FUND,123/ABC/2345
38,,AUM,2,table_1,SAMPLE_FUND,123/ABC/2345
39,AXIS BANK LTD.(FORLY.UTI BANK),2.80,2,table_1,SAMPLE_FUND,123/ABC/2345
40,BAJAJ AUTO LTD,2.53,2,table_1,SAMPLE_FUND,123/ABC/2345
41,GRASIM INDUSTRIES LTD.,2.42,2,table_1,SAMPLE_FUND,123/ABC/2345
42,MARUTI SUZUKI INDIA LIMITED,2.26,2,table_1,SAMPLE_FUND,123/ABC/2345
43,H D F C BANK LTD.,2.11,2,table_1,SAMPLE_FUND,123/ABC/2345
44,Infosys Ltd,1.74,2,table_1,SAMPLE_FUND,123/ABC/2345
45,KOTAK MAHINDRA BANK LTD.,1.68,2,table_1,SAMPLE_FUND,123/ABC/2345
46,HINDALCO INDUSTRIES LTD.,1.64,2,table_1,SAMPLE_FUND,123/ABC/2345
47,STATE BANK OF INDIA,1.58,2,table_1,SAMPLE_FUND,123/ABC/2345
48,COAL INDIA LIMITED,1.42,2,table_1,SAMPLE_FUND,123/ABC/2345
49,OTHERS,8.83,2,table_1,SAMPLE_FUND,123/ABC/2345
50,Total Equity,29.01,2,table_1,SAMPLE_FUND,123/ABC/2345
51,DEBT PORTFOLIO,% to,2,table_1,SAMPLE_FUND,123/ABC/2345
52,,AUM,2,table_1,SAMPLE_FUND,123/ABC/2345
53,GOVT.SECURITIES,,2,table_1,SAMPLE_FUND,123/ABC/2345
54,8.24% 2027-FEB-15 GOVT OF INDIA,18.18,2,table_1,SAMPLE_FUND,123/ABC/2345
55,6.48%GOI 06102035,10.00,2,table_1,SAMPLE_FUND,123/ABC/2345
56,7.10% GOI 18.04.2029,6.53,2,table_1,SAMPLE_FUND,123/ABC/2345
57,8.15% MAHARASHTRA SDL 16.04.2030,5.33,2,table_1,SAMPLE_FUND,123/ABC/2345
58,7.62%GOI15.09.2039,5.33,2,table_1,SAMPLE_FUND,123/ABC/2345
59,6.90% BIHAR SGS 16072035,4.90,2,table_1,SAMPLE_FUND,123/ABC/2345
60,8.18%ANDHRA PRADESH SDL 10.04.2035,2.66,2,table_1,SAMPLE_FUND,123/ABC/2345
61,8.17%GUJARAT SDL 24.04.2029,2.64,2,table_1,SAMPLE_FUND,123/ABC/2345
62,7.53% PUDUCHERRY 22.11.2027,2.59,2,table_1,SAMPLE_FUND,123/ABC/2345
63,7.22% RAJASTHAN SDL 26.07.2032,2.54,2,table_1,SAMPLE_FUND,123/ABC/2345
64,OTHERS,1.28,2,table_1,SAMPLE_FUND,123/ABC/2345
65,CORPORATE BONDS,% to,2,table_1,SAMPLE_FUND,123/ABC/2345
66,,AUM,2,table_1,SAMPLE_FUND,123/ABC/2345
67,Shree Renuka Sugars Limited NCD 2021,1.07,2,table_1,SAMPLE_FUND,123/ABC/2345
68,Shree Renuka sugars,0.19,2,table_1,SAMPLE_FUND,123/ABC/2345
69,OTHERS,0.00,2,table_1,SAMPLE_FUND,123/ABC/2345
70,FIXED Deposit,0.00,2,table_1,SAMPLE_FUND,123/ABC/2345
71,Total Debt,63.24,2,table_1,SAMPLE_FUND,123/ABC/2345
72,Money Market,7.75,2,table_1,SAMPLE_FUND,123/ABC/2345
73,Grand Total,100.00,2,table_1,SAMPLE_FUND,123/ABC/2345
74,TOP 10 HOLDINGS,,3,table_1,SAMPLE_FUND,123/ABC/2345
75,EQUITY,AUM % to,3,table_1,SAMPLE_FUND,123/ABC/2345
76,AXIS BANK LTD.(FORLY.UTI BANK),6.02,3,table_1,SAMPLE_FUND,123/ABC/2345
77,STATE BANK OF INDIA,5.71,3,table_1,SAMPLE_FUND,123/ABC/2345
78,HINDALCO INDUSTRIES LTD.,5.53,3,table_1,SAMPLE_FUND,123/ABC/2345
79,ULTRATECH CEMENT LTD.,3.80,3,table_1,SAMPLE_FUND,123/ABC/2345
80,Infosys Ltd,3.23,3,table_1,SAMPLE_FUND,123/ABC/2345
81,IDBI BANK LTD.,3.18,3,table_1,SAMPLE_FUND,123/ABC/2345
82,TECH MAHINDRA LTD,2.90,3,table_1,SAMPLE_FUND,123/ABC/2345
83,OIL & NATURAL GAS CORPN. LTD.,2.61,3,table_1,SAMPLE_FUND,123/ABC/2345
84,RELIANCE INDUSTRIES LTD.,2.22,3,table_1,SAMPLE_FUND,123/ABC/2345
85,I T C LTD.,2.02,3,table_1,SAMPLE_FUND,123/ABC/2345
86,OTHERS,21.02,3,table_1,SAMPLE_FUND,123/ABC/2345
87,Total Equity,58.24,3,table_1,SAMPLE_FUND,123/ABC/2345
88,DEBT PORTFOLIO,AUM % to,3,table_1,SAMPLE_FUND,123/ABC/2345
89,GOVT.SECURITIES,,3,table_1,SAMPLE_FUND,123/ABC/2345
90,7.22% ARUNACHAL PRADESH 12.07.2027,4.25,3,table_1,SAMPLE_FUND,123/ABC/2345
91,7.10% GOI 18.04.2029,3.20,3,table_1,SAMPLE_FUND,123/ABC/2345
92,6.10% GOI 12.07.2031,2.91,3,table_1,SAMPLE_FUND,123/ABC/2345
93,6.90% BIHAR SGS 16072035,2.16,3,table_1,SAMPLE_FUND,123/ABC/2345
94,8.15% MAHARASHTRA SDL 16.04.2030,2.03,3,table_1,SAMPLE_FUND,123/ABC/2345
95,7.41% GOI 19.12.2036,2.02,3,table_1,SAMPLE_FUND,123/ABC/2345
96,7.26% MAHARASHTRA SGS 08102042,1.86,3,table_1,SAMPLE_FUND,123/ABC/2345
97,7.60% BIHAR SGS 10.12.2037,1.77,3,table_1,SAMPLE_FUND,123/ABC/2345
98,7.18% GOI 24.07.2037,1.49,3,table_1,SAMPLE_FUND,123/ABC/2345
