,0,1,page,table,insur_fund,isin
0,Portfolio,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,Name of Instrument,% to AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
2,RELIANCE INDUSTRIES LTD.,8.19%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,ICICI BANK LTD.FV-2,6.99%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,HDFC BANK LTD.FV-2,6.34%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,LARSEN&TUBRO,4.40%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,BHARTI AIRTEL LIMITED,4.30%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,STATE BANK OF INDIAFV-1,3.74%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,INFOSYS LIMITED,3.47%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,MAHINDRA & MAHINDRA LTD.-FV5,3.15%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,AXIS BANK LIMITEDFV-2,2.71%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,TITAN COMPANY LIMITED,2.44%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,MARUTI UDYOG LTD.,2.16%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,KOTAK MAHINDRA BANK LIMITED_FV5,1.99%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,TATA IRON & STEEL COMPANY LTD,1.93%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,BAJAJ FINANCE LIMITED,1.88%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,HINDUSTAN UNILEVER LIMITED,1.85%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,TATA CONSULTANCY SERVICES LTD.,1.65%,1,table_1,SAMPLE_FUND,123/ABC/2345
18,SHRIRAM FINANCE LIMITED,1.50%,1,table_1,SAMPLE_FUND,123/ABC/2345
19,NTPC LIMITED,1.44%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,ULTRATECH CEMCO LTD,1.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
21,SUN PHARMACEUTICAL INDUSTRIES LTD.FV-1,1.29%,1,table_1,SAMPLE_FUND,123/ABC/2345
22,HCL TECHNOLOGIES LIMITED,1.18%,1,table_1,SAMPLE_FUND,123/ABC/2345
23,ETERNAL LIMITED,1.06%,1,table_1,SAMPLE_FUND,123/ABC/2345
24,Vedanta Limited,1.04%,1,table_1,SAMPLE_FUND,123/ABC/2345
25,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,1.01%,1,table_1,SAMPLE_FUND,123/ABC/2345
26,BHARAT ELECTRONICS LIMITED,1.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
27,TATA CONSUMER PRODUCTS LIMITED,0.90%,1,table_1,SAMPLE_FUND,123/ABC/2345
28,APOLLO HOSPITALS ENTERPRISE LIMITED,0.89%,1,table_1,SAMPLE_FUND,123/ABC/2345
29,POLYCAB INDIA LIMITED,0.87%,1,table_1,SAMPLE_FUND,123/ABC/2345
30,EICHER MOTORS LIMITED,0.87%,1,table_1,SAMPLE_FUND,123/ABC/2345
31,ONGCFV-5,0.86%,1,table_1,SAMPLE_FUND,123/ABC/2345
32,MUTHOOT FINANCE LIMITED,0.85%,1,table_1,SAMPLE_FUND,123/ABC/2345
33,TECH MAHINDRA LIMITEDFV-5,0.81%,1,table_1,SAMPLE_FUND,123/ABC/2345
34,BAJAJ FINSERV LIMITED,0.77%,1,table_1,SAMPLE_FUND,123/ABC/2345
35,TVS MOTOR COMPANY LIMITED,0.75%,1,table_1,SAMPLE_FUND,123/ABC/2345
36,VARUN BEVERAGES LIMITED,0.70%,1,table_1,SAMPLE_FUND,123/ABC/2345
37,SBI LIFE INSURANCE COMPANY LIMITED,0.69%,1,table_1,SAMPLE_FUND,123/ABC/2345
38,MAX HEALTHCARE INSTITUTE LIMITED,0.69%,1,table_1,SAMPLE_FUND,123/ABC/2345
39,BHARAT DYNAMICS LIMITED,0.68%,1,table_1,SAMPLE_FUND,123/ABC/2345
40,NESTLE INDIA LIMITED,0.67%,1,table_1,SAMPLE_FUND,123/ABC/2345
41,GRASIM INDUSTRIES LTD.,0.63%,1,table_1,SAMPLE_FUND,123/ABC/2345
42,GE VERNOVA T&D INDIA LIMITED,0.60%,1,table_1,SAMPLE_FUND,123/ABC/2345
43,CG POWER AND INDUSTRIAL SOLUTIONS LTD,0.59%,1,table_1,SAMPLE_FUND,123/ABC/2345
44,TATA MOTORS LIMITED,0.56%,1,table_1,SAMPLE_FUND,123/ABC/2345
45,KEI INDUSTRIES LIMITED,0.56%,1,table_1,SAMPLE_FUND,123/ABC/2345
46,LENSKART SOLUTIONS LIMITED,0.55%,1,table_1,SAMPLE_FUND,123/ABC/2345
47,HDFC ASSET MANAGEMENT COMPANY LIMITED,0.54%,1,table_1,SAMPLE_FUND,123/ABC/2345
48,TRENT LTD,0.52%,1,table_1,SAMPLE_FUND,123/ABC/2345
49,JSW STEEL LIMITED,0.52%,1,table_1,SAMPLE_FUND,123/ABC/2345
50,PCBL LIMITED,0.51%,1,table_1,SAMPLE_FUND,123/ABC/2345
51,TATA POWER CO. LTD.FV-1,0.51%,1,table_1,SAMPLE_FUND,123/ABC/2345
52,NAVIN FLUORINE INTERNATIONAL LIMITED,0.50%,1,table_1,SAMPLE_FUND,123/ABC/2345
53,HINDALCO INDUSTRIES LTD FV RE 1,0.50%,1,table_1,SAMPLE_FUND,123/ABC/2345
54,BRITANNIA INDUSTRIES LTD,0.48%,1,table_1,SAMPLE_FUND,123/ABC/2345
55,SUPREME INDUSTRIES LIMITED,0.44%,1,table_1,SAMPLE_FUND,123/ABC/2345
56,CHOLAMANDALAM INVESTMENT AND FIN CO LTD,0.40%,1,table_1,SAMPLE_FUND,123/ABC/2345
57,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,0.39%,1,table_1,SAMPLE_FUND,123/ABC/2345
58,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,0.39%,1,table_1,SAMPLE_FUND,123/ABC/2345
59,VISHAL MEGA MART LIMITED,0.38%,1,table_1,SAMPLE_FUND,123/ABC/2345
60,DIXON TECHNOLOGIES (INDIA) LIMITED,0.37%,1,table_1,SAMPLE_FUND,123/ABC/2345
61,AMBER ENTERPRISES INDIA LTD,0.37%,1,table_1,SAMPLE_FUND,123/ABC/2345
62,BHARAT HEAVY ELECTRICALS LTD.FV-2,0.36%,1,table_1,SAMPLE_FUND,123/ABC/2345
63,PIDILITE INDUSTRIES LIMITED,0.32%,1,table_1,SAMPLE_FUND,123/ABC/2345
64,MPHASIS LIMITED,0.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
65,AARTI INDUSTRIES LIMITED,0.30%,1,table_1,SAMPLE_FUND,123/ABC/2345
66,PUNJAB NATIONAL BANK,0.25%,1,table_1,SAMPLE_FUND,123/ABC/2345
67,HINDUSTAN ZINC LIMITEDFV-2,0.22%,1,table_1,SAMPLE_FUND,123/ABC/2345
68,DIVIS LABORATORIES LIMITED,0.16%,1,table_1,SAMPLE_FUND,123/ABC/2345
69,6% TVS MOTOR CO LTD NCRPS,0.01%,1,table_1,SAMPLE_FUND,123/ABC/2345
70,Equity Total,91.24%,1,table_1,SAMPLE_FUND,123/ABC/2345
71,Nippon India ETF Bank Bees,1.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
72,UTI NIFTY BANK ETF,1.17%,1,table_1,SAMPLE_FUND,123/ABC/2345
73,KOTAK NIFTY BANK ETF,1.11%,1,table_1,SAMPLE_FUND,123/ABC/2345
74,SBI-ETF Nifty Bank,1.09%,1,table_1,SAMPLE_FUND,123/ABC/2345
75,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,1.08%,1,table_1,SAMPLE_FUND,123/ABC/2345
76,ICICI PRUDENTIAL BANK ETF NIFTY BANK INDEX,1.06%,1,table_1,SAMPLE_FUND,123/ABC/2345
77,HDFC MUTUAL FUND - HDFC BANKING ETF,1.06%,1,table_1,SAMPLE_FUND,123/ABC/2345
78,ETFs ETFs,7.87%,1,table_1,SAMPLE_FUND,123/ABC/2345
79,Money Market Total Money Market Total,1.13%,1,table_1,SAMPLE_FUND,123/ABC/2345
80,Current Assets,-0.23%,1,table_1,SAMPLE_FUND,123/ABC/2345
81,Total 3,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
82,Name of Instrument Portfolio,% to AUM,2,table_1,SAMPLE_FUND,123/ABC/2345
83,RELIANCE INDUSTRIES LTD.,8.21%,2,table_1,SAMPLE_FUND,123/ABC/2345
84,ICICI BANK LTD.FV-2,6.98%,2,table_1,SAMPLE_FUND,123/ABC/2345
85,HDFC BANK LTD.FV-2,6.33%,2,table_1,SAMPLE_FUND,123/ABC/2345
86,BHARTI AIRTEL LIMITED,4.53%,2,table_1,SAMPLE_FUND,123/ABC/2345
87,LARSEN&TUBRO,4.40%,2,table_1,SAMPLE_FUND,123/ABC/2345
88,STATE BANK OF INDIAFV-1,3.75%,2,table_1,SAMPLE_FUND,123/ABC/2345
89,INFOSYS LIMITED,3.47%,2,table_1,SAMPLE_FUND,123/ABC/2345
90,MAHINDRA & MAHINDRA LTD.-FV5,3.14%,2,table_1,SAMPLE_FUND,123/ABC/2345
91,AXIS BANK LIMITEDFV-2,2.70%,2,table_1,SAMPLE_FUND,123/ABC/2345
92,MARUTI UDYOG LTD.,2.15%,2,table_1,SAMPLE_FUND,123/ABC/2345
93,TITAN COMPANY LIMITED,2.03%,2,table_1,SAMPLE_FUND,123/ABC/2345
94,BAJAJ FINANCE LIMITED,2.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
95,KOTAK MAHINDRA BANK LIMITED_FV5,2.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
96,HINDUSTAN UNILEVER LIMITED,1.85%,2,table_1,SAMPLE_FUND,123/ABC/2345
97,TATA CONSULTANCY SERVICES LTD.,1.64%,2,table_1,SAMPLE_FUND,123/ABC/2345
98,NTPC LIMITED,1.60%,2,table_1,SAMPLE_FUND,123/ABC/2345
99,TATA IRON & STEEL COMPANY LTD,1.56%,2,table_1,SAMPLE_FUND,123/ABC/2345
100,SHRIRAM FINANCE LIMITED,1.50%,2,table_1,SAMPLE_FUND,123/ABC/2345
101,ULTRATECH CEMCO LTD,1.34%,2,table_1,SAMPLE_FUND,123/ABC/2345
102,SUN PHARMACEUTICAL INDUSTRIES LTD.FV-1,1.29%,2,table_1,SAMPLE_FUND,123/ABC/2345
103,HCL TECHNOLOGIES LIMITED,1.18%,2,table_1,SAMPLE_FUND,123/ABC/2345
104,HINDALCO INDUSTRIES LTD FV RE 1,1.17%,2,table_1,SAMPLE_FUND,123/ABC/2345
105,ETERNAL LIMITED,1.06%,2,table_1,SAMPLE_FUND,123/ABC/2345
106,Vedanta Limited,1.03%,2,table_1,SAMPLE_FUND,123/ABC/2345
107,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,1.01%,2,table_1,SAMPLE_FUND,123/ABC/2345
108,BHARAT ELECTRONICS LIMITED,1.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
109,EICHER MOTORS LIMITED,0.99%,2,table_1,SAMPLE_FUND,123/ABC/2345
110,GRASIM INDUSTRIES LTD.,0.93%,2,table_1,SAMPLE_FUND,123/ABC/2345
111,TATA CONSUMER PRODUCTS LIMITED,0.90%,2,table_1,SAMPLE_FUND,123/ABC/2345
112,APOLLO HOSPITALS ENTERPRISE LIMITED,0.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
113,POLYCAB INDIA LIMITED,0.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
114,ONGCFV-5,0.87%,2,table_1,SAMPLE_FUND,123/ABC/2345
115,BAJAJ FINSERV LIMITED,0.86%,2,table_1,SAMPLE_FUND,123/ABC/2345
116,MUTHOOT FINANCE LIMITED,0.85%,2,table_1,SAMPLE_FUND,123/ABC/2345
117,TECH MAHINDRA LIMITEDFV-5,0.81%,2,table_1,SAMPLE_FUND,123/ABC/2345
118,VARUN BEVERAGES LIMITED,0.70%,2,table_1,SAMPLE_FUND,123/ABC/2345
119,SBI LIFE INSURANCE COMPANY LIMITED,0.69%,2,table_1,SAMPLE_FUND,123/ABC/2345
120,MAX HEALTHCARE INSTITUTE LIMITED,0.69%,2,table_1,SAMPLE_FUND,123/ABC/2345
121,NESTLE INDIA LIMITED,0.66%,2,table_1,SAMPLE_FUND,123/ABC/2345
122,TVS MOTOR COMPANY LIMITED,0.64%,2,table_1,SAMPLE_FUND,123/ABC/2345
123,CG POWER AND INDUSTRIAL SOLUTIONS LTD,0.59%,2,table_1,SAMPLE_FUND,123/ABC/2345
124,BHARAT DYNAMICS LIMITED,0.59%,2,table_1,SAMPLE_FUND,123/ABC/2345
125,HDFC STANDARD LIFE INSURANCE COMPANY LIMITED,0.59%,2,table_1,SAMPLE_FUND,123/ABC/2345
126,TATA MOTORS LIMITED,0.56%,2,table_1,SAMPLE_FUND,123/ABC/2345
127,KEI INDUSTRIES LIMITED,0.55%,2,table_1,SAMPLE_FUND,123/ABC/2345
128,LENSKART SOLUTIONS LIMITED,0.55%,2,table_1,SAMPLE_FUND,123/ABC/2345
129,TRENT LTD,0.53%,2,table_1,SAMPLE_FUND,123/ABC/2345
130,JSW STEEL LIMITED,0.52%,2,table_1,SAMPLE_FUND,123/ABC/2345
131,PCBL LIMITED,0.51%,2,table_1,SAMPLE_FUND,123/ABC/2345
132,NAVIN FLUORINE INTERNATIONAL LIMITED,0.50%,2,table_1,SAMPLE_FUND,123/ABC/2345
133,BRITANNIA INDUSTRIES LTD,0.47%,2,table_1,SAMPLE_FUND,123/ABC/2345
134,HDFC ASSET MANAGEMENT COMPANY LIMITED,0.45%,2,table_1,SAMPLE_FUND,123/ABC/2345
135,SUPREME INDUSTRIES LIMITED,0.44%,2,table_1,SAMPLE_FUND,123/ABC/2345
136,UPL LIMITED,0.44%,2,table_1,SAMPLE_FUND,123/ABC/2345
137,MULTI COMMODITY EXCHANGE OF INDIA LIMITED,0.39%,2,table_1,SAMPLE_FUND,123/ABC/2345
138,VISHAL MEGA MART LIMITED,0.38%,2,table_1,SAMPLE_FUND,123/ABC/2345
139,AMBER ENTERPRISES INDIA LTD,0.37%,2,table_1,SAMPLE_FUND,123/ABC/2345
140,BHARAT HEAVY ELECTRICALS LTD.FV-2,0.36%,2,table_1,SAMPLE_FUND,123/ABC/2345
141,DR. REDDY LABORATORIES,0.34%,2,table_1,SAMPLE_FUND,123/ABC/2345
142,AARTI INDUSTRIES LIMITED,0.30%,2,table_1,SAMPLE_FUND,123/ABC/2345
143,TATA POWER CO. LTD.FV-1,0.26%,2,table_1,SAMPLE_FUND,123/ABC/2345
144,PUNJAB NATIONAL BANK,0.25%,2,table_1,SAMPLE_FUND,123/ABC/2345
145,HINDUSTAN ZINC LIMITEDFV-2,0.22%,2,table_1,SAMPLE_FUND,123/ABC/2345
146,DIVIS LABORATORIES LIMITED,0.16%,2,table_1,SAMPLE_FUND,123/ABC/2345
147,DIXON TECHNOLOGIES (INDIA) LIMITED,0.14%,2,table_1,SAMPLE_FUND,123/ABC/2345
148,CHOLAMANDALAM INVESTMENT AND FIN CO LTD,0.10%,2,table_1,SAMPLE_FUND,123/ABC/2345
149,6% TVS MOTOR CO LTD NCRPS,0.01%,2,table_1,SAMPLE_FUND,123/ABC/2345
150,Equity Total,90.85%,2,table_1,SAMPLE_FUND,123/ABC/2345
151,Nippon India ETF Bank Bees,1.31%,2,table_1,SAMPLE_FUND,123/ABC/2345
152,UTI NIFTY BANK ETF,1.17%,2,table_1,SAMPLE_FUND,123/ABC/2345
153,KOTAK NIFTY BANK ETF,1.11%,2,table_1,SAMPLE_FUND,123/ABC/2345
154,SBI-ETF Nifty Bank,1.09%,2,table_1,SAMPLE_FUND,123/ABC/2345
155,ADITYA BIRLA SUN LIFE NIFTY BANK ETF,1.08%,2,table_1,SAMPLE_FUND,123/ABC/2345
156,ICICI PRUDENTIAL BANK ETF NIFTY BANK INDEX,1.06%,2,table_1,SAMPLE_FUND,123/ABC/2345
157,HDFC MUTUAL FUND - HDFC BANKING ETF,1.06%,2,table_1,SAMPLE_FUND,123/ABC/2345
158,ETFs,7.88%,2,table_1,SAMPLE_FUND,123/ABC/2345
159,Money Market Total,1.43%,2,table_1,SAMPLE_FUND,123/ABC/2345
160,Current Assets Current Assets,-0.16%,2,table_1,SAMPLE_FUND,123/ABC/2345
161,Total,100.00%,2,table_1,SAMPLE_FUND,123/ABC/2345
162,4,,2,table_1,SAMPLE_FUND,123/ABC/2345
163,Portfolio,,3,table_1,SAMPLE_FUND,123/ABC/2345
164,Name of Instrument,% to AUM,3,table_1,SAMPLE_FUND,123/ABC/2345
165,LARSEN&TUBRO,9.49%,3,table_1,SAMPLE_FUND,123/ABC/2345
166,RELIANCE INDUSTRIES LTD.,8.70%,3,table_1,SAMPLE_FUND,123/ABC/2345
167,BHARTI AIRTEL LIMITED,8.46%,3,table_1,SAMPLE_FUND,123/ABC/2345
168,MAHINDRA & MAHINDRA LTD.-FV5,6.28%,3,table_1,SAMPLE_FUND,123/ABC/2345
169,NTPC LIMITED,5.18%,3,table_1,SAMPLE_FUND,123/ABC/2345
170,INFOSYS LIMITED,4.42%,3,table_1,SAMPLE_FUND,123/ABC/2345
171,TITAN COMPANY LIMITED,4.15%,3,table_1,SAMPLE_FUND,123/ABC/2345
172,MARUTI UDYOG LTD.,4.07%,3,table_1,SAMPLE_FUND,123/ABC/2345
173,SUN PHARMACEUTICAL INDUSTRIES LTD. FV-1,4.00%,3,table_1,SAMPLE_FUND,123/ABC/2345
174,HINDUSTAN UNILEVER LIMITED,3.97%,3,table_1,SAMPLE_FUND,123/ABC/2345
175,ONGCFV-5,3.71%,3,table_1,SAMPLE_FUND,123/ABC/2345
176,ULTRATECH CEMCO LTD,3.22%,3,table_1,SAMPLE_FUND,123/ABC/2345
177,POWER GRID CORP OF INDIA LTD,2.91%,3,table_1,SAMPLE_FUND,123/ABC/2345
178,TATA CONSULTANCY SERVICES LTD.,2.83%,3,table_1,SAMPLE_FUND,123/ABC/2345
179,ADANI PORTS AND SPECIAL ECONOMIC ZONE LIMITED,2.67%,3,table_1,SAMPLE_FUND,123/ABC/2345
180,HERO MOTOCORP LIMITED,2.15%,3,table_1,SAMPLE_FUND,123/ABC/2345
181,JSW STEEL LIMITED,2.10%,3,table_1,SAMPLE_FUND,123/ABC/2345
182,NESTLE INDIA LIMITED,1.89%,3,table_1,SAMPLE_FUND,123/ABC/2345
183,HINDUSTAN AERONAUTICS LIMITED,1.65%,3,table_1,SAMPLE_FUND,123/ABC/2345
184,GRASIM INDUSTRIES LTD.,1.60%,3,table_1,SAMPLE_FUND,123/ABC/2345
185,BAJAJ AUTO LTD,1.58%,3,table_1,SAMPLE_FUND,123/ABC/2345
186,BHARAT HEAVY ELECTRICALS LTD.FV-2,1.45%,3,table_1,SAMPLE_FUND,123/ABC/2345
187,GAS AUTHORITY OF INDIA LTD.,1.44%,3,table_1,SAMPLE_FUND,123/ABC/2345
188,COAL INDIA LIMITED,1.07%,3,table_1,SAMPLE_FUND,123/ABC/2345
189,VOLTAS LTD,1.06%,3,table_1,SAMPLE_FUND,123/ABC/2345
190,AVENUE SUPERMARTS LIMITED,0.99%,3,table_1,SAMPLE_FUND,123/ABC/2345
191,HCL TECHNOLOGIES LIMITED,0.96%,3,table_1,SAMPLE_FUND,123/ABC/2345
192,JINDAL STEEL & POWER LTD.,0.84%,3,table_1,SAMPLE_FUND,123/ABC/2345
193,VISHAL MEGA MART LIMITED,0.76%,3,table_1,SAMPLE_FUND,123/ABC/2345
194,BHARAT PETROLEUM CORP. LTD.,0.70%,3,table_1,SAMPLE_FUND,123/ABC/2345
195,ASTRAL LIMITED,0.58%,3,table_1,SAMPLE_FUND,123/ABC/2345
196,STEEL AUTHORITY OF INDIA LIMITED,0.47%,3,table_1,SAMPLE_FUND,123/ABC/2345
197,GODREJ CONSUMER PRODUCTS LIMITED,0.43%,3,table_1,SAMPLE_FUND,123/ABC/2345
198,INDIAN OIL CORPORATION LIMITED,0.43%,3,table_1,SAMPLE_FUND,123/ABC/2345
199,Equity Total,96.23%,3,table_1,SAMPLE_FUND,123/ABC/2345
200,Money Market Total Money Market Total,4.26%,3,table_1,SAMPLE_FUND,123/ABC/2345
201,Current Assets,-0.50%,3,table_1,SAMPLE_FUND,123/ABC/2345
202,Total 5,100.00%,3,table_1,SAMPLE_FUND,123/ABC/2345
203,Portfolio,,4,table_1,SAMPLE_FUND,123/ABC/2345
204,Name of Instrument,% to AUM,4,table_1,SAMPLE_FUND,123/ABC/2345
205,RELIANCE INDUSTRIES LTD.,7.97%,4,table_1,SAMPLE_FUND,123/ABC/2345
206,ICICI BANK LTD.FV-2,7.14%,4,table_1,SAMPLE_FUND,123/ABC/2345
207,HDFC BANK LTD.FV-2,7.03%,4,table_1,SAMPLE_FUND,123/ABC/2345
208,LARSEN&TUBRO,4.43%,4,table_1,SAMPLE_FUND,123/ABC/2345
209,BHARTI AIRTEL LIMITED,4.28%,4,table_1,SAMPLE_FUND,123/ABC/2345
210,STATE BANK OF INDIAFV-1,3.34%,4,table_1,SAMPLE_FUND,123/ABC/2345
