,0,1,page,table,insur_fund,isin
0,Security Name,Net Asset (%),1,table_1,SAMPLE_FUND,123/ABC/2345
1,Govt Securities,59.7%,1,table_1,SAMPLE_FUND,123/ABC/2345
2,6.36% GOI 16-Feb-2031,42.4%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,6.01% GOI 21-Jul-2030,16.8%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,6.68% GOI 17-09-2031,0.5%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,Corporate Bond,38.5%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,7.72% Bharat Sanchar Nigam Limited (GS) 22-12-2032,8.7%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,8.10% Bajaj Finance Ltd 08 January 2027,8.5%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,8.80% Food Corporation of  India 22-Mar-2028,4.8%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,7.95% HDFC Bank 21-09-2026,4.7%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,9.10% Power Finance Corporation Ltd 25-Mar-2029,2.2%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,9.40% Shriram Transport Finance Co Ltd NCD 12-July-2028,2.2%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,9.00% Shriram Transport Finance Co Ltd NCD 28-Mar-2028,2.2%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,9.30% Shriram Transport Finance Co Ltd NCD 18-Mar-2026,2.1%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,9.75% Cholamandalam Invest. & Fin. Co. Ltd 23-Aug-2028,1.8%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Piramal Capital & Housing Finance Ltd.,1.4%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Fixed Deposit With Banks,0.0%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,Investment In Mutual Funds,0.0%,1,table_1,SAMPLE_FUND,123/ABC/2345
18,Cash & Cash Equivalents,1.7%,1,table_1,SAMPLE_FUND,123/ABC/2345
19,Portfolio Total,100.0%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,Security Name,Net Asset (%),2,table_1,SAMPLE_FUND,123/ABC/2345
21,Equity,47.1%,2,table_1,SAMPLE_FUND,123/ABC/2345
22,Reliance Industries Ltd.,4.9%,2,table_1,SAMPLE_FUND,123/ABC/2345
23,HDFC Bank Ltd.,4.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
24,ICICI Bank Ltd.,4.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
25,Bharti Airtel Ltd.,2.7%,2,table_1,SAMPLE_FUND,123/ABC/2345
26,State Bank Of India,1.8%,2,table_1,SAMPLE_FUND,123/ABC/2345
27,Mahindra & Mahindra Ltd.,1.6%,2,table_1,SAMPLE_FUND,123/ABC/2345
28,Kotak Mahindra Bank Ltd.,1.4%,2,table_1,SAMPLE_FUND,123/ABC/2345
29,Axis Bank Ltd.,1.4%,2,table_1,SAMPLE_FUND,123/ABC/2345
30,Titan Company Ltd.,1.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
31,Infosys Ltd.,1.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
32,Others,22.2%,2,table_1,SAMPLE_FUND,123/ABC/2345
33,Govt Securities,22.7%,2,table_1,SAMPLE_FUND,123/ABC/2345
34,6.36% GOI 16-Feb-2031,19.4%,2,table_1,SAMPLE_FUND,123/ABC/2345
35,6.01% GOI 21-Jul-2030,1.7%,2,table_1,SAMPLE_FUND,123/ABC/2345
36,8.28% GOI 15-Feb-2032,1.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
37,7.26% GOI 06-Feb-2033,0.3%,2,table_1,SAMPLE_FUND,123/ABC/2345
38,Corporate Bond,28.8%,2,table_1,SAMPLE_FUND,123/ABC/2345
39,7.72% Bharat Sanchar Nigam Limited (GS) 22-12-2032,8.9%,2,table_1,SAMPLE_FUND,123/ABC/2345
40,9.10% Power Finance Corporation Ltd 25-Mar-2029,8.9%,2,table_1,SAMPLE_FUND,123/ABC/2345
41,8.10% Bajaj Finance Ltd 08 January 2027,3.4%,2,table_1,SAMPLE_FUND,123/ABC/2345
