,0,1,page,table,insur_fund,isin
0,Security Name,Net Asset (%),1,table_1,SAMPLE_FUND,123/ABC/2345
1,Equity,,1,table_1,SAMPLE_FUND,123/ABC/2345
2,RELIANCE INDUSTRIES LTD.,4.9%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,LARSEN & TOUBRO LTD.,4.6%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,BHARTI AIRTEL LTD.,3.9%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,ADANI PORTS & SPECIAL ECONOMIC ZONE LTD.,3.9%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,MARUTI SUZUKI INDIA LTD.,3.2%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,VEDANTA LIMITED,2.6%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,INFOSYS LTD.,2.4%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,MAHINDRA & MAHINDRA LTD.,2.4%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,N T P C LTD.,2.3%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,INDUS TOWERS LIMITED,2.2%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Others,62.6%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Total,94.9%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Cash and Money Market,5.0%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Portfolio Total,100.0%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Security Name,Net Asset (%),2,table_1,SAMPLE_FUND,123/ABC/2345
17,Equity,,2,table_1,SAMPLE_FUND,123/ABC/2345
18,H D F C BANK LTD.,6.1%,2,table_1,SAMPLE_FUND,123/ABC/2345
19,SBI MF - NIFTY BANK ETF,5.0%,2,table_1,SAMPLE_FUND,123/ABC/2345
20,LARSEN & TOUBRO LTD.,4.1%,2,table_1,SAMPLE_FUND,123/ABC/2345
21,STATE BANK OF INDIA,3.4%,2,table_1,SAMPLE_FUND,123/ABC/2345
22,VEDANTA LIMITED,2.8%,2,table_1,SAMPLE_FUND,123/ABC/2345
