,0,1,page,table,insur_fund,isin
0,,AUM (In Crs),1,table_1,SAMPLE_FUND,123/ABC/2345
1,,"16,032.28",1,table_1,SAMPLE_FUND,123/ABC/2345
2,,748.63,1,table_1,SAMPLE_FUND,123/ABC/2345
3,,"16,780.91",1,table_1,SAMPLE_FUND,123/ABC/2345
4,,2 yrs 3 yrs Inception,1,table_1,SAMPLE_FUND,123/ABC/2345
5,,6.78% 7.32% 7.98%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,,7.27% 7.70% 7.15%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
8,,2.65%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,,2.08%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,,1.80%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,,1.71%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,,1.49%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,,1.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,,1.19%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,,1.18%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,,1.17%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,,1.17%,1,table_1,SAMPLE_FUND,123/ABC/2345
18,,44.27%,1,table_1,SAMPLE_FUND,123/ABC/2345
19,,60.16%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,,% of AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
21,,12.01%,1,table_1,SAMPLE_FUND,123/ABC/2345
22,,4.92%,1,table_1,SAMPLE_FUND,123/ABC/2345
23,,3.74%,1,table_1,SAMPLE_FUND,123/ABC/2345
24,,3.13%,1,table_1,SAMPLE_FUND,123/ABC/2345
25,,3.09%,1,table_1,SAMPLE_FUND,123/ABC/2345
26,,1.86%,1,table_1,SAMPLE_FUND,123/ABC/2345
27,,1.11%,1,table_1,SAMPLE_FUND,123/ABC/2345
28,,0.75%,1,table_1,SAMPLE_FUND,123/ABC/2345
29,,0.74%,1,table_1,SAMPLE_FUND,123/ABC/2345
30,,0.61%,1,table_1,SAMPLE_FUND,123/ABC/2345
31,,3.43%,1,table_1,SAMPLE_FUND,123/ABC/2345
32,,35.38%,1,table_1,SAMPLE_FUND,123/ABC/2345
33,,4.46%,1,table_1,SAMPLE_FUND,123/ABC/2345
34,,100%,1,table_1,SAMPLE_FUND,123/ABC/2345
35,,AUM (In Crs),2,table_1,SAMPLE_FUND,123/ABC/2345
36,,"2,149.94",2,table_1,SAMPLE_FUND,123/ABC/2345
37,,696.32,2,table_1,SAMPLE_FUND,123/ABC/2345
38,,66.68,2,table_1,SAMPLE_FUND,123/ABC/2345
39,,"2,912.93",2,table_1,SAMPLE_FUND,123/ABC/2345
40,,2 yrs 3 yrs Inception,2,table_1,SAMPLE_FUND,123/ABC/2345
41,,7.39% 12.15% 11.72%,2,table_1,SAMPLE_FUND,123/ABC/2345
42,,7.28% 11.77% 10.60%,2,table_1,SAMPLE_FUND,123/ABC/2345
43,,% of AUM 7.26% 6.88% 4.91% 3.26% 3.12%,2,table_1,SAMPLE_FUND,123/ABC/2345
44,,37.26% 3.10% 2.58% 1.98% 1.73% 1.73%,2,table_1,SAMPLE_FUND,123/ABC/2345
45,,73.81%,2,table_1,SAMPLE_FUND,123/ABC/2345
46,,% of AUM 1.71% 1.70% 0.87% 0.86% 0.76% 0.59%,2,table_1,SAMPLE_FUND,123/ABC/2345
47,,% of AUM 9.30% 0.52% 0.41% 0.35% 0.35% 1.16% 3.00% 2.47% 2.08% 1.22% 1.02%,2,table_1,SAMPLE_FUND,123/ABC/2345
48,,14.61% 0.85% 0.60% 0.53% 0.47% 0.36% 1.99% 2.29% 100%,2,table_1,SAMPLE_FUND,123/ABC/2345
49,,"2 yrs 3 yrs AUM (In Crs) 21,159.61 11,267.78 9,547.87 343.96 Inception",3,table_1,SAMPLE_FUND,123/ABC/2345
50,,6.96% 10.44% 10.38%,3,table_1,SAMPLE_FUND,123/ABC/2345
51,,7.36% 10.67% 9.90%,3,table_1,SAMPLE_FUND,123/ABC/2345
52,,% of AUM 4.78% 4.30% 3.54% 2.71% 2.43% 2.10%,3,table_1,SAMPLE_FUND,123/ABC/2345
53,,% of AUM 53.25% 27.57% 1.65% 1.57% 1.37% 1.24% 1.26% 0.99% 0.83% 0.76% 0.73% 0.73%,3,table_1,SAMPLE_FUND,123/ABC/2345
