,0,1,page,table,insur_fund,isin
0,TOP-10 HOLDINGS,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,ISSUER NAME,RATING % to AUM,1,table_1,SAMPLE_FUND,123/ABC/2345
2,EQUITY,99.31%,1,table_1,SAMPLE_FUND,123/ABC/2345
3,HDFC BANK LIMITED,7.39%,1,table_1,SAMPLE_FUND,123/ABC/2345
4,RELIANCE INDUSTRIES LIMITED,3.92%,1,table_1,SAMPLE_FUND,123/ABC/2345
5,NIPPON LIFE INDIA AMC LIMITED,3.89%,1,table_1,SAMPLE_FUND,123/ABC/2345
6,LARSEN & TOUBRO LIMITED,3.76%,1,table_1,SAMPLE_FUND,123/ABC/2345
7,ICICI BANK LIMITED,3.70%,1,table_1,SAMPLE_FUND,123/ABC/2345
8,NESTLE INDIA LIMITED,2.83%,1,table_1,SAMPLE_FUND,123/ABC/2345
9,BRITANNIA INDUSTRIES LIMITED,2.60%,1,table_1,SAMPLE_FUND,123/ABC/2345
10,EICHER MOTORS LIMITED,2.55%,1,table_1,SAMPLE_FUND,123/ABC/2345
11,BAJAJ FINANCE LIMITED,2.41%,1,table_1,SAMPLE_FUND,123/ABC/2345
12,MARICO LIMITED,2.34%,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Others,63.93%,1,table_1,SAMPLE_FUND,123/ABC/2345
14,MMI'S AND CASH EQUIVALENTS,0.69%,1,table_1,SAMPLE_FUND,123/ABC/2345
15,CASH EQUIVALENTS-NCA,0.69%,1,table_1,SAMPLE_FUND,123/ABC/2345
16,. GRAND TOTAL,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
17,TOP-10 HOLDINGS,,2,table_1,SAMPLE_FUND,123/ABC/2345
18,SECURITY NAME,RATING % to AUM,2,table_1,SAMPLE_FUND,123/ABC/2345
19,EQUITY,56.25%,2,table_1,SAMPLE_FUND,123/ABC/2345
20,KOTAK NIFTY BANK ETF,5.57%,2,table_1,SAMPLE_FUND,123/ABC/2345
21,HDFC BANK LIMITED,4.45%,2,table_1,SAMPLE_FUND,123/ABC/2345
22,RELIANCE INDUSTRIES LIMITED,2.64%,2,table_1,SAMPLE_FUND,123/ABC/2345
23,LARSEN & TOUBRO LIMITED,2.30%,2,table_1,SAMPLE_FUND,123/ABC/2345
24,ULTRATECH CEMENT LIMITED,2.13%,2,table_1,SAMPLE_FUND,123/ABC/2345
25,NESTLE INDIA LIMITED,1.67%,2,table_1,SAMPLE_FUND,123/ABC/2345
26,BRITANNIA INDUSTRIES LIMITED,1.53%,2,table_1,SAMPLE_FUND,123/ABC/2345
27,Eicher Motors Limited,1.50%,2,table_1,SAMPLE_FUND,123/ABC/2345
28,ICICI BANK LIMITED,1.46%,2,table_1,SAMPLE_FUND,123/ABC/2345
29,MARICO LIMITED,1.38%,2,table_1,SAMPLE_FUND,123/ABC/2345
30,OTHERS,31.62%,2,table_1,SAMPLE_FUND,123/ABC/2345
31,GOVERNMENT SECURITIES,29.19%,2,table_1,SAMPLE_FUND,123/ABC/2345
32,6.33% GOI CG 05-05-2035,9.85%,2,table_1,SAMPLE_FUND,123/ABC/2345
33,7.46% UTTAR PRADESH SGS 2039,4.57%,2,table_1,SAMPLE_FUND,123/ABC/2345
34,7.73% GOI CG 19-12-2034,4.34%,2,table_1,SAMPLE_FUND,123/ABC/2345
35,7.29%  TELANGANA SGS  2042,3.41%,2,table_1,SAMPLE_FUND,123/ABC/2345
36,7.70% UTTAR PRADESH SGS 2035,1.80%,2,table_1,SAMPLE_FUND,123/ABC/2345
37,6.68% GOI CG 07-07-2040,1.71%,2,table_1,SAMPLE_FUND,123/ABC/2345
