,0,1,page,table,insur_fund,isin
0,"For New Dhan Suraksha, New Dhan Suraksha","Premium,",1,table_1,SAMPLE_FUND,123/ABC/2345
1,"New Prabhat Tara, Dhan Suraksha 3, Dhan",Suraksha,1,table_1,SAMPLE_FUND,123/ABC/2345
2,Premium 3 & Prabhat Tara 3.,,1,table_1,SAMPLE_FUND,123/ABC/2345
3,cc BANKLTD,a0sn,1,table_1,SAMPLE_FUND,123/ABC/2345
4,Relisnc ndustie 14,3,1,table_1,SAMPLE_FUND,123/ABC/2345
5,HOFC Bk L1g,som,1,table_1,SAMPLE_FUND,123/ABC/2345
6,Larsen & Toubro iited,aam,1,table_1,SAMPLE_FUND,123/ABC/2345
7,i Bk imited,309,1,table_1,SAMPLE_FUND,123/ABC/2345
8,Sate Sank o ndi,2,1,table_1,SAMPLE_FUND,123/ABC/2345
9,Bharst tlctrnics L1d,25w,1,table_1,SAMPLE_FUND,123/ABC/2345
10,cua,2485,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Bhart Aiel Limitad,2,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Hindustan Unfver rited,2100,1,table_1,SAMPLE_FUND,123/ABC/2345
13,Kotak Mhinra Bk imited,200,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Infosys,200,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Vedanta tinited,152,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Ulatech Cament L,1m0,1,table_1,SAMPLE_FUND,123/ABC/2345
17,Ntiona ThermalPomsr Corporation imited,e,1,table_1,SAMPLE_FUND,123/ABC/2345
18,Mahingra & Mahindra L,75,1,table_1,SAMPLE_FUND,123/ABC/2345
19,Hindalco Industris L.,1s5%,1,table_1,SAMPLE_FUND,123/ABC/2345
20,Tota Ste Limited,158,1,table_1,SAMPLE_FUND,123/ABC/2345
21,011 & Noturs Gos Corpn L1,e,1,table_1,SAMPLE_FUND,123/ABC/2345
22,Marut Suzuki o Limied,120,1,table_1,SAMPLE_FUND,123/ABC/2345
23,Sun Pharmaceutcls Industies Lt,T,1,table_1,SAMPLE_FUND,123/ABC/2345
24,Ntional Aluminum Co. U,I,1,table_1,SAMPLE_FUND,123/ABC/2345
25,T iy Bank ETF,108%,1,table_1,SAMPLE_FUND,123/ABC/2345
26,S8ILieInsurance Company Uiited,1om,1,table_1,SAMPLE_FUND,123/ABC/2345
27,MM & s,11.48%,1,table_1,SAMPLE_FUND,123/ABC/2345
28,Total,100.00%,1,table_1,SAMPLE_FUND,123/ABC/2345
29,Top 10 Tndustry,Exposure (% to AUM),1,table_1,SAMPLE_FUND,123/ABC/2345
30,"February 25, 2009",ULIF 002 25/02/0,2,table_1,SAMPLE_FUND,123/ABC/2345
31,"For Products New Dhan Suraksha, Dhan Suraksha","Premium,",2,table_1,SAMPLE_FUND,123/ABC/2345
32,Prabhat Tara.,,2,table_1,SAMPLE_FUND,123/ABC/2345
33,111 BANK LTD,a1k,2,table_1,SAMPLE_FUND,123/ABC/2345
34,Reliance Industries Ltd,T,2,table_1,SAMPLE_FUND,123/ABC/2345
35,HORC Bank Ltd,S0,2,table_1,SAMPLE_FUND,123/ABC/2345
36,Larsen & Toubro Limited,425,2,table_1,SAMPLE_FUND,123/ABC/2345
37,Ao Bank Limited.,200,2,table_1,SAMPLE_FUND,123/ABC/2345
38,State Bank of India,278,2,table_1,SAMPLE_FUND,123/ABC/2345
39,Bharat Electronics Ltd,2a8%,2,table_1,SAMPLE_FUND,123/ABC/2345
40,Hindlustan Unilever Lmited,248,2,table_1,SAMPLE_FUND,123/ABC/2345
41,3,242%,2,table_1,SAMPLE_FUND,123/ABC/2345
42,Bhart Airte Limited,21,2,table_1,SAMPLE_FUND,123/ABC/2345
43,nfosys Ltd,220,2,table_1,SAMPLE_FUND,123/ABC/2345
44,Kotk Mahindra Bank Limited,207%,2,table_1,SAMPLE_FUND,123/ABC/2345
45,Vedanta Unmited,188%,2,table_1,SAMPLE_FUND,123/ABC/2345
46,Ultratech Cement Lt,179%,2,table_1,SAMPLE_FUND,123/ABC/2345
47,National Thermea Power Corporation Limited,3%,2,table_1,SAMPLE_FUND,123/ABC/2345
48,Mahindra & Mahindra Lt,[,2,table_1,SAMPLE_FUND,123/ABC/2345
49,Marut SuzukiIndia Limited,159%,2,table_1,SAMPLE_FUND,123/ABC/2345
50,Hindislco Industries Lt,152%,2,table_1,SAMPLE_FUND,123/ABC/2345
51,TotaSteel Limited,152%,2,table_1,SAMPLE_FUND,123/ABC/2345
52,il & Natursl Gas Corpn Ltd,14z,2,table_1,SAMPLE_FUND,123/ABC/2345
53,S81 Lie Insurance Company Limited,1270,2,table_1,SAMPLE_FUND,123/ABC/2345
54,Sun Pharmaceuticals Industris Ltd,0%,2,table_1,SAMPLE_FUND,123/ABC/2345
55,National Aluminium Co. Ltd,105%,2,table_1,SAMPLE_FUND,123/ABC/2345
56,UTINify Bank ETF,108%,2,table_1,SAMPLE_FUND,123/ABC/2345
57,Other,2687%,2,table_1,SAMPLE_FUND,123/ABC/2345
58,Equity,88.94:,2,table_1,SAMPLE_FUND,123/ABC/2345
59,,1.06%,2,table_1,SAMPLE_FUND,123/ABC/2345
60,Total,100.00 %,2,table_1,SAMPLE_FUND,123/ABC/2345
61,Top 10 Industry,Exposure (% 1o AUM),2,table_1,SAMPLE_FUND,123/ABC/2345
62,For New Dhruy Tara Products,,3,table_1,SAMPLE_FUND,123/ABC/2345
63,Relisnc Industries 10,e,3,table_1,SAMPLE_FUND,123/ABC/2345
64,aa BNK LD,s,3,table_1,SAMPLE_FUND,123/ABC/2345
65,HOFC Bank Lsg,S0,3,table_1,SAMPLE_FUND,123/ABC/2345
66,Lrsan & Toubro imited,s,3,table_1,SAMPLE_FUND,123/ABC/2345
67,Je——,209,3,table_1,SAMPLE_FUND,123/ABC/2345
68,State ank o Ini,2,3,table_1,SAMPLE_FUND,123/ABC/2345
69,Kotak ahindra Bk imited,255,3,table_1,SAMPLE_FUND,123/ABC/2345
70,part Elctronis Ltd,24,3,table_1,SAMPLE_FUND,123/ABC/2345
71,e,a3,3,table_1,SAMPLE_FUND,123/ABC/2345
72,Bhart Al Liitad,220,3,table_1,SAMPLE_FUND,123/ABC/2345
73,Hindustan Untvar iited,0%,3,table_1,SAMPLE_FUND,123/ABC/2345
74,Infosys e,195,3,table_1,SAMPLE_FUND,123/ABC/2345
75,Vedanta iritod,1o,3,table_1,SAMPLE_FUND,123/ABC/2345
76,Nations Thermal Pomer Corporation Limted,e,3,table_1,SAMPLE_FUND,123/ABC/2345
77,Matindra & Mahindra L1,s,3,table_1,SAMPLE_FUND,123/ABC/2345
78,Marut Suruki nda Limited,1s6%,3,table_1,SAMPLE_FUND,123/ABC/2345
79,Hindalo Industrio L.,1565,3,table_1,SAMPLE_FUND,123/ABC/2345
80,Tita StelLimited,150%,3,table_1,SAMPLE_FUND,123/ABC/2345
81,D Rodys Laboratores L,5%,3,table_1,SAMPLE_FUND,123/ABC/2345
82,il & Naturs G Corpn L1,T4,3,table_1,SAMPLE_FUND,123/ABC/2345
83,U Nty Bank ETF,12,3,table_1,SAMPLE_FUND,123/ABC/2345
84,SB1LifeInsurance Company Limted,1260,3,table_1,SAMPLE_FUND,123/ABC/2345
85,Conlndis iited,i,3,table_1,SAMPLE_FUND,123/ABC/2345
86,Sun Pharmaceutcls ndustios L1t,0%,3,table_1,SAMPLE_FUND,123/ABC/2345
87,NationslAluminum Co. 1,10,3,table_1,SAMPLE_FUND,123/ABC/2345
88,Othar,2435%,3,table_1,SAMPLE_FUND,123/ABC/2345
89,Equity,87.94%,3,table_1,SAMPLE_FUND,123/ABC/2345
90,MM & Others,12.06%,3,table_1,SAMPLE_FUND,123/ABC/2345
91,,100.00%,3,table_1,SAMPLE_FUND,123/ABC/2345
92,Top 10 ndustry,Exposure (% o AUM),3,table_1,SAMPLE_FUND,123/ABC/2345
93,"March 31, 2009",ULIF 005 31/03/0,4,table_1,SAMPLE_FUND,123/ABC/2345
94,For Dhruv Tara Products,,4,table_1,SAMPLE_FUND,123/ABC/2345
95,M & Others,18.94%,4,table_1,SAMPLE_FUND,123/ABC/2345
96,Total,100.00 %,4,table_1,SAMPLE_FUND,123/ABC/2345
97,Top 10 Industry,Exposure (% to AUM),4,table_1,SAMPLE_FUND,123/ABC/2345
98,[ R—,,4,table_1,SAMPLE_FUND,123/ABC/2345
99,Fund returns vis,Benchmark,4,table_1,SAMPLE_FUND,123/ABC/2345
100,"New Prabhat Tara, Dhan Suraksha 3, Dhan",Suraksha,5,table_1,SAMPLE_FUND,123/ABC/2345
101,Premium 3 & Prabhat Tara 3.,,5,table_1,SAMPLE_FUND,123/ABC/2345
102,,Mol,5,table_1,SAMPLE_FUND,123/ABC/2345
103,De,19.86%,5,table_1,SAMPLE_FUND,123/ABC/2345
104,Gilts & SDL,15.96%,5,table_1,SAMPLE_FUND,123/ABC/2345
105,Gilt & SDL (Top 10 Holdings),,5,table_1,SAMPLE_FUND,123/ABC/2345
106,6485 601 06.0cT-2035,a7,5,table_1,SAMPLE_FUND,123/ABC/2345
