,0,1,page,table,insur_fund,isin
0,Portfolio,,1,table_1,SAMPLE_FUND,123/ABC/2345
1,Instrument,% Of NAV,1,table_1,SAMPLE_FUND,123/ABC/2345
2,Equity,98.81,1,table_1,SAMPLE_FUND,123/ABC/2345
3,Reliance Industries Ltd.,8.80,1,table_1,SAMPLE_FUND,123/ABC/2345
4,ICICI Bank Ltd.,7.38,1,table_1,SAMPLE_FUND,123/ABC/2345
5,HDFC Bank Ltd,5.91,1,table_1,SAMPLE_FUND,123/ABC/2345
6,Bharti Airtel Ltd.,5.18,1,table_1,SAMPLE_FUND,123/ABC/2345
7,Infosys Ltd.,4.28,1,table_1,SAMPLE_FUND,123/ABC/2345
8,Larsen & Toubro Ltd.,4.01,1,table_1,SAMPLE_FUND,123/ABC/2345
9,NTPC Ltd.,3.37,1,table_1,SAMPLE_FUND,123/ABC/2345
10,Mahindra and Mahindra Ltd.,3.31,1,table_1,SAMPLE_FUND,123/ABC/2345
11,Ultratech Cement Ltd.,2.71,1,table_1,SAMPLE_FUND,123/ABC/2345
12,Interglobe Aviation Ltd,2.66,1,table_1,SAMPLE_FUND,123/ABC/2345
13,MCX of India Ltd.,2.56,1,table_1,SAMPLE_FUND,123/ABC/2345
14,Fund Performance,,1,table_1,SAMPLE_FUND,123/ABC/2345
15,Period Date,NAV,1,table_1,SAMPLE_FUND,123/ABC/2345
16,Last 1 Month 30-Jan-26,167.6323,1,table_1,SAMPLE_FUND,123/ABC/2345
17,Last 3 Months 28-Nov-25,170.9942,1,table_1,SAMPLE_FUND,123/ABC/2345
18,Last 6 Months 29-Aug-25,159.4143,1,table_1,SAMPLE_FUND,123/ABC/2345
19,YTD 31-Mar-25,152.0550,1,table_1,SAMPLE_FUND,123/ABC/2345
20,Last 1 Year 28-Feb-25,144.6642,1,table_1,SAMPLE_FUND,123/ABC/2345
21,Last 2 Years 29-Feb-24,140.4095,1,table_1,SAMPLE_FUND,123/ABC/2345
22,Last 3 Years 28-Feb-23,107.6443,1,table_1,SAMPLE_FUND,123/ABC/2345
23,Last 4 Years 28-Feb-22,105.1250,1,table_1,SAMPLE_FUND,123/ABC/2345
24,Last 5 Years 26-Feb-21,89.3069,1,table_1,SAMPLE_FUND,123/ABC/2345
25,Last 7 Years 28-Feb-19,63.9235,1,table_1,SAMPLE_FUND,123/ABC/2345
26,Last 10 Years 29-Feb-16,41.9513,1,table_1,SAMPLE_FUND,123/ABC/2345
27,Since Inception 27-Feb-04,10.0000,1,table_1,SAMPLE_FUND,123/ABC/2345
28,Note:,,1,table_1,SAMPLE_FUND,123/ABC/2345
29,calculated as per CAGR.,,1,table_1,SAMPLE_FUND,123/ABC/2345
30,Instrument,% Of NAV,1,table_1,SAMPLE_FUND,123/ABC/2345
31,Titan Company Ltd.,2.48,1,table_1,SAMPLE_FUND,123/ABC/2345
