Company Name,gstin,authStatus,stateCd,pan,Index,,,,,
Asian Paints Ltd,092500008133TMP,Inactive,9,AAACA3622K,Nifty 50,15,2500008133TMP,13,2500008133,FALSE
Asian Paints Ltd,29AAACA3622K1ZR,Active,29,AAACA3622K,Nifty 50,15,AAACA3622K1ZR,13,AAACA3622K,TRUE
Asian Paints Ltd,33AAACA3622K1CD,Active,33,AAACA3622K,Nifty 50,15,AAACA3622K1CD,13,AAACA3622K,TRUE
Asian Paints Ltd,332000000047ARE,Active,33,AAACA3622K,Nifty 50,15,2000000047ARE,13,2000000047,FALSE
Asian Paints Ltd,23AAACA3622K1Z3,Active,23,AAACA3622K,Nifty 50,15,AAACA3622K1Z3,13,AAACA3622K,TRUE
Asian Paints Ltd,07AAACA3622K1C8,Inactive,7,AAACA3622K,Nifty 50,15,AAACA3622K1C8,13,AAACA3622K,TRUE
Asian Paints Ltd,18AAACA3622K4ZR,Inactive,18,AAACA3622K,Nifty 50,15,AAACA3622K4ZR,13,AAACA3622K,TRUE
Asian Paints Ltd,19AAACA3622K2ZR,Active,19,AAACA3622K,Nifty 50,15,AAACA3622K2ZR,13,AAACA3622K,TRUE
Asian Paints Ltd,16AAACA3622K1ZY,Active,16,AAACA3622K,Nifty 50,15,AAACA3622K1ZY,13,AAACA3622K,TRUE
Asian Paints Ltd,06AAACA3622K1ZZ,Active,6,AAACA3622K,Nifty 50,15,AAACA3622K1ZZ,13,AAACA3622K,TRUE
Asian Paints Ltd,092400003948TMP,Inactive,9,AAACA3622K,Nifty 50,15,2400003948TMP,13,2400003948,FALSE
Asian Paints Ltd,292000000035AR8,Active,29,AAACA3622K,Nifty 50,15,2000000035AR8,13,2000000035,FALSE
Asian Paints Ltd,07AAACA3622K1ZX,Active,7,AAACA3622K,Nifty 50,15,AAACA3622K1ZX,13,AAACA3622K,TRUE
Asian Paints Ltd,22AAACA3622K1CG,Inactive,22,AAACA3622K,Nifty 50,15,AAACA3622K1CG,13,AAACA3622K,TRUE
Asian Paints Ltd,24AAACA3622K2Z0,Active,24,AAACA3622K,Nifty 50,15,AAACA3622K2Z0,13,AAACA3622K,TRUE
Asian Paints Ltd,27AAACA3622K1ZV,Active,27,AAACA3622K,Nifty 50,15,AAACA3622K1ZV,13,AAACA3622K,TRUE
Asian Paints Ltd,222000000008ARJ,Active,22,AAACA3622K,Nifty 50,15,2000000008ARJ,13,2000000008,FALSE
Asian Paints Ltd,37AAACA3622K1ZU,Active,37,AAACA3622K,Nifty 50,15,AAACA3622K1ZU,13,AAACA3622K,TRUE
Asian Paints Ltd,30AAACA3622K2Z7,Active,30,AAACA3622K,Nifty 50,15,AAACA3622K2Z7,13,AAACA3622K,TRUE
Asian Paints Ltd,29AAACA3622K1C2,Active,29,AAACA3622K,Nifty 50,15,AAACA3622K1C2,13,AAACA3622K,TRUE
Asian Paints Ltd,29AAACA3622K2ZQ,Active,29,AAACA3622K,Nifty 50,15,AAACA3622K2ZQ,13,AAACA3622K,TRUE
Asian Paints Ltd,20AAACA3622K1Z9,Active,20,AAACA3622K,Nifty 50,15,AAACA3622K1Z9,13,AAACA3622K,TRUE
Asian Paints Ltd,04AAACA3622K1Z3,Inactive,4,AAACA3622K,Nifty 50,15,AAACA3622K1Z3,13,AAACA3622K,TRUE
Asian Paints Ltd,24AAACA3622K1Z1,Active,24,AAACA3622K,Nifty 50,15,AAACA3622K1Z1,13,AAACA3622K,TRUE
Asian Paints Ltd,092400002178TMP,Inactive,9,AAACA3622K,Nifty 50,15,2400002178TMP,13,2400002178,FALSE
Asian Paints Ltd,05AAACA3622K1Z1,Active,5,AAACA3622K,Nifty 50,15,AAACA3622K1Z1,13,AAACA3622K,TRUE
Asian Paints Ltd,18AAACA3622K2ZT,Inactive,18,AAACA3622K,Nifty 50,15,AAACA3622K2ZT,13,AAACA3622K,TRUE
Asian Paints Ltd,08AAACA3622K1C6,Active,8,AAACA3622K,Nifty 50,15,AAACA3622K1C6,13,AAACA3622K,TRUE
Asian Paints Ltd,18AAACA3622K3ZS,Inactive,18,AAACA3622K,Nifty 50,15,AAACA3622K3ZS,13,AAACA3622K,TRUE
Asian Paints Ltd,07AAACA3622K2ZW,Active,7,AAACA3622K,Nifty 50,15,AAACA3622K2ZW,13,AAACA3622K,TRUE
Asian Paints Ltd,09AAACA3622K1C4,Active,9,AAACA3622K,Nifty 50,15,AAACA3622K1C4,13,AAACA3622K,TRUE
Asian Paints Ltd,09AAACA3622K1ZT,Active,9,AAACA3622K,Nifty 50,15,AAACA3622K1ZT,13,AAACA3622K,TRUE
Asian Paints Ltd,10AAACA3622K1ZA,Active,10,AAACA3622K,Nifty 50,15,AAACA3622K1ZA,13,AAACA3622K,TRUE
Asian Paints Ltd,322000000178AR9,Active,32,AAACA3622K,Nifty 50,15,2000000178AR9,13,2000000178,FALSE
Asian Paints Ltd,01AAACA3622K1Z9,Active,1,AAACA3622K,Nifty 50,15,AAACA3622K1Z9,13,AAACA3622K,TRUE
Asian Paints Ltd,21AAACA3622K1CI,Active,21,AAACA3622K,Nifty 50,15,AAACA3622K1CI,13,AAACA3622K,TRUE
Asian Paints Ltd,36AAACA3622K1C7,Active,36,AAACA3622K,Nifty 50,15,AAACA3622K1C7,13,AAACA3622K,TRUE
Asian Paints Ltd,03AAACA3622K1CG,Active,3,AAACA3622K,Nifty 50,15,AAACA3622K1CG,13,AAACA3622K,TRUE
Asian Paints Ltd,33AAACA3622K1Z2,Active,33,AAACA3622K,Nifty 50,15,AAACA3622K1Z2,13,AAACA3622K,TRUE
Asian Paints Ltd,33AAACA3622K2Z1,Active,33,AAACA3622K,Nifty 50,15,AAACA3622K2Z1,13,AAACA3622K,TRUE
Asian Paints Ltd,08AAACA3622K1ZV,Active,8,AAACA3622K,Nifty 50,15,AAACA3622K1ZV,13,AAACA3622K,TRUE
Asian Paints Ltd,26AAACA3622K1ZX,Inactive,26,AAACA3622K,Nifty 50,15,AAACA3622K1ZX,13,AAACA3622K,TRUE
Asian Paints Ltd,36AAACA3622K1ZW,Active,36,AAACA3622K,Nifty 50,15,AAACA3622K1ZW,13,AAACA3622K,TRUE
Asian Paints Ltd,03AAACA3622K1Z5,Active,3,AAACA3622K,Nifty 50,15,AAACA3622K1Z5,13,AAACA3622K,TRUE
Asian Paints Ltd,18AAACA3622K1ZU,Active,18,AAACA3622K,Nifty 50,15,AAACA3622K1ZU,13,AAACA3622K,TRUE
Asian Paints Ltd,22AAACA3622K1Z5,Active,22,AAACA3622K,Nifty 50,15,AAACA3622K1Z5,13,AAACA3622K,TRUE
Asian Paints Ltd,27AAACA3622K3ZT,Active,27,AAACA3622K,Nifty 50,15,AAACA3622K3ZT,13,AAACA3622K,TRUE
Asian Paints Ltd,21AAACA3622K1Z7,Active,21,AAACA3622K,Nifty 50,15,AAACA3622K1Z7,13,AAACA3622K,TRUE
Asian Paints Ltd,32AAACA3622K1Z4,Active,32,AAACA3622K,Nifty 50,15,AAACA3622K1Z4,13,AAACA3622K,TRUE
Asian Paints Ltd,24AAACA3622K1CC,Active,24,AAACA3622K,Nifty 50,15,AAACA3622K1CC,13,AAACA3622K,TRUE
Asian Paints Ltd,02AAACA3622K1Z7,Active,2,AAACA3622K,Nifty 50,15,AAACA3622K1Z7,13,AAACA3622K,TRUE
Asian Paints Ltd,19AAACA3622K1ZS,Active,19,AAACA3622K,Nifty 50,15,AAACA3622K1ZS,13,AAACA3622K,TRUE
Asian Paints Ltd,05AAACA3622K1CC,Inactive,5,AAACA3622K,Nifty 50,15,AAACA3622K1CC,13,AAACA3622K,TRUE
Asian Paints Ltd,27AAACA3622K2ZU,Active,27,AAACA3622K,Nifty 50,15,AAACA3622K2ZU,13,AAACA3622K,TRUE
Asian Paints Ltd,06AAACA3622K1CA,Inactive,6,AAACA3622K,Nifty 50,15,AAACA3622K1CA,13,AAACA3622K,TRUE
Asian Paints Ltd,09AAACA3622K2ZS,Active,9,AAACA3622K,Nifty 50,15,AAACA3622K2ZS,13,AAACA3622K,TRUE
Asian Paints Ltd,27AAACA3622K1C6,Active,27,AAACA3622K,Nifty 50,15,AAACA3622K1C6,13,AAACA3622K,TRUE
Asian Paints Ltd,10AAACA3622K1CL,Active,10,AAACA3622K,Nifty 50,15,AAACA3622K1CL,13,AAACA3622K,TRUE
Asian Paints Ltd,17AAACA3622K1ZW,Active,17,AAACA3622K,Nifty 50,15,AAACA3622K1ZW,13,AAACA3622K,TRUE
Asian Paints Ltd,19AAACA3622K1C3,Inactive,19,AAACA3622K,Nifty 50,15,AAACA3622K1C3,13,AAACA3622K,TRUE
Asian Paints Ltd,32AAACA3622K1CF,Inactive,32,AAACA3622K,Nifty 50,15,AAACA3622K1CF,13,AAACA3622K,TRUE
Asian Paints Ltd,30AAACA3622K1Z8,Active,30,AAACA3622K,Nifty 50,15,AAACA3622K1Z8,13,AAACA3622K,TRUE
Asian Paints Ltd,092600000112TMP,Inactive,9,AAACA3622K,Nifty 50,15,2600000112TMP,13,2600000112,FALSE
Asian Paints Ltd,092600001375TMP,,9,AAACA3622K,Nifty 50,15,2600001375TMP,13,2600001375,FALSE
Asian Paints Ltd,332600000624TMP,,33,AAACA3622K,Nifty 50,15,2600000624TMP,13,2600000624,FALSE
Asian Paints Ltd,092600017285TMP,Inactive,9,AAACA3622K,Nifty 50,15,2600017285TMP,13,2600017285,FALSE
Apollo Hospitals Enterprise Ltd,16AAACA5443N1ZL,Inactive,16,AAACA5443N,Nifty 50,15,AAACA5443N1ZL,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,29AAACA5443N1ZE,Inactive,29,AAACA5443N,Nifty 50,15,AAACA5443N1ZE,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,17AAACA5443N1ZJ,Active,17,AAACA5443N,Nifty 50,15,AAACA5443N1ZJ,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,27AAACA5443N1ZI,Inactive,27,AAACA5443N,Nifty 50,15,AAACA5443N1ZI,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,23AAACA5443N1ZQ,Active,23,AAACA5443N,Nifty 50,15,AAACA5443N1ZQ,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,36AAACA5443N2ZI,Active,36,AAACA5443N,Nifty 50,15,AAACA5443N2ZI,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,03AAACA5443N1ZS,Inactive,3,AAACA5443N,Nifty 50,15,AAACA5443N1ZS,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,29AAACA5443N3ZC,Inactive,29,AAACA5443N,Nifty 50,15,AAACA5443N3ZC,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,35AAACA5443N1ZL,Inactive,35,AAACA5443N,Nifty 50,15,AAACA5443N1ZL,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,22AAACA5443N2ZR,Active,22,AAACA5443N,Nifty 50,15,AAACA5443N2ZR,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,27AAACA5443N3ZG,Active,27,AAACA5443N,Nifty 50,15,AAACA5443N3ZG,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,29AAACA5443N4ZB,Inactive,29,AAACA5443N,Nifty 50,15,AAACA5443N4ZB,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,07AAACA5443N2ZJ,Active,7,AAACA5443N,Nifty 50,15,AAACA5443N2ZJ,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,35AAACA5443N2ZK,Inactive,35,AAACA5443N,Nifty 50,15,AAACA5443N2ZK,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,21AAACA5443N2ZT,Active,21,AAACA5443N,Nifty 50,15,AAACA5443N2ZT,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,22AAACA5443N1ZS,Inactive,22,AAACA5443N,Nifty 50,15,AAACA5443N1ZS,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,10AAACA5443N1ZX,Inactive,10,AAACA5443N,Nifty 50,15,AAACA5443N1ZX,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,23AAACA5443N2ZP,Active,23,AAACA5443N,Nifty 50,15,AAACA5443N2ZP,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,18AAACA5443N1ZH,Inactive,18,AAACA5443N,Nifty 50,15,AAACA5443N1ZH,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,08AAACA5443N1ZI,Inactive,8,AAACA5443N,Nifty 50,15,AAACA5443N1ZI,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,22AAACA5443N3ZQ,Active,22,AAACA5443N,Nifty 50,15,AAACA5443N3ZQ,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,07AAACA5443N3ZI,Active,7,AAACA5443N,Nifty 50,15,AAACA5443N3ZI,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,33AAACA5443N3ZN,Active,33,AAACA5443N,Nifty 50,15,AAACA5443N3ZN,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,05AAACA5443N1ZO,Inactive,5,AAACA5443N,Nifty 50,15,AAACA5443N1ZO,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,32AAACA5443N1ZR,Inactive,32,AAACA5443N,Nifty 50,15,AAACA5443N1ZR,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,36AAACA5443N4ZG,Active,36,AAACA5443N,Nifty 50,15,AAACA5443N4ZG,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,36AAACA5443N1ZJ,Active,36,AAACA5443N,Nifty 50,15,AAACA5443N1ZJ,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,27AAACA5443N2ZH,Active,27,AAACA5443N,Nifty 50,15,AAACA5443N2ZH,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,36AAACA5443N3ZH,Active,36,AAACA5443N,Nifty 50,15,AAACA5443N3ZH,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,24AAACA5443N3ZM,Active,24,AAACA5443N,Nifty 50,15,AAACA5443N3ZM,13,AAACA5443N,TRUE
Apollo Hospitals Enterprise Ltd,33AAACA5443N5ZL,Active,33,AAACA5443N,Nifty 50,15,AAACA5443N5ZL,13,AAACA5443N,TRUE
