Workstation Name,New cogencis Name (The & Ltd.),,Sample Query,,Search Query
INFOSYS LTD,Infosys Ltd.,,Infosys Ltd,,infosys ltd
GM BREWERIES LTD,GM Breweries Ltd.,,GM Breweries Ltd,,gm breweries ltd
HAVELLS INDIA LTD,Havells India Ltd.,,Havells India Ltd,,havells india ltd
VIMTA LABS LTD,Vimta Labs Ltd.,,Vimta Labs Ltd,,vimta labs ltd
SWARNA SECURITIES LTD,Swarna Securities Ltd.,,Swarna Securities Ltd,,swarna securities ltd
KRETTO SYSCON LTD,Kretto Syscon Ltd.,,Kretto Syscon Ltd,,kretto syscon ltd
TATA TELESERVICES MAHARASHTRA LTD,Tata Teleservices (Maharashtra) Ltd.,,Tata Teleservices (Maharashtra) Ltd,,tata teleservices (maharashtra) ltd
TATA CONSULTANCY SERVICES LTD,Tata Consultancy Services Ltd.,,Tata Consultancy Services Ltd,,tata consultancy services ltd
TRANSFORMERS AND RECTIFIERS INDIA LTD,Transformers and Rectifiers (India) Ltd.,,Transformers & Rectifiers (India) Ltd,,transformers & rectifiers (india) ltd
L&T FINANCE LIMITED,L&T Finance Ltd.,,L&T Finance Ltd,,l&t finance ltd
LTIMINDTREE LTD,LTIMindtree Ltd.,,LTIMindtree Ltd,,ltimindtree ltd
ANGEL ONE LTD,Angel One Ltd.,,Angel One Ltd,,angel one ltd
ANAND RATHI WEALTH LTD,Anand Rathi Wealth Ltd.,,Anand Rathi Wealth Ltd,,anand rathi wealth ltd
ARCHEAN CHEMICAL INDUSTRIES LTD,Archean Chemical Industries Ltd.,,Archean Chemical Industries Ltd,,archean chemical industries ltd
ATISHAY LTD,Atishay Ltd.,,Atishay Ltd,,atishay ltd
JAYSHREE CHEMICALS LTD,Jayshree Chemicals Ltd.,,Jayshree Chemicals Ltd,,jayshree chemicals ltd
LLOYDS METALS AND ENERGY LTD,Lloyds Metals And Energy Ltd.,,Lloyds Metals & Energy Ltd,,lloyds metals & energy ltd
INDIAMART INTERMESH LTD,Indiamart Intermesh Ltd.,,Indiamart Intermesh Ltd,,indiamart intermesh ltd
JINDAL SAW LTD,Jindal Saw Ltd.,,Jindal Saw Ltd,,jindal saw ltd
PONNI SUGARS (ERODE) LTD,Ponni Sugars (Erode) Ltd.,,Ponni Sugars (Erode) Ltd,,ponni sugars (erode) ltd
PURPLE FINANCE LTD,Purple Finance Ltd.,,Purple Finance Ltd,,purple finance ltd
STARLOG ENTERPRISES LTD,Starlog Enterprises Ltd.,,Starlog Enterprises Ltd,,starlog enterprises ltd
HIMADRI SPECIALITY CHEMICAL LTD,Himadri Speciality Chemical Ltd.,,Himadri Speciality Chemical Ltd,,himadri speciality chemical ltd
STATE BANK OF INDIA,State Bank Of India,,State Bank Of India,,state bank of india
SESHASAYEE PAPER AND BOARDS LTD,Seshasayee Paper and Boards Ltd.,,Seshasayee Paper & Boards Ltd,,seshasayee paper & boards ltd
ABB INDIA LTD,ABB India Ltd.,,ABB India Ltd,,abb india ltd
DIC INDIA LTD,DIC India Ltd.,,DIC India Ltd,,dic india ltd
CRISIL LTD,CRISIL Ltd.,,CRISIL Ltd,,crisil ltd
ELANTAS BECK INDIA LTD,Elantas Beck India Ltd.,,Elantas Beck India Ltd,,elantas beck india ltd
JOHN COCKERILL INDIA LTD,John Cockerill India Ltd.,,John Cockerill India Ltd,,john cockerill india ltd
FOSECO INDIA LTD,Foseco India Ltd.,,Foseco India Ltd,,foseco india ltd
KSB LTD,KSB Ltd.,,KSB Ltd,,ksb ltd
RAIN INDUSTRIES LTD,Rain Industries Ltd.,,Rain Industries Ltd,,rain industries ltd
SANOFI INDIA LTD,Sanofi India Ltd.,,Sanofi India Ltd,,sanofi india ltd
CASTROL INDIA LTD,Castrol India Ltd.,,Castrol India Ltd,,castrol india ltd
STOVEC INDUSTRIES LTD,Stovec Industries Ltd.,,Stovec Industries Ltd,,stovec industries ltd
SCHAEFFLER INDIA LTD,Schaeffler India Ltd.,,Schaeffler India Ltd,,schaeffler india ltd
HUHTAMAKI INDIA LTD,Huhtamaki India Ltd.,,Huhtamaki India Ltd,,huhtamaki india ltd
VESUVIUS INDIA LTD,Vesuvius India Ltd.,,Vesuvius India Ltd,,vesuvius india ltd
R SYSTEMS INTERNATIONAL LTD,R Systems International Ltd.,,R Systems International Ltd,,r systems international ltd
CIE AUTOMOTIVE INDIA LTD,Cie Automotive India Ltd.,,Cie Automotive India Ltd,,cie automotive india ltd
ENKEI WHEELS INDIA LTD,Enkei Wheels India Ltd.,,Enkei Wheels India Ltd,,enkei wheels india ltd
VARUN BEVERAGES LTD,Varun Beverages Ltd.,,Varun Beverages Ltd,,varun beverages ltd
SANOFI CONSUMER HEALTHCARE INDIA LTD,Sanofi Consumer Healthcare India Ltd.,,Sanofi Consumer Healthcare India Ltd,,sanofi consumer healthcare india ltd
HEXAWARE TECHNOLOGIES LTD,Hexaware Technologies Ltd.,,Hexaware Technologies Ltd,,hexaware technologies ltd
MEYER APPAREL LTD,Meyer Apparel Ltd.,,Meyer Apparel Ltd,,meyer apparel ltd
ODYSSEY TECHNOLOGIES LTD,Odyssey Technologies Ltd.,,Odyssey Technologies Ltd,,odyssey technologies ltd
SUPREME INDUSTRIES LTD,Supreme Industries Ltd.,,Supreme Industries Ltd,,supreme industries ltd
TATA CONSUMER PRODUCTS LTD,Tata Consumer Products Ltd.,,Tata Consumer Products Ltd,,tata consumer products ltd
TATA MOTORS PASSENGER VEHICLES LTD,Tata Motors Passenger Vehicles Ltd.,,Tata Motors Passenger Vehicles Ltd,,tata motors passenger vehicles ltd
NURECA LTD,Nureca Ltd.,,Nureca Ltd,,nureca ltd
INDIAN BANK,Indian Bank,,Indian Bank,,indian bank
