2025-02-17 11:57:27,919 - ERROR - this is error
2025-02-17 11:58:47,969 - INFO - this is kaustubh
2025-02-17 13:11:31,118 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,123 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,126 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,190 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,196 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,201 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,204 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,210 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,217 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,224 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,231 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,239 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,243 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,249 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,298 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,305 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,309 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,312 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,318 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,322 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,326 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,329 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,337 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,341 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,357 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,360 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,365 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,372 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,376 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,382 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,388 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,393 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,396 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,404 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,408 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,424 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,430 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,442 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,444 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,452 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,458 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,462 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,468 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,471 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,475 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,478 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,482 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,487 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,500 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,504 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,507 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,511 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,515 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,519 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,525 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,529 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,536 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,539 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,542 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,546 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,555 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,559 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,563 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,570 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,573 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,578 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,581 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,586 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,589 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,890 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,895 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,900 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,904 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,909 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,913 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,923 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,927 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,931 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,937 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,941 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,944 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,952 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,957 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,960 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,963 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,967 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,973 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:31,977 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,013 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,043 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,047 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,052 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,058 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,061 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,104 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,113 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,116 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,121 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,125 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,129 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,132 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,142 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,147 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,153 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,161 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,176 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,180 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,184 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,195 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,199 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,208 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,212 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,217 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,221 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,226 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,231 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,243 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,247 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,251 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,258 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,263 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,271 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,275 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,279 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,283 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,291 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,294 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,297 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,299 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,313 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,321 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,324 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,328 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,332 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,337 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,340 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,345 - ERROR - need 1, 3 or 4 color components in range 0 to 1
2025-02-17 13:11:32,349 - ERROR - need 1, 3 or 4 color components in range 0 to 1
