AMC_ID,AMC_LongName,AMC_Name,country_id,isactive,entered_user,entered_date,modified_user,modified_date
1,"Axis Asset Management Company Limited","Axis Asset Management Company Limited",1,1,NULL,NULL,admin,"2022-03-31 17:49:54"
3,"Aditya Birla Sun Life AMC Limited","Aditya Birla Sun Life AMC Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
5,"Bank of India Investment Managers Private Limited","Bank of India Investment Managers Private Limited",1,1,NULL,NULL,,"2022-07-12 13:09:32"
6,"Canara Robeco Asset Management Company Limited","Canara Robeco Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
7,"PGIM India Asset Management Private Limited","PGIM India Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-29 09:32:53"
8,"DSP Investment Managers Private Limited","DSP Investment Managers Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
9,"Edelweiss Asset Management Limited","Edelweiss Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
10,"Quant Money Managers Limited","Quant Money Managers",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-29 09:32:53"
11,"Franklin Templeton Asset Management (India) Private Limited","Franklin Templeton Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
12,"HDFC Asset Management Company Limited","HDFC Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
13,"HSBC Asset Management (India) Private Limited","HSBC Asset Management (India) Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
14,"ICICI Prudential Asset Management Company Limited","ICICI Prudential Asset Management Company Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
16,"Bandhan Asset Management Company Limited","Bandhan Asset Management Company Limited",1,1,NULL,"2022-03-08 13:27:23",Mukesh.Kotian@cogencis.com,"2024-10-15 18:36:17"
18,"360 ONE Asset Management Limited","360 ONE Asset Management Limited",1,1,NULL,"2022-03-08 13:27:23",Raksha.Belchad@cogencis.com,"2023-05-09 12:08:19"
19,"IL&FS Infra Asset Management Limited","IL&FS Infra Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
20,"Groww Asset Management Limited","Groww Asset Management Limited",1,1,NULL,"2022-03-08 13:27:23",Raksha.Belchad@cogencis.com,"2023-06-05 16:27:15"
21,"Invesco Asset Management (India) Private Limited","Invesco Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
22,"JM Financial Asset Management Limited","JM Financial Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
23,"Kotak Mahindra Asset Management Company Limited","Kotak Mahindra Asset Management",1,1,NULL,"2022-03-08 13:27:23",Mukesh.Kotian@cogencis.com,"2025-02-21 11:00:45"
25,"LIC Mutual Fund Asset Management Limited","LIC Mutual Fund Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
26,"Mahindra Manulife Investment Management Private Limited","Mahindra Manulife Investment Management Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
27,"Mirae Asset Investment Managers (India) Private Limited","Mirae Asset Investment Managers (India) Private Limited",1,1,NULL,"2022-03-08 13:27:23",NULL,"2022-03-31 17:49:54"
28,"Motilal Oswal Asset Management Company Limited","Motilal Oswal Asset Management",1,1,NULL,"2022-03-08 13:27:23",NULL,"2017-05-19 11:59:45"
