key,value
amc_name,Kotak Mahindra Asset Management Limited
main_scheme_name,Kotak InfiBuilding No 21 InfOff Western ExpresGenAK Vaidya MaMumbai - 400 097 KEY INFORMATION MEMORANDUM (KIM) KOTAK SERVICES FUND
mutual_fund_name,Kotak Mahindra Mutual Fund
description,
field_location,"[{'asset_allocation_pattern': 1, 'main_scheme_name': 1, 'mutual_fund_name': 1}]"


instrument_type,min,max,total,risk_profile
Equity & Equity Related Instruments Of Companies Engaged In Services Theme,80,100,,
Equity And Equity Related Securities Other Than Services Theme,0,20,,
Debt And Money Market Securities,0,20,,
Units Of Invits,0,10,,
6Th Floor Kotak Infinity Key Information Memorandum Kim Building No,2,1,,
Infinity Park Off Western Express Highway Kotak Services Fund Gen A K Vaidya Marg Malad E Mumbai,400,097,,
An Open Ended Equity Scheme Following Services Theme,1800,309,,
,149,0,,
Tollfree Offer For Units Of,1,0,,
Each For Cash During The New Fund Offer And Www Kotakmf Com Continuous Offer For Units At Nav Based Prices New Fund Offer Opens On February,04,2026,,
New Fund Offer Closes On February,18,2026,,
Scheme Re Opens On Or Before March,02,2026,,
Investors Should Consult Their Financial Advisers If In Doubt About Whether The Product Is Suitable For Them The Product Labelling Assigned During The New Fund Offer Is Based On Internal Assessment Of The Scheme Characteristics Or Model Portfolio And The Same May Vary Post Nfo When Actual Investments Are Made This Key Information Memorandum Kim Sets Forth The Information Which A Prospective Investor Ought To Know Before Investing For Further Details Of The Scheme Mutual Fund Due Diligence Certi Cate By The Amc Key Personnel Investors Rights & Services Risk Factors Penalties & Pending Litigations Etc Investors Should Before Investment Refer To The Scheme Information Document And Statement Of Additional Information Available Free Of Cost At Any Of The Investor Service Centres Or Distributors Or From The Website Www Kotakmf Com The Scheme Particulars Have Been Prepared In Accordance With Securities And Exchange Board Of India Mutual Funds Regulations,199,6,,
As Amended Till Date And Led With Securities And Exchange Board Of India Sebi The Units Being Offered For Public Subscription Have Not Been Approved Or Disapproved By Sebi Nor Has Sebi Certi Ed The Accuracy Or Adequacy Of This Kim This Key Information Memorandum Is Dated January,05,2026,,


