amc_name,main_scheme_name,mutual_fund_name,benchmark_index,monthly_aaum_date,monthly_aaum_value,scheme_launch_date,min_addl_amt,min_addl_amt_multiple,min_amt,min_amt_multiple,entry_load,exit_load,alpha,arithmetic_mean_ratio,average_div_yield,average_pb,average_pe,avg_maturity,beta,correlation_ratio,downside_deviation,information_ratio,macaulay,mod_duration,port_turnover_ratio,r_squared_ratio,roe_ratio,sharpe,sortino_ratio,std_dev,tracking_error,treynor_ratio,upside_deviation,ytm,name_1,managing_fund_since_1,total_exp_1,qualification_1,name_2,managing_fund_since_2,total_exp_2,qualification_2,name_3,managing_fund_since_3,total_exp_3,qualification_3
HDFC Asset Management Company Limited,HDFC Flexi Cap Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"94,919.80Cr",19950101,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 12 | December 2025",,,,,,,0.751,,,,,,1289,,,1.411,,10.304,,,,,,,,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Multi Cap Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"19,789.57Cr",20211210,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 14 | December 2025",,,,,,,0.956,,,,,,2841,,,0.984,,14.015,,,,,Amar,"September 01, 2025",23 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Large Cap Fund,HDFC Mutual Fund,BSE SENSEX Index TRI,20251231,"40,350.10Cr",19961011,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 17 | December 2025",,,,,,,0.878,,,,,,2498,,,0.891,,11.222,,,,,Rahul Baijal,"July 29, 2022",24 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Mid Cap Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"91,724.60Cr",20070625,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment fFor Product label and Riskometers, refer page no: 123- 19 | December 2025",,,,,,,0.835,,,,,,1086,,,1.327,,13.807,,,,,Chirag Setalvad,"June 25, 2007",28 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Small Cap Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"37,610.57Cr",20080403,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment For Product label and Riskometers, refer page no: 123-1 21 | December 2025",,,,,,,0.769,,,,,,942,,,0.902,,15.511,,,,,Chirag Setalvad,"June 28, 2014",28 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Large and Mid Cap Fund,HDFC Mutual Fund,BSE SENSEX Index TRI,20251231,"28,711.88Cr",19940218,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 23 | December 2025",,,,,,,0.98,,,,,,341,,,1.016,,13.708,,,,,Gopal Agrawal,"July 16, 2020",21 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Value Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"7,622.46Cr",19940201,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 26 | December 2025",,,,,,,0.948,,,,,,2764,,,1.01,,12.797,,,,,Anand Laddha,"February 01, 2024",21 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Dividend Yield Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"6,114.73Cr",20201218,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 28 | December 2025",,,,,,,0.966,,,,,,894,,,0.915,,13.236,,,,,,,,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Focused Fund,HDFC Mutual Fund,BSE SENSEX Index TRI,20251231,"26,267.55Cr",20040917,100,1,100,1,,"  In respect of each purchase / switch-in of Units, an Exit Load of 1.00% is payable if Units are redeemed / switched-out within 1 year from the date of allotment.  No Exit Load is payable if Units are redeemed / switched-out after 1 year from the date of al- allotment. Industry Allocation of E uity Holding of Net Assets an s .11 Automobiles 10.42 harmaceuticals iotechnology .26 IT Software 4. 6 Auto Components 4.01 Insurance .60 Leisure Services.11 Consumer Durables2. ower 2.6 Telecom Servi",,,,,,,0.689,,,,,,855,,,1.492,,9.502,,,,,Gopal Agrawal,"December 08, 2025",21 Years,,,,,,,,,
HDFC Asset Management Company Limited,HDFC Business Cycle Fund,HDFC Mutual Fund,Nifty 50 Index TRI,20251231,"2,848.10Cr",20221130,100,1,100,1,,"  In respect of each purchase/switch-in of units, an Exit load of 1% is payable if units are redeemed/switched-out within 1 year from the date of allotment.  No Exit Load is payable if units are redeemed / switched-out after 1 year from the date of allotment. For Product label and Riskometers, refer page no: 123-1 32 | December 2025",,,,,,,0.849,,,,,,6890,,,0.693,,11.761,,,,,,,,,,,,,,,,
