key,value,,,
amc_name,Kotak Mahindra Asset Management Limited,,,
main_scheme_name,KOTAK SERVICES FUND,,,
mutual_fund_name,Kotak Mahindra Mutual Fund,,,
description,,,,
field_location,"[{'asset_allocation_pattern': 1, 'main_scheme_name': 1, 'mutual_fund_name': 1}]",,,
,,,,
,,,,
instrument_type,min,max,total,risk_profile
Equity & Equity Related Instruments Of Companies Engaged In Services Theme,80,100,,
Equity And Equity Related Securities Other Than Services Theme,0,20,,
Debt And Money Market Securities,0,20,,
Units Of Invits,0,10,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
