amc_name,main_scheme_name,mutual_fund_name,benchmark_index,monthly_aaum_date,monthly_aaum_value,scheme_launch_date,min_addl_amt,min_addl_amt_multiple,min_amt,min_amt_multiple,entry,exit,alpha,arithmetic_mean_ratio,average_div_yield,average_pb,average_pe,avg_maturity,beta,correlation_ratio,downside_deviation,information_ratio,macaulay,mod_duration,port_turnover_ratio,r_squared_ratio,roe_ratio,sharpe,sortino_ratio,std_dev,tracking_error,treynor_ratio,upside_deviation,ytm,name_1,managing_fund_since_1,total_exp_1,qualification_1,name_2,managing_fund_since_2,total_exp_2,qualification_2,name_3,managing_fund_since_3,total_exp_3,qualification_3,name_4,managing_fund_since_4,total_exp_4,qualification_4,field_location
Canara Robeco Asset Management Company Limited,CANARA ROBECO LARGE CAP FUND,Canara Robeco Mutual Fund,BSE 100 TRI,20250831,,20100820,100,1,100,1,,,,,,,,,0.9,,,,,,18,0.98,,0.72,,12.36,,,,,Shridatta Bhandwaldar,5-July-16,1 Year,,Vishal Mishra,01-June-21,1 Year,,,,,,,,,,"{""amc_name"": ""14"", ""benchmark_index"": ""14"", ""count"": 24, ""fund_manager_managing_fund_since"": ""14"", ""fund_manager_name"": ""14"", ""fund_manager_qualification"": ""14"", ""fund_manager_total_exp"": ""14"", ""load_exit"": ""14"", ""main_scheme_name"": ""14"", ""metrics_beta"": ""14"", ""metrics_port_turnover_ratio"": ""14"", ""metrics_r_squared_ratio"": ""14"", ""metrics_sharpe"": ""14"", ""metrics_std_dev"": ""14"", ""min_addl_amt"": ""14"", ""min_addl_amt_multiple"": ""14"", ""min_amt"": ""14"", ""min_amt_multiple"": ""14"", ""monthly_aaum_date"": ""14"", ""mutual_fund_name"": ""14"", ""scheme_launch_date"": ""14""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO MID CAP FUND,Canara Robeco Mutual Fund,BSE 150 Mid Cap TRI,20250831,,20221202,1000,1,5000,1,,,,,,,,,,,,,,,,,,,,,,,,,Pranav Gokhale,06-November-23,23 Years,,Shridatta Bhandwaldar,02 - December - 22,19 Years,,,,,,,,,,"{""amc_name"": ""15"", ""benchmark_index"": ""15"", ""count"": 24, ""fund_manager_managing_fund_since"": ""15"", ""fund_manager_name"": ""15"", ""fund_manager_qualification"": ""15"", ""fund_manager_total_exp"": ""15"", ""load_exit"": ""15"", ""main_scheme_name"": ""15"", ""min_addl_amt"": ""15"", ""min_addl_amt_multiple"": ""15"", ""min_amt"": ""15"", ""min_amt_multiple"": ""15"", ""monthly_aaum_date"": ""15"", ""mutual_fund_name"": ""15"", ""scheme_launch_date"": ""15""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO SMALL CAP FUND,Canara Robeco Mutual Fund,Nifty Smallcap 250 Index,20250831,,20190215,1000,1,5000,1,,,,,,,,,0.76,,,,,,30,0.94,,0.62,,15.89,,,,,Pranav Gokhale,06-Nov-23,1 Year,,Shridatta Bhandwaldar,01-Oct-19,1 Year,,,,,,,,,,"{""amc_name"": ""16"", ""benchmark_index"": ""16"", ""count"": 24, ""fund_manager_managing_fund_since"": ""16"", ""fund_manager_name"": ""16"", ""fund_manager_qualification"": ""16"", ""fund_manager_total_exp"": ""16"", ""load_exit"": ""16"", ""main_scheme_name"": ""16"", ""metrics_beta"": ""16"", ""metrics_port_turnover_ratio"": ""16"", ""metrics_r_squared_ratio"": ""16"", ""metrics_sharpe"": ""16"", ""metrics_std_dev"": ""16"", ""min_addl_amt"": ""16"", ""min_addl_amt_multiple"": ""16"", ""min_amt"": ""16"", ""min_amt_multiple"": ""16"", ""monthly_aaum_date"": ""16"", ""mutual_fund_name"": ""16"", ""scheme_launch_date"": ""16""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO LARGE AND MID CAP FUND,Canara Robeco Mutual Fund,NIFTY Large Midcap 250 TRI,20250831,,20050311,1000,1,5000,1,,,,,,,,,0.95,,,,,,40,0.92,,0.72,,14.47,,,,,Amit Nadekar,28-Aug-23,1 Year,,Shridatta Bhandwaldar,01-Oct-19,1 Year,,,,,,,,,,"{""amc_name"": ""17"", ""benchmark_index"": ""17"", ""count"": 24, ""fund_manager_managing_fund_since"": ""17"", ""fund_manager_name"": ""17"", ""fund_manager_qualification"": ""17"", ""fund_manager_total_exp"": ""17"", ""load_exit"": ""17"", ""main_scheme_name"": ""17"", ""metrics_beta"": ""17"", ""metrics_port_turnover_ratio"": ""17"", ""metrics_r_squared_ratio"": ""17"", ""metrics_sharpe"": ""17"", ""metrics_std_dev"": ""17"", ""min_addl_amt"": ""17"", ""min_addl_amt_multiple"": ""17"", ""min_amt"": ""17"", ""min_amt_multiple"": ""17"", ""monthly_aaum_date"": ""17"", ""mutual_fund_name"": ""17"", ""scheme_launch_date"": ""17""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO MULTI CAP FUND,Canara Robeco Mutual Fund,NIFTY 500 Multicap 50:25:25 Index TRI,20250831,,20230728,100000,100,500000,100,,,,,,,,,,,,,,,,,,,,,,,,,Ful,28-July-2023,19 Years,,Shridatta Bhandwaldar,28-July-2023,21 Years,,Vishal Mishra,,,,,,,,"{""amc_name"": ""18"", ""benchmark_index"": ""18"", ""count"": 24, ""fund_manager_managing_fund_since"": ""18"", ""fund_manager_name"": ""18"", ""fund_manager_qualification"": ""18"", ""fund_manager_total_exp"": ""18"", ""load_exit"": ""18"", ""main_scheme_name"": ""18"", ""min_addl_amt"": ""18"", ""min_addl_amt_multiple"": ""18"", ""min_amt"": ""18"", ""min_amt_multiple"": ""18"", ""monthly_aaum_date"": ""18"", ""mutual_fund_name"": ""18"", ""scheme_launch_date"": ""18""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO FLEXICAP FUND,Canara Robeco Mutual Fund,BSE 500 TRI,20250831,,20030916,1000,1,5000,1,,,,,,,,,0.91,,,,,,28,0.97,,0.7,,13.2,,,,,Shridatta Bhandwaldar,5-July-16,1 Year,,Pranav Gokhale,6-Nov-23,1 Year,,,,,,,,,,"{""amc_name"": ""19"", ""benchmark_index"": ""19"", ""count"": 24, ""fund_manager_managing_fund_since"": ""19"", ""fund_manager_name"": ""19"", ""fund_manager_qualification"": ""19"", ""fund_manager_total_exp"": ""19"", ""load_exit"": ""19"", ""main_scheme_name"": ""19"", ""metrics_beta"": ""19"", ""metrics_port_turnover_ratio"": ""19"", ""metrics_r_squared_ratio"": ""19"", ""metrics_sharpe"": ""19"", ""metrics_std_dev"": ""19"", ""min_addl_amt"": ""19"", ""min_addl_amt_multiple"": ""19"", ""min_amt"": ""19"", ""min_amt_multiple"": ""19"", ""monthly_aaum_date"": ""19"", ""mutual_fund_name"": ""19"", ""scheme_launch_date"": ""19""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO FOCUSED FUND,Canara Robeco Mutual Fund,BSE 500 TRI,20250831,,20210517,100000,1,500000,1,,,,,,,,,0.88,,,,,,38,0.93,,0.87,,13.05,,,,,Shridatta Bhandwaldar,17-May-21,19 Years,,Amit Kadam,10-April-24,14 Years,,,,,,,,,,"{""amc_name"": ""20"", ""benchmark_index"": ""20"", ""count"": 24, ""fund_manager_managing_fund_since"": ""20"", ""fund_manager_name"": ""20"", ""fund_manager_qualification"": ""20"", ""fund_manager_total_exp"": ""20"", ""load_exit"": ""20"", ""main_scheme_name"": ""20"", ""metrics_beta"": ""20"", ""metrics_port_turnover_ratio"": ""20"", ""metrics_r_squared_ratio"": ""20"", ""metrics_sharpe"": ""20"", ""metrics_std_dev"": ""20"", ""min_addl_amt"": ""20"", ""min_addl_amt_multiple"": ""20"", ""min_amt"": ""20"", ""min_amt_multiple"": ""20"", ""monthly_aaum_date"": ""20"", ""mutual_fund_name"": ""20"", ""scheme_launch_date"": ""20""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO ELSS TAX SAVER,Canara Robeco Mutual Fund,BSE 500 TRI,20250831,,19930331,500,1,500,1,,,,,,,,,0.91,,,,,,21,0.97,,0.63,,13.2,,,,,Vishal Mishra,26-June-21,21 Years,,Shridatta Bhandwaldar,01-Oct-19,19 Years,,,,,,,,,,"{""amc_name"": ""21"", ""benchmark_index"": ""21"", ""count"": 24, ""fund_manager_managing_fund_since"": ""21"", ""fund_manager_name"": ""21"", ""fund_manager_qualification"": ""21"", ""fund_manager_total_exp"": ""21"", ""load_exit"": ""21"", ""main_scheme_name"": ""21"", ""metrics_beta"": ""21"", ""metrics_port_turnover_ratio"": ""21"", ""metrics_r_squared_ratio"": ""21"", ""metrics_sharpe"": ""21"", ""metrics_std_dev"": ""21"", ""min_addl_amt"": ""21"", ""min_addl_amt_multiple"": ""21"", ""min_amt"": ""21"", ""min_amt_multiple"": ""21"", ""monthly_aaum_date"": ""21"", ""mutual_fund_name"": ""21"", ""scheme_launch_date"": ""21""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO CONSUMER TRENDS FUND,Canara Robeco Mutual Fund,BSE 100 TRI,20250831,,20090914,1000,1,5000,1,,,,,,,,,0.86,,,,,,19,0.82,,0.77,,13,,,,,Ennette Fernandes,01-Oct-21,1 Year,,Shridatta Bhandwaldar,01-Oct-19,1 Year,,,,,,,,,,"{""amc_name"": ""22"", ""benchmark_index"": ""22"", ""count"": 24, ""fund_manager_managing_fund_since"": ""22"", ""fund_manager_name"": ""22"", ""fund_manager_qualification"": ""22"", ""fund_manager_total_exp"": ""22"", ""load_exit"": ""22"", ""main_scheme_name"": ""22"", ""metrics_beta"": ""22"", ""metrics_port_turnover_ratio"": ""22"", ""metrics_r_squared_ratio"": ""22"", ""metrics_sharpe"": ""22"", ""metrics_std_dev"": ""22"", ""min_addl_amt"": ""22"", ""min_addl_amt_multiple"": ""22"", ""min_amt"": ""22"", ""min_amt_multiple"": ""22"", ""monthly_aaum_date"": ""22"", ""mutual_fund_name"": ""22"", ""scheme_launch_date"": ""22""}"
Canara Robeco Asset Management Company Limited,CANARA ROBECO MANUFACTURING FUND,Canara Robeco Mutual Fund,Nifty India Manufacturing TRI,20250831,,20240311,,,500000,100,,,,,,,,,,,,,,,,,,,,,,,,,Pranav Gokhale,11- March-2024,23 Years,,Shridatta Bhandwaldar,11- March-2024,19 Years,,,,,,,,,,"{""amc_name"": ""23"", ""benchmark_index"": ""23"", ""count"": 24, ""fund_manager_managing_fund_since"": ""23"", ""fund_manager_name"": ""23"", ""fund_manager_qualification"": ""23"", ""fund_manager_total_exp"": ""23"", ""load_exit"": ""23"", ""main_scheme_name"": ""23"", ""min_amt"": ""23"", ""min_amt_multiple"": ""23"", ""monthly_aaum_date"": ""23"", ""mutual_fund_name"": ""23"", ""scheme_launch_date"": ""23""}"
